new,host,a,soa,status_code,txt,has_internal_ips,internal_ips,ns,cname,mx,cdn,cdn-name,aaaa,caa
[x],001.arion.de.azure.myteksi.net,,"ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,,,,,
[x],001.arion.stg.de.azure.myteksi.net,,"ns1-05.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,,,,,
[x],001.chimera.de.azure.myteksi.net,,"ns1-04.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,,,,,
[x],001.chimera.stg.de.azure.myteksi.net,,"ns1-04.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,,,,,
[x],002.arion.de.azure.myteksi.net,,"ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,,,,,
[x],203201a9b748.grab.com,,"ns-1761.awsdns-28.co.uk, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],2625a019b068474d8fdabb3e6868f582.es-kibana.myteksi.net,"13.32.121.31, 13.32.121.53, 13.32.121.11, 13.32.121.30","ns-1533.awsdns-63.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,True,cloudfront,,
[x],4alumni-sync-customer-account-nelaoktarina.voice.grabtaxi.com,,"ns-1445.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,d36b91bd520648d78bb2fdea6d8c6d49,,,,_8657669ef04976c9e423c2c594f3e29a.tjxrvlrcqj.acm-validations.aws,,,,,
[x],a.grabtaxi.com,,"ns-1031.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],abacus.myteksi.net,"10.0.10.192, 10.0.48.234, 10.0.8.186","ns-1533.awsdns-63.org, awsdns-hostmaster.amazon.com",NOERROR,,True,"10.0.10.192, 10.0.48.234, 10.0.8.186",,,,,,,
[x],abc.grab.com,,"ns-1761.awsdns-28.co.uk, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],access.grabtaxi.com,,"ns-1031.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ad-manager-ui.grab.com,"13.32.208.4, 13.32.208.50, 13.32.208.113, 13.32.208.128","ns-1761.awsdns-28.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,True,cloudfront,,
[x],ad.grabtaxi.com,,"ns-1031.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],adbilling.myteksi.net,"10.0.86.48, 10.0.90.75","ns-1533.awsdns-63.org, awsdns-hostmaster.amazon.com",NOERROR,,True,"10.0.86.48, 10.0.90.75",,,,,,,
[x],adcache-sync.myteksi.net,"10.0.88.128, 10.0.90.92, 10.0.87.50","ns-1533.awsdns-63.org, awsdns-hostmaster.amazon.com",NOERROR,,True,"10.0.88.128, 10.0.90.92, 10.0.87.50",,,,,,,
[x],adcache.myteksi.net,,"ns-1533.awsdns-63.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],add01.grabpay.com,,"ns-363.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
