new,host,soa,txt,status_code,a,aaaa,cname,cdn,cdn-name,ns,has_internal_ips,internal_ips,mx,caa
[x],a1605.aepetsche.com,"pdns77.ultradns.com, domadmin.arrow.com","PtwKvDHEEoGW5JfhEWycbaLhzJUaeYoW/o12UsXagGBfIjCQzL3DBQFK0RUpSrKl966PTquTJEFU4JtC2VrIpw==, MS=ms68482330, 2QiypSJYn9Up9q6x+J+CUG+/uhoKFIuN/yoCiIH3yXnHsSXIrM/RKXE/6FeLrwpKttQZCSe3wYHC7rwaDryVQA==, exJoZkWUa894zxOOyxJ1GhUZzwE287ttI9JgEKfOyBoCDTNmS3643fPpr93fsoG1ke634SaE2Lp8mXVkt1ILlw==, 62pnfltf920nj5zfrg8bpvlgvysyr5bj, v=spf1 include:spf.protection.outlook.com ip4:216.150.160.0/20 ip4:63.165.163.0/24 ip4:63.77.232.0/24 ~all",NOERROR,13.93.163.20,,aepetsche.com,True,azure,"dns4.p04.nsone.net, pdns77.ultradns.com, pdns77.ultradns.org, pdns77.ultradns.biz, pdns77.ultradns.net, dns1.p04.nsone.net, dns2.p04.nsone.net, dns3.p04.nsone.net",,,aepetsche-com.mail.protection.outlook.com,
[x],analytics-test.transim.com,"ns1-02.azure-dns.com, msnhst.microsoft.com",,NOERROR,104.42.221.30,,transim-qa-gateway.westus.cloudapp.azure.com,True,azure,,,,,
[x],choco.transim.com,"ns1-02.azure-dns.com, msnhst.microsoft.com",,NOERROR,104.42.221.30,,transim-qa-gateway.westus.cloudapp.azure.com,True,azure,,,,,
[x],enterpriseenrollment.siliconexpert.com,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,52.182.141.192,,"enterpriseenrollment.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpna03.centralus.cloudapp.azure.com",,,,,,,
[x],h-135-207-133-173.aepetsche.com,"pdns77.ultradns.com, domadmin.arrow.com","v=spf1 include:spf.protection.outlook.com ip4:216.150.160.0/20 ip4:63.165.163.0/24 ip4:63.77.232.0/24 ~all, PtwKvDHEEoGW5JfhEWycbaLhzJUaeYoW/o12UsXagGBfIjCQzL3DBQFK0RUpSrKl966PTquTJEFU4JtC2VrIpw==, MS=ms68482330, 2QiypSJYn9Up9q6x+J+CUG+/uhoKFIuN/yoCiIH3yXnHsSXIrM/RKXE/6FeLrwpKttQZCSe3wYHC7rwaDryVQA==, exJoZkWUa894zxOOyxJ1GhUZzwE287ttI9JgEKfOyBoCDTNmS3643fPpr93fsoG1ke634SaE2Lp8mXVkt1ILlw==, 62pnfltf920nj5zfrg8bpvlgvysyr5bj",NOERROR,13.93.163.20,,aepetsche.com,True,azure,"dns3.p04.nsone.net, dns4.p04.nsone.net, pdns77.ultradns.com, pdns77.ultradns.org, pdns77.ultradns.biz, pdns77.ultradns.net, dns1.p04.nsone.net, dns2.p04.nsone.net",,,aepetsche-com.mail.protection.outlook.com,
[x],lyncdiscover.aspencore.com,"admin.nsatc.net, dns.level3.net",,NOERROR,52.112.196.45,2603:1027:0:48::21,webdir.online.lync.com,,,,,,,
[x],msoid.transim.com,"tm1.dns-tm.com, hostmaster.trafficmanager.net, internal.akadns.net, hostmaster.akamai.com",,NOERROR,"20.190.159.2, 20.190.159.4, 40.126.31.71, 40.126.31.69, 20.190.159.73, 20.190.159.23, 20.190.159.75, 40.126.31.67",,"clientconfig.microsoftonline-p.net, a.privatelink.msidentity.com, prda.aadg.msidentity.com, www.tm.a.prd.aadg.akadns.net, www.tm.a.prd.aadg.trafficmanager.net",True,azure,,,,,
[x],mydiabetesmyway.aepetsche.com,"pdns77.ultradns.com, domadmin.arrow.com","2QiypSJYn9Up9q6x+J+CUG+/uhoKFIuN/yoCiIH3yXnHsSXIrM/RKXE/6FeLrwpKttQZCSe3wYHC7rwaDryVQA==, exJoZkWUa894zxOOyxJ1GhUZzwE287ttI9JgEKfOyBoCDTNmS3643fPpr93fsoG1ke634SaE2Lp8mXVkt1ILlw==, 62pnfltf920nj5zfrg8bpvlgvysyr5bj, v=spf1 include:spf.protection.outlook.com ip4:216.150.160.0/20 ip4:63.165.163.0/24 ip4:63.77.232.0/24 ~all, PtwKvDHEEoGW5JfhEWycbaLhzJUaeYoW/o12UsXagGBfIjCQzL3DBQFK0RUpSrKl966PTquTJEFU4JtC2VrIpw==, MS=ms68482330",NOERROR,13.93.163.20,,aepetsche.com,True,azure,"pdns77.ultradns.net, dns1.p04.nsone.net, dns2.p04.nsone.net, dns3.p04.nsone.net, dns4.p04.nsone.net, pdns77.ultradns.com, pdns77.ultradns.org, pdns77.ultradns.biz",,,aepetsche-com.mail.protection.outlook.com,
[x],pki.arrow.com,"pdns77.ultradns.com, domadmin.arrow.com",,NOERROR,216.150.161.2,,,,,,,,,
[x],widget.siliconexpert.com,"n0dsca.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,"2a02:26f0:64::214:8486, 2a02:26f0:64::214:8493","widget.siliconexpert.com.edgekey.net, e127575.dsca.akamaiedge.net",,,,,,,
[x],zendesk1.siliconexpert.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",v=spf1 include:_netblocks.zdsys.com ~all,NOERROR,"162.159.128.7, 162.159.138.6",,mail1.zendesk.com,True,cloudflare,,,,mail.zendesk.com,
,128bit.arrow.com,"pdns77.ultradns.com, domadmin.arrow.com",v=spf1 ip4:63.165.163.0/24 ip4:63.77.232.0/24 ip4:216.150.160.0/20 -all,NOERROR,,,,,,,,,,
