new,host,a,soa,status_code,cdn,cdn-name,has_internal_ips,internal_ips,cname,txt,ns,caa,mx
,a.sales.range.co,34.149.61.18,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,www.aptracking1.com,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/leadgenie/tracking-api-rails",,,
,admin.back.range.co,10.1.2.32,"ns-1171.awsdns-18.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,10.1.2.32,,,,,
,api.range.co,"3.213.20.127, 54.164.30.245, 3.223.7.172","ns-1171.awsdns-18.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,consumer.back.range.co,"10.1.1.81, 10.1.2.65","ns-1171.awsdns-18.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.1.1.81, 10.1.2.65",,,,,
,d.sales.range.co,"54.85.128.104, 18.235.9.115, 18.209.131.43","ns-834.awsdns-40.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,custom-tracking.salesloft.com,,,"pki.goog, digicert.com, comodoca.com, letsencrypt.org",
,faq.range.co,"13.225.78.42, 13.225.78.68, 13.225.78.84, 13.225.78.86","ns-1171.awsdns-18.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
,gfx.range.co,"13.32.99.17, 13.32.99.39, 13.32.99.97, 13.32.99.9","ns-1171.awsdns-18.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
,go.range.co,"99.86.91.30, 99.86.91.60, 99.86.91.62, 99.86.91.25","ns-1171.awsdns-18.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
,icebreaker.range.co,"143.204.231.103, 143.204.231.107, 143.204.231.111, 143.204.231.84","ns-1171.awsdns-18.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
,labs.range.co,"18.66.97.112, 18.66.97.53, 18.66.97.93, 18.66.97.15","ns-1171.awsdns-18.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
,meet.range.co,"108.138.7.15, 108.138.7.79, 108.138.7.29, 108.138.7.60","ns-1171.awsdns-18.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
,msteams.range.co,"108.157.214.46, 108.157.214.78, 108.157.214.123, 108.157.214.127","ns-1171.awsdns-18.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,MS=ms69642511,,,
,mta-sts.range.co,"108.157.214.92, 108.157.214.58, 108.157.214.25, 108.157.214.63","ns-1171.awsdns-18.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
,nlp.back.range.co,10.1.3.194,"ns-1171.awsdns-18.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,10.1.3.194,,,"ns-1171.awsdns-18.org, ns-1559.awsdns-02.co.uk, ns-178.awsdns-22.com, ns-797.awsdns-35.net",,
,o1.ptr5640.range.co,149.72.50.24,"ns-1171.awsdns-18.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,policy.range.co,"18.66.97.13, 18.66.97.60, 18.66.97.99, 18.66.97.127","ns-1171.awsdns-18.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
,range.co,,"ns-1171.awsdns-18.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,"facebook-domain-verification=zwboivih5ckxvm5r3jwws5kphlnlf9, google-site-verification=1L058XFel48KAAhxxIMgEoLwTFU4sgy_JuHrH5vas8A, google-site-verification=BDofLRQSKB0SjJuqztRKN4viKqTAMovcqEr1jFxoFeM, v=spf1 include:emsd1.com include:sendgrid.net include:_spf.google.com include:amazonses.com include:20958872.spf10.hubspotemail.net -all","ns-1171.awsdns-18.org, ns-1559.awsdns-02.co.uk, ns-178.awsdns-22.com, ns-797.awsdns-35.net","amazon.com, sectigo.com","aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com"
,rt.range.co,"34.197.253.35, 54.82.190.207, 3.215.241.1","ns-1171.awsdns-18.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"ns-1171.awsdns-18.org, ns-1559.awsdns-02.co.uk, ns-178.awsdns-22.com, ns-797.awsdns-35.net",,
,seg-cdn.range.co,"18.66.122.114, 18.66.122.99, 18.66.122.47, 18.66.122.79","ns-1171.awsdns-18.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
,www.range.co,"13.226.153.14, 13.226.153.79, 13.226.153.120, 13.226.153.87","ns-1171.awsdns-18.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
,zoom.range.co,"18.213.97.93, 3.218.16.111, 34.226.228.63","ns-1171.awsdns-18.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
