new,host,a,cname,soa,status_code,cdn,cdn-name,ns,mx,txt,aaaa,caa,has_internal_ips,internal_ips
[x],taxformsapi.sandbox.payoneer.com,130.211.36.192,taxforms-sandbox-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],taxformstest.sandbox.payoneer.com,130.211.36.192,taxforms-sandbox-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],test-sftp-amazon.payoneer.com,88.202.220.212,,"dns1.g01.ns1global.org, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],uptime.payoneer.com,35.190.33.81,uptime-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],urlvalidation.payoneer.com,35.190.33.81,urlvalidation-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,"ns-1226.awsdns-25.org, ns-1972.awsdns-54.co.uk, ns-273.awsdns-34.com, ns-518.awsdns-00.net",,,,,,
[x],urlvalidation.sandbox.payoneer.com,130.211.36.192,urlvalidation-sandbox-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],user.payoneer.com,35.190.33.81,user-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,"ns-1226.awsdns-25.org, ns-1972.awsdns-54.co.uk, ns-273.awsdns-34.com, ns-518.awsdns-00.net",,,,,,
[x],user.sandbox.payoneer.com,130.211.36.192,user-sandbox-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],vat.payoneer.com,35.190.33.81,vat-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],vat.sandbox.payoneer.com,"13.225.78.89, 13.225.78.39, 13.225.78.26, 13.225.78.87",d1smqw0syo3zgo.cloudfront.net,"ns-1255.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1255.awsdns-28.org, ns-1585.awsdns-06.co.uk, ns-228.awsdns-28.com, ns-689.awsdns-22.net",,,,,,
