new,host,a,aaaa,mx,soa,ns,txt,status_code,cdn,cdn-name,cname,caa
[x],alasco.de,"172.67.21.239, 104.22.74.141, 104.22.75.141","2606:4700:10::ac43:15ef, 2606:4700:10::6816:4b8d, 2606:4700:10::6816:4a8d","aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","duke.ns.cloudflare.com, dns.cloudflare.com","duke.ns.cloudflare.com, raina.ns.cloudflare.com","apple-domain-verification=f5VcCC1Nd2BSdJj7, google-site-verification=tKm77qEsMyy890gaxTkV_tie1_c4E28F8e3KfM97zOQ, google-site-verification=yCDXe04aP9o9XOjWzFYXfMQLr4n3nVgfG249lWHmSMo, v=spf1 include:_spf.google.com include:mail.zendesk.com include:servers.mcsv.net include:sendgrid.net include:5181082.spf05.hubspotemail.net ~all",NOERROR,True,cloudflare,,
[x],alasco.rocks,"172.67.69.253, 104.26.5.79, 104.26.4.79, 108.162.193.110, 172.64.33.110, 173.245.59.110, 108.162.194.241, 162.159.38.241, 172.64.34.241","2606:4700:20::681a:54f, 2606:4700:20::ac43:45fd, 2606:4700:20::681a:44f, 2606:4700:58::adf5:3b6e, 2803:f800:50::6ca2:c16e, 2a06:98c1:50::ac40:216e, 2606:4700:50::a29f:26f1, 2803:f800:50::6ca2:c2f1, 2a06:98c1:50::ac40:22f1",,"duke.ns.cloudflare.com, dns.cloudflare.com","duke.ns.cloudflare.com, raina.ns.cloudflare.com",,NOERROR,True,cloudflare,,
[x],api-staging.alasco.rocks,"104.26.5.79, 104.26.4.79, 172.67.69.253","2606:4700:20::ac43:45fd, 2606:4700:20::681a:44f, 2606:4700:20::681a:54f",,"duke.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,,
[x],api.alasco.de,"104.22.75.141, 172.67.21.239, 104.22.74.141","2606:4700:10::6816:4b8d, 2606:4700:10::6816:4a8d, 2606:4700:10::ac43:15ef",,"duke.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,,
[x],app-staging.alasco.rocks,"104.26.4.79, 104.26.5.79, 172.67.69.253","2606:4700:20::ac43:45fd, 2606:4700:20::681a:44f, 2606:4700:20::681a:54f",,"duke.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,,
[x],app-staging.staging.alasco.rocks,,2602:fcbc:0:3::11,,,,,NOERROR,,,,
[x],app.alasco.de,"172.67.21.239, 104.22.74.141, 104.22.75.141","2606:4700:10::ac43:15ef, 2606:4700:10::6816:4a8d, 2606:4700:10::6816:4b8d",,"duke.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,,
[x],developer.alasco.de,"104.22.74.141, 172.67.21.239, 104.22.75.141","2606:4700:10::ac43:15ef, 2606:4700:10::6816:4b8d, 2606:4700:10::6816:4a8d",,"duke.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,,
[x],explore.alasco.de,"13.248.133.76, 76.223.4.166",,,"ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",,,NOERROR,,,custom-domain.teamwalnut.com,
[x],get.alasco.de,"34.205.248.193, 3.224.141.128, 205.251.193.106, 205.251.194.236, 205.251.197.185, 205.251.198.39",,,"ns-748.awsdns-29.net, awsdns-hostmaster.amazon.com","ns-1575.awsdns-04.co.uk, ns-748.awsdns-29.net, ns-362.awsdns-45.com, ns-1465.awsdns-55.org",google-site-verification=OR1Dxjz7lXfsMSTzdmscdUNH56xGM9k7kpj72k7ERAs,NOERROR,,,"17b07ba6002a4ae0a4e55942dffdb9c1.unbouncepages.com, unbouncepages.com","amazon.com, globalsign.com, comodoca.com, letsencrypt.org"
[x],hello.alasco.de,"52.41.190.196, 54.149.247.91, 44.228.158.230",,,"ns-2.awsdns-00.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,"6b5b338e-fb4a-4b34-9035-da21e19b3322.outrch.com, app1e.outrch.com",letsencrypt.org
