input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,tls_subject_org_,tls_wildcard_certificate,cdn_name,webserver,tech_,cdn,final_url,location
alasco.rocks,Software für Finanzcontrolling und ESG-Management | Alasco,200,101363,www.alasco.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-02-20T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",445a5225cf5acfde14a79752fcbfa1e7,6d45b6dd2ca40e1e29140d8c3ebb1d61ec5237caad0d4d1e59c239d1f462dd0a,ctls,www.alasco.de,443,https://alasco.rocks:443,https,text/html,GET,104.26.5.79,/,1625477165,2606:4700:20::ac43:45fd,266,False,"Cloudflare, Inc.",True,cloudflare,cloudflare,Yoast SEO:20.1,True,https://www.alasco.de/,
api-staging.alasco.rocks,,403,42,api-staging.alasco.rocks,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-29T00:00:00Z,2024-03-27T23:59:59Z,"CN=alasco.rocks, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",alasco.rocks,*.alasco.rocks,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5a7eb36d4d27fd3fa0527b313c8e7e94,aa608d61d0dedfb4e115bd5aea501bddf7c820150e2419f3271ab00b4cf78241,ctls,api-staging.alasco.rocks,443,https://api-staging.alasco.rocks:443,https,application/json,GET,104.26.5.79,/,968070783,2606:4700:20::ac43:45fd,1,False,"Cloudflare, Inc.",True,cloudflare,cloudflare,Cloudflare,True,,
app.alasco.de,,302,81,login.alasco.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-29T23:14:12Z,2023-07-28T23:14:11Z,CN=login.alasco.de,login.alasco.de,login.alasco.de,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8b99887baedfe35c36c68549a44a0979,3a80b5858158dd891d7051aea41e07556a01be32c5a0fee5e895b0260f28ec1d,ctls,login.alasco.de,443,https://app.alasco.de:443,https,text/plain,GET,104.22.75.141,/,-8585406,2606:4700:10::ac43:15ef,1,False,,,cloudflare,cloudflare,HTTP/3,True,https://login.alasco.de/u/login/identifier?state=hKFo2SBZUnN2WWQyamZER21FczlpN2VSVWRsSUtwaFUzVGI5NKFur3VuaXZlcnNhbC1sb2dpbqN0aWTZIC1LeHdJaG04MDVSeHVBTldQSjVreXN0a0lSQlRnb0Zzo2NpZNkgWnZITURBQko3WnphM0IxZGdscFc5enZ0U0ZRUXZWVVY,https://app.alasco.de/?iss=https%3A%2F%2Flogin.alasco.de%2F
demo.alasco.de,Software für Finanzcontrolling und ESG-Management | Alasco,200,101363,www.alasco.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-02-20T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",445a5225cf5acfde14a79752fcbfa1e7,6d45b6dd2ca40e1e29140d8c3ebb1d61ec5237caad0d4d1e59c239d1f462dd0a,ctls,www.alasco.de,443,https://demo.alasco.de:443,https,text/html,GET,172.67.21.239,/,-706995874,2606:4700:10::6816:4a8d,266,False,"Cloudflare, Inc.",True,cloudflare,cloudflare,Yoast SEO:20.1,True,https://www.alasco.de/,
developer.alasco.de,Alasco - API,200,1013312,developer.alasco.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-02-20T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",445a5225cf5acfde14a79752fcbfa1e7,6d45b6dd2ca40e1e29140d8c3ebb1d61ec5237caad0d4d1e59c239d1f462dd0a,ctls,developer.alasco.de,443,https://developer.alasco.de:443,https,text/html,GET,104.22.75.141,/,239957989,2606:4700:10::6816:4a8d,1812,False,"Cloudflare, Inc.",True,cloudflare,cloudflare,Cloudflare,True,,
explore.alasco.de,,404,33,explore.alasco.de,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-08T15:46:17Z,2023-08-06T15:46:16Z,CN=account.growthspace.com,account.growthspace.com,www.cybereason.guide,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9c864001bfeb1e9db0a2cf9660f9b5ee,252789bf144abe2a512b0ad68697e197ad42475f261db34dda527cd41d28caaf,ctls,explore.alasco.de,443,https://explore.alasco.de:443,https,application/json,GET,76.223.4.166,/,-1242126446,13.248.133.76,1,False,,,,Cowboy,Cowboy,,,
get.alasco.de,,404,47,get.alasco.de,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-04T13:33:17Z,2023-07-03T13:33:16Z,CN=get.alasco.de,get.alasco.de,get.alasco.de,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3f9342a3edbbb8fbc03409aa9661b8a5,06b27772646fed8f3c68d362725d67b6e52a83566c7cb2cf690eb4850b6d23b1,ctls,get.alasco.de,443,https://get.alasco.de:443,https,text/plain,GET,3.126.202.50,/,-1335621053,3.69.136.55,1,False,,,,,,,,
hello.alasco.de,,204,,hello.alasco.de,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-10T03:04:29Z,2023-07-09T03:04:28Z,CN=hello.alasco.de,hello.alasco.de,hello.alasco.de,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e45fdba7be529c37f20c586729427c03,874f09401ce8f0a031b122041d4c6ec1d3e0b7331b0970e8eca3b88414c5ac96,ctls,hello.alasco.de,443,https://hello.alasco.de:443,https,,GET,44.228.158.230,/,-1840324437,52.41.190.196,1,False,,,,,HSTS,,,
inside.alasco.de,Enhancing Knowledge – Alasco Inside,200,35159,inside.alasco.de,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-05T03:48:30Z,2023-08-03T03:48:29Z,CN=inside.alasco.de,inside.alasco.de,inside.alasco.de,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2a6266a386596355529e045a05309425,e2434835d2f1a71bba6210037fb8ab17bdb920f988bb90a27a3fb03f2e62cc9c,ctls,inside.alasco.de,443,https://inside.alasco.de:443,https,text/html,GET,185.199.108.153,/,-1700323260,2606:50c0:8003::153,638,False,,,,GitHub.com,Webflow,,,
login.alasco.de,Software für Finanzcontrolling und ESG-Management | Alasco,200,101363,www.alasco.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-02-20T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",445a5225cf5acfde14a79752fcbfa1e7,6d45b6dd2ca40e1e29140d8c3ebb1d61ec5237caad0d4d1e59c239d1f462dd0a,ctls,www.alasco.de,443,https://login.alasco.de:443,https,text/html,GET,104.17.235.88,/,-738705486,2606:4700::6811:eb58,266,False,"Cloudflare, Inc.",True,cloudflare,cloudflare,Yoast SEO:20.1,True,https://www.alasco.de/,
