input,title,status_code,content_length,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,final_url,tls_wildcard_certificate,tls_mismatched
api2.magisto.com,Vimeo / Something went wrong,530,5231,cloudflare,80,http://api2.magisto.com:80,http,cloudflare,text/html,GET,104.18.19.84,/,-2019030551,104.18.18.84,Cloudflare,31,False,True,,,,,,,,,,,,,,,,,,,,,
docs.magisto.com,Loading...,200,27577,cloudflare,443,https://docs.magisto.com:443,https,cloudflare,text/html,GET,104.18.18.84,/,-1292046302,104.18.19.84,Handlebars,670,False,True,docs.magisto.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-05-09T00:00:00Z,2024-05-08T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",78615c9d6c3c8bae48b9804f62fcc386,47bd0ef0609e13966cc683bbd9997151c4ddf8419b7b470f40e01d3962d96eba,ctls,docs.magisto.com,https://docs.magisto.com/v3/docs/index.html,,
feed.magisto.com,,403,243,cloudfront,443,https://feed.magisto.com:443,https,AmazonS3,application/xml,GET,99.86.4.54,/,1988625449,99.86.4.13,Amazon Web Services,2,False,True,feed.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-08-07T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,,*.cdn.magisto.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,233b4f234427f020ab0999a2f95d392b,563dd0971db272c980961cdaf5cfb5dddc2bdd3aade6565de8fee7fa801cc909,ctls,feed.magisto.com,,True,True
help.magisto.com,Security check,403,7779,cloudflare,443,https://help.magisto.com:443,https,cloudflare,text/html,GET,104.16.53.111,/,-1279294674,104.16.51.111,Cloudflare,103,False,True,help.magisto.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-26T23:39:11Z,2023-06-24T23:39:10Z,CN=help.magisto.com,help.magisto.com,,help.magisto.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,db43470b4ddc853b3d9521b1e453a366,1a279b273bec66916efe6e97f83a0082c095256d061568175a4caef7f16c61ec,ctls,help.magisto.com,https://help.magisto.com/hc/en-us,,
musiclib.magisto.com,,403,243,cloudfront,443,https://musiclib.magisto.com:443,https,AmazonS3,application/xml,GET,108.138.17.111,/,-2056918400,108.138.17.98,Amazon Web Services,2,False,True,musiclib.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-08-07T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,,*.cdn.magisto.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,233b4f234427f020ab0999a2f95d392b,563dd0971db272c980961cdaf5cfb5dddc2bdd3aade6565de8fee7fa801cc909,ctls,musiclib.magisto.com,,True,True
result4-frankfurt.cdn.magisto.com,,403,243,cloudfront,80,http://result4-frankfurt.cdn.magisto.com:80,http,AmazonS3,application/xml,GET,143.204.215.59,/,-277439862,143.204.215.17,Amazon Web Services,2,False,True,,,,,,,,,,,,,,,,,,,,,
result4.cdn.magisto.com,,403,243,cloudfront,80,http://result4.cdn.magisto.com:80,http,AmazonS3,application/xml,GET,13.32.121.8,/,-1494157049,13.32.121.88,Amazon Web Services,2,False,True,,,,,,,,,,,,,,,,,,,,,
source1.magisto.com,,403,243,cloudfront,443,https://source1.magisto.com:443,https,AmazonS3,application/xml,GET,13.224.189.90,/,-1989973362,13.224.189.128,Amazon Web Services,2,False,True,source1.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-08-07T23:59:59Z,CN=*.magisto.com,*.magisto.com,,*.magisto.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,37f5021ee96715bb61a90b0cac30f26c,25aa40a0618f533f684cdaec908a711550680d1be1426369e4da33834b09966b,ctls,source1.magisto.com,,True,
source3.cdn.magisto.com,,403,243,cloudfront,443,https://source3.cdn.magisto.com:443,https,AmazonS3,application/xml,GET,18.66.122.73,/,-770523586,18.66.122.68,Amazon Web Services,2,False,True,source3.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-08-07T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,,*.cdn.magisto.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,233b4f234427f020ab0999a2f95d392b,563dd0971db272c980961cdaf5cfb5dddc2bdd3aade6565de8fee7fa801cc909,ctls,source3.cdn.magisto.com,,True,
timeline2-new.cdn.magisto.com,,403,243,cloudfront,443,https://timeline2-new.cdn.magisto.com:443,https,AmazonS3,application/xml,GET,52.222.236.53,/,-2060851537,52.222.236.83,Amazon Web Services,2,False,True,timeline2-new.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-08-07T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,,*.cdn.magisto.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,233b4f234427f020ab0999a2f95d392b,563dd0971db272c980961cdaf5cfb5dddc2bdd3aade6565de8fee7fa801cc909,ctls,timeline2-new.cdn.magisto.com,,True,
