new,host,a,soa,status_code,cdn,cdn-name,cname,mx,ns,txt,caa,has_internal_ips,internal_ips,aaaa
[x],push.magisto.com,"34.225.197.26, 54.81.251.128","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],render-api.magisto.com,"10.2.167.207, 10.2.182.71","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,True,"10.2.167.207, 10.2.182.71",
[x],res.magisto.com,"104.18.18.84, 104.18.19.84","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,res.magisto.com.cdn.cloudflare.net,,,,,,,
[x],result-ireland.cdn.magisto.com,"99.86.4.102, 99.86.4.21, 99.86.4.28, 99.86.4.50","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],result.cdn.magisto.com,"13.32.121.8, 13.32.121.88, 13.32.121.91, 13.32.121.46","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],result.magisto.com,"13.32.121.88, 13.32.121.8, 13.32.121.46, 13.32.121.91","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],result2-frankfurt.cdn.magisto.com,"143.204.215.47, 143.204.215.17, 143.204.215.59, 143.204.215.41","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],result2-ireland.cdn.magisto.com,"18.160.46.119, 18.160.46.69, 18.160.46.15, 18.160.46.49","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],result2.cdn.magisto.com,"18.165.83.89, 18.165.83.108, 18.165.83.123, 18.165.83.40","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],result3-frankfurt.cdn.magisto.com,"143.204.215.59, 143.204.215.17, 143.204.215.41, 143.204.215.47","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
