new,host,a,soa,status_code,aaaa,cname,ns,cdn,cdn-name,mx,txt,caa
[x],resources.test-01.sketch.com,"52.222.139.36, 52.222.139.20, 52.222.139.120, 52.222.139.87","ns-813.awsdns-37.net, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:2204:8c00:13:ccc8:cec0:93a1, 2600:9000:2204:9a00:13:ccc8:cec0:93a1, 2600:9000:2204:5800:13:ccc8:cec0:93a1, 2600:9000:2204:b000:13:ccc8:cec0:93a1, 2600:9000:2204:600:13:ccc8:cec0:93a1, 2600:9000:2204:e400:13:ccc8:cec0:93a1, 2600:9000:2204:7800:13:ccc8:cec0:93a1, 2600:9000:2204:9c00:13:ccc8:cec0:93a1",dllwt254iviuz.cloudfront.net,"ns-57.awsdns-07.com, ns-813.awsdns-37.net, ns-1350.awsdns-40.org, ns-1665.awsdns-16.co.uk",True,cloudfront,,,
[x],sketch.com,"18.65.39.84, 18.65.39.116, 18.65.39.66, 18.65.39.128","ns-550.awsdns-04.net, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1981.awsdns-55.co.uk, ns-550.awsdns-04.net, ns-95.awsdns-11.com, ns-1381.awsdns-44.org",True,cloudfront,"aspmx3.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, aspmx2.googlemail.com","stripe-verification=942c79b1b15edc54c1a7baf5867707c080f89dbf01556f90a005c84523566317, stripe-verification=c3b5198dc38b2dddc33d378f5d5d7b8f565d4065abf98ffa4514021fe4875098, v=spf1 a mx include:_spf.google.com a:o1.sendgrid.sketchapp.com include:spf.mandrillapp.com include:servers.mcsv.net include:7692458.spf05.hubspotemail.net -all, 27aab5373841b85aab94982ee19ab62f96481ed6, google-site-verification=kP_cEqGqozxMfS0jrgfErvPS8RGlAsMwWUzl_-Ch1as, h1-domain-verification=xndDxpCtX8ynPmADy6xoeorGaMA7zBisFptHREsPFwVBsorr, stripe-verification=31b540c7fe26e4cb4377c540dc611a548fbff18c586e917132bf6e19627d88fe, stripe-verification=5bd0f22e01bab82b8e6af7dca3a52eb6c411390cec3d8a26b853c36008d29184",
[x],status.sketch.com,"76.76.21.142, 76.76.21.9","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,"cname.instatus.com, cname-china.vercel-dns.com",,,,,,
[x],test-01.sketch.com,"100.24.160.84, 3.217.8.101, 52.73.223.107","ns-36.awsdns-04.com, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1362.awsdns-42.org, ns-1922.awsdns-48.co.uk, ns-36.awsdns-04.com, ns-569.awsdns-07.net",,,,,
[x],test-download-staging.sketch.com,"104.22.36.172, 104.22.37.172, 172.67.13.208","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700:10::6816:24ac, 2606:4700:10::6816:25ac, 2606:4700:10::ac43:dd0",test-download-staging.sketch.com.cdn.cloudflare.net,,True,cloudflare,,,
[x],test-download.sketch.com,"104.22.36.172, 172.67.13.208, 104.22.37.172","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700:10::6816:25ac, 2606:4700:10::6816:24ac, 2606:4700:10::ac43:dd0",test-download.sketch.com.cdn.cloudflare.net,,True,cloudflare,,,
[x],test.sketch.com,"52.73.223.107, 100.24.160.84, 3.217.8.101","ns-389.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1097.awsdns-09.org, ns-2034.awsdns-62.co.uk, ns-389.awsdns-48.com, ns-593.awsdns-10.net",,,,,
[x],testing-download.sketch.com,"172.67.13.208, 104.22.36.172, 104.22.37.172","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700:10::6816:24ac, 2606:4700:10::6816:25ac, 2606:4700:10::ac43:dd0",testing-download.sketch.com.cdn.cloudflare.net,,True,cloudflare,,,
[x],vpn.non-prod.sketch.com,52.54.117.25,"ns-1695.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],vpn.prod.sketch.com,3.220.194.118,"ns-734.awsdns-27.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],www.sketch.com,"18.66.97.62, 18.66.97.85, 18.66.97.8, 18.66.97.37","ns-550.awsdns-04.net, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,
[x],your.sketch.com,"34.141.55.250, 35.198.80.163","dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,"2a05:d014:275:cb01::c8, 2a05:d014:275:cb02::c8",sketchapp.netlify.app,,,,,,
