new,host,a,soa,status_code,cdn,cdn-name,aaaa,cname,ns,txt,has_internal_ips,internal_ips,mx,caa
[x],app.cfs.canon.com,66.251.78.119,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],approvalserver.csa.canon.com,146.184.169.101,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],ars-dev.usa.canon.com,"18.66.112.68, 18.66.112.109, 18.66.112.15, 18.66.112.59","ns-2029.awsdns-61.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"2600:9000:223f:6600:14:607d:fac0:93a1, 2600:9000:223f:7a00:14:607d:fac0:93a1, 2600:9000:223f:b600:14:607d:fac0:93a1, 2600:9000:223f:7400:14:607d:fac0:93a1, 2600:9000:223f:9600:14:607d:fac0:93a1, 2600:9000:223f:1c00:14:607d:fac0:93a1, 2600:9000:223f:4c00:14:607d:fac0:93a1, 2600:9000:223f:ae00:14:607d:fac0:93a1",dyie0z4557w8b.cloudfront.net,"ns-579.awsdns-08.net, ns-131.awsdns-16.com, ns-1364.awsdns-42.org, ns-2029.awsdns-61.co.uk",,,,,
[x],ars-qa.usa.canon.com,"65.9.66.13, 65.9.66.66, 65.9.66.78, 65.9.66.42","ns-561.awsdns-06.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"2600:9000:206f:b600:0:d1d8:a480:93a1, 2600:9000:206f:aa00:0:d1d8:a480:93a1, 2600:9000:206f:4200:0:d1d8:a480:93a1, 2600:9000:206f:e200:0:d1d8:a480:93a1, 2600:9000:206f:6c00:0:d1d8:a480:93a1, 2600:9000:206f:e00:0:d1d8:a480:93a1, 2600:9000:206f:7e00:0:d1d8:a480:93a1, 2600:9000:206f:e800:0:d1d8:a480:93a1",d3pcq6pxbb76aa.cloudfront.net,"ns-1037.awsdns-01.org, ns-1922.awsdns-48.co.uk, ns-369.awsdns-46.com, ns-561.awsdns-06.net",,,,,
[x],ars.cdf.usa.canon.com,34.102.160.245,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],ars.usa.canon.com,"52.85.151.24, 52.85.151.73, 52.85.151.95, 52.85.151.104, 205.251.192.239, 205.251.195.97, 205.251.196.191, 205.251.198.228","ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"2600:9000:201e:3200:1:4e42:9340:93a1, 2600:9000:201e:8800:1:4e42:9340:93a1, 2600:9000:201e:f600:1:4e42:9340:93a1, 2600:9000:201e:6000:1:4e42:9340:93a1, 2600:9000:201e:2a00:1:4e42:9340:93a1, 2600:9000:201e:3800:1:4e42:9340:93a1, 2600:9000:201e:5c00:1:4e42:9340:93a1, 2600:9000:201e:9000:1:4e42:9340:93a1",d2plln8xj85avh.cloudfront.net,"ns-865.awsdns-44.net, ns-239.awsdns-29.com, ns-1764.awsdns-28.co.uk, ns-1215.awsdns-23.org",,,,,
[x],arsdev.cusa.canon.com,146.184.161.197,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],arsqa.cusa.canon.com,146.184.161.196,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],assets.usa.canon.com,"13.227.219.97, 13.227.219.29, 13.227.219.71, 13.227.219.63","ns-582.awsdns-08.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"2600:9000:21c7:4e00:19:5555:1540:93a1, 2600:9000:21c7:c400:19:5555:1540:93a1, 2600:9000:21c7:c800:19:5555:1540:93a1, 2600:9000:21c7:e600:19:5555:1540:93a1, 2600:9000:21c7:d000:19:5555:1540:93a1, 2600:9000:21c7:c200:19:5555:1540:93a1, 2600:9000:21c7:fc00:19:5555:1540:93a1, 2600:9000:21c7:9c00:19:5555:1540:93a1",usa-canon.bynder.com,,,,,,amazonaws.com
[x],autodiscover.canada.canon.com,"40.99.150.56, 52.98.243.24, 40.99.150.72, 52.98.175.24","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,"2603:1026:c0d:c1e::8, 2603:1026:c0d:c2b::8, 2603:1026:c0d:c2c::8, 2603:1026:c0d:c1f::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,
