input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,tech_,lines,cdn
dev.static.sr.cap.websitebuilder.com,404 Not Found,,557,dev.static.sr.cap.websitebuilder.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-23T00:00:00Z,CN=*.static.sr.cap.sitey.com,*.static.sr.cap.sitey.com,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,dev.static.sr.cap.websitebuilder.com,443,https://dev.static.sr.cap.websitebuilder.com:443,https,AmazonS3,text/html,GET,99.86.4.2,Amazon Web Services,21,True
editor.websitebuilder.com,Editor,,57801,editor.websitebuilder.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-01-19T00:00:00Z,"CN=websitebuilder.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",websitebuilder.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,editor.websitebuilder.com,443,https://editor.websitebuilder.com:443,https,cloudflare,text/html,GET,104.17.8.84,HSTS,59,True
embed.websitebuilder.com,Web App - Unavailable,,2242,embed.websitebuilder.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-01-19T00:00:00Z,"CN=websitebuilder.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",websitebuilder.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,embed.websitebuilder.com,443,https://embed.websitebuilder.com:443,https,cloudflare,text/html,GET,104.17.8.84,HSTS,75,True
help.websitebuilder.com,WebsiteBuilder,,5454,app.websitebuilder.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-01-19T00:00:00Z,"CN=websitebuilder.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",websitebuilder.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,app.websitebuilder.com,443,https://help.websitebuilder.com:443,https,cloudflare,text/html,GET,104.17.9.84,HSTS,29,True
helpchat.websitebuilder.com,Support,,872,helpchat.websitebuilder.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-02T00:00:00Z,CN=helpchat.websitebuilder.com,helpchat.websitebuilder.com,,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ctls,helpchat.websitebuilder.com,443,https://helpchat.websitebuilder.com:443,https,nginx/1.12.0,text/html,GET,13.58.72.76,Nginx:1.12.0,20,
helpfos.websitebuilder.com,Cloudflare Captcha Page | Web.com,,255674,www.web.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-09-23T00:00:00Z,CN=*.web.com,*.web.com,,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ctls,www.web.com,443,https://helpfos.websitebuilder.com:443,https,cloudflare,text/html,GET,104.17.8.84,HSTS,130,True
kb.websitebuilder.com,WebsiteBuilder,,9889,kb.websitebuilder.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-01-19T00:00:00Z,"CN=websitebuilder.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",websitebuilder.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,kb.websitebuilder.com,443,https://kb.websitebuilder.com:443,https,cloudflare,text/html,GET,104.17.9.84,HSTS,52,True
link.websitebuilder.com,Cloudflare Captcha Page | Web.com,,255854,www.web.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-09-23T00:00:00Z,CN=*.web.com,*.web.com,,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ctls,www.web.com,443,https://link.websitebuilder.com:443,https,cloudflare,text/html,GET,104.17.8.84,HSTS,130,True
localize.websitebuilder.com,,,29,localize.websitebuilder.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-01-19T00:00:00Z,"CN=websitebuilder.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",websitebuilder.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,localize.websitebuilder.com,443,https://localize.websitebuilder.com:443,https,cloudflare,application/javascript,GET,104.17.9.84,Microsoft ASP.NET,1,True
mail.websitebuilder.com,WebsiteBuilder,,5454,app.websitebuilder.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-01-19T00:00:00Z,"CN=websitebuilder.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",websitebuilder.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,app.websitebuilder.com,443,https://mail.websitebuilder.com:443,https,cloudflare,text/html,GET,104.17.9.84,HSTS,29,True
