new,host,a,soa,status_code,cname,cdn,cdn-name,mx,txt,caa,aaaa,ns
[x],enterpriseenrollment.aims360.com,20.91.147.72,"ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com, ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,"enterpriseenrollment.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu03.swedencentral.cloudapp.azure.com, pexsucpeu01.northeurope.cloudapp.azure.com, pexsucpeu02.westeurope.cloudapp.azure.com",True,azure,,,,,
[x],enterpriseregistration.aims360.com,20.190.137.40,"tm1.dns-tm.com, hostmaster.trafficmanager.net, internal.akadns.net, hostmaster.akamai.com",NOERROR,"enterpriseregistration.windows.net, adrs.privatelink.msidentity.com, www.tm.prd.adrs.trafficmanager.net, www.tm.prd.adrs.akadns.net",True,azure,,,,,
[x],heartbreakerwl.aims360.com,"96.45.83.79, 96.45.82.158, 96.45.82.36, 96.45.83.211","ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,
[x],help.aims360.com,"96.45.83.79, 96.45.83.211, 96.45.82.36, 96.45.82.158","ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,
[x],holiday.aims360.com,"96.45.82.36, 96.45.83.211, 96.45.83.79, 96.45.82.158","ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,
[x],imap.aims360.com,"52.96.91.34, 52.96.88.82, 40.97.228.178, 52.96.207.18, 52.96.119.226, 52.96.21.242, 52.96.12.178, 52.96.46.66, 52.96.228.226, 52.96.27.178","ch0mgt0101dc001.prdmgt01.prod.exchangelabs.com, msnhst.microsoft.com, ph0mgt0101dc002.prdmgt01.prod.exchangelabs.com",NOERROR,"pod51011.outlook.com, pod51043.outlook.com",,,,,,"2603:1036:308:200e::2, 2603:1036:302:415d::2, 2603:1036:303:2834::2, 2603:1036:301:3039::2, 2603:1036:301:4016::2, 2603:1036:307:28d4::2, 2603:1036:301:20b4::2, 2603:1036:307:294b::2, 2603:1036:301:303e::2, 2603:1036:301:2120::2",
[x],img.news.aims360.com,"104.17.106.89, 104.17.105.89, 104.17.103.89, 104.17.104.89, 104.17.102.89","jim.ns.cloudflare.com, dns.cloudflare.com",NOERROR,img.mailin.fr,True,cloudflare,,,"comodoca.com, digicert.com, entrust.net, globalsign.com, letsencrypt.org",,
[x],learn.aims360.com,"199.60.103.226, 199.60.103.30","jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2830404.group4.sites.hubspot.net, group4.sites.hscoscdn00.net",,,,,,"2606:2c40::c73c:671e, 2606:2c40::c73c:67e2",
[x],link.aims360.com,"54.156.128.221, 52.71.250.148, 3.90.123.2","ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,"elink.clickdimensions.com, elink.clickdimensions.com.messagegears.net, www2.messagegears.net, www2.p2.messagegears.net",,,,,,,
[x],losan.aims360.com,51.124.12.35,"ns1-05.azure-dns.com, msnhst.microsoft.com",NOERROR,"salmon-dune-0cb6c880f.1.azurestaticapps.net, azurestaticapps1.trafficmanager.net, msha-slice-1-am2-1.msha-slice-1-am2-1-ase.p.azurewebsites.net, waws-prod-am2-8b19502a.sip.p.azurewebsites.windows.net, msha-slice-1-am2-0.msha-slice-1-am2-0-ase.p.azurewebsites.net, waws-prod-am2-5ecab9f3.sip.p.azurewebsites.windows.net",True,azure,,,,,
[x],lyncdiscover.aims360.com,52.112.192.14,"admin.nsatc.net, dns.level3.net",NOERROR,webdir.online.lync.com,,,,,,2603:1027:0:48::21,
[x],mail.news.aims360.com,94.143.20.209,"ns1.sendinblue.com, hostmaster.sendinblue.com",NOERROR,,,,,,,,
[x],msoid.aims360.com,"40.126.31.69, 20.190.159.0, 20.190.159.2, 20.190.159.73, 20.190.159.4, 20.190.159.71, 20.190.159.23, 40.126.31.73","tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,"clientconfig.microsoftonline-p.net, a.privatelink.msidentity.com, prda.aadg.msidentity.com, www.tm.a.prd.aadg.trafficmanager.net",True,azure,,,,,
[x],my.aims360.com,"52.89.29.252, 34.223.171.238, 35.163.155.59","ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,"ecommerce-3.apps.zuora.com, rbm-ecommerce-shard1-prod2-868157840.us-west-2.elb.amazonaws.com",,,,,,,
[x],o1.sendgridwestip.cloud.aims360.com,168.245.59.239,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,
[x],pay.aims360.com,"96.45.83.79, 96.45.82.36, 96.45.82.158, 96.45.83.211","ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,
[x],r.news.aims360.com,"1.179.112.195, 1.179.112.196, 1.179.112.197","jim.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"r.mailin.fr, r1.mailin.fr",,,,,,,
[x],rdp.aims360.com,"96.45.82.36, 96.45.82.158, 96.45.83.79, 96.45.83.211","ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,
[x],rdpwest.aims360.com,"96.45.82.158, 96.45.83.211, 96.45.83.79, 96.45.82.36","ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,
[x],runway.aims360.com,51.124.12.35,"ns1-05.azure-dns.com, msnhst.microsoft.com",NOERROR,"proud-smoke-09e7dd60f.1.azurestaticapps.net, azurestaticapps1.trafficmanager.net, msha-slice-1-am2-1.msha-slice-1-am2-1-ase.p.azurewebsites.net, waws-prod-am2-8b19502a.sip.p.azurewebsites.windows.net, msha-slice-1-am2-0.msha-slice-1-am2-0-ase.p.azurewebsites.net, waws-prod-am2-5ecab9f3.sip.p.azurewebsites.windows.net",True,azure,,,,,
[x],sharepoint.aims360.com,"96.45.82.36, 96.45.83.79, 96.45.82.158, 96.45.83.211","ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,
[x],tools.aims360.com,54.201.70.121,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,
[x],tracking.aims360.com,"54.38.226.140, 46.105.88.234, 164.132.95.123, 94.23.161.19, 188.165.1.80","ns-270.awsdns-33.com, awsdns-hostmaster.amazon.com",NOERROR,api.elasticemail.com,,,,,,,
[x],training.aims360.com,"96.45.83.79, 96.45.82.158, 96.45.82.36, 96.45.83.211","ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,
[x],videos.aims360.com,"96.45.82.158, 96.45.83.211, 96.45.82.36, 96.45.83.79","ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,
[x],vm1.aims360.com,216.112.34.188,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,
[x],web.aims360.com,52.159.97.111,"ns1-02.azure-dns.com, msnhst.microsoft.com",NOERROR,"analytics.clickdimensions.com, produs-fabric-appgw.northcentralus.cloudapp.azure.com",,,,,,,
[x],wweb.cloud.aims360.com,104.42.249.92,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,abbb1b9b-30b5-4839-b236-28e1abbf0d0c.cloudapp.net,True,azure,,,,,
[x],www.cloud.aims360.com,104.40.50.61,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,True,azure,,,,,
[x],www.help.aims360.com,"96.45.82.36, 96.45.82.158, 96.45.83.79, 96.45.83.211","ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,
[x],www.my.aims360.com,"96.45.83.211, 96.45.82.158, 96.45.82.36, 96.45.83.79","ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,
[x],www.news.aims360.com,94.143.20.209,"ns1.sendinblue.com, hostmaster.sendinblue.com",NOERROR,news.aims360.com,,,news.aims360.com,v=spf1 include:spf.sendinblue.com mx ~all,,,"ns1.sendinblue.com, ns2.sendinblue.com"
[x],zendesk1.aims360.com,"162.159.138.6, 162.159.128.7","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,mail1.zendesk.com,True,cloudflare,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all,,,
[x],zendesk2.aims360.com,"162.159.128.7, 162.159.138.6","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,mail2.zendesk.com,True,cloudflare,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all,,,
[x],zendesk4.aims360.com,"162.159.138.6, 162.159.128.7","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,mail4.zendesk.com,True,cloudflare,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all,,,
