new,host,a,soa,status_code,cdn,cdn-name,cname,mx,txt,ns
[x],api.grofers.com,"104.16.9.45, 104.16.8.45","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],api2.grofers.com,"104.16.9.45, 104.16.8.45","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],api3.grofers.com,"52.74.76.16, 13.213.238.110, 52.74.19.142","ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",NOERROR,,,prod-consumer-ekskonggateway-976672353.ap-southeast-1.elb.amazonaws.com,,,
[x],api4.grofers.com,"104.16.8.45, 104.16.9.45","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],blog.grofers.com,"15.206.78.136, 15.207.139.204","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,grofers-blog-site-357169859.ap-south-1.elb.amazonaws.com,,,
[x],braavos.grofers.com,,,NOERROR,,,prod-consumer-braavos-1873602559.ap-southeast-1.elb.amazonaws.com,,,
[x],brands.grofers.com,"104.16.9.45, 104.16.8.45","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],cdn-cms.grofers.com,"104.16.9.45, 104.16.8.45","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],cdn-s3.grofers.com,"104.16.9.45, 104.16.8.45","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],cdn.grofers.com,"104.16.8.45, 104.16.9.45","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],cloudflare.grofers.com,"104.16.9.45, 104.16.8.45","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],cms.grofers.com,"104.16.8.45, 104.16.9.45","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],cmsapp.grofers.com,"104.16.8.45, 104.16.9.45","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],elite.grofers.com,"104.16.9.45, 104.16.8.45","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],emails.news.grofers.com,206.183.108.3,"ns-980.awsdns-58.net, awsdns-hostmaster.amazon.com",NOERROR,,,e11env.ncfp.asia,mx1.ncfp.asia,"v=spf1 include:ncfp.asia ~all, google-site-verification=2SPFGo5XM0lSHgzwL64zuXAtUYfRGWnKdU4P5wTFyGE",
[x],fwdkim1.grofers.com,"108.156.46.15, 108.156.46.40, 108.156.46.51, 108.156.46.78","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,spfmx1.domainkey.freshemail.io,"mx.sendgrid.net, mxb.freshdesk.com, mxa.freshdesk.com",v=spf1 include:sendgrid.net include:fdspfus.freshemail.io include:fdspfeuc.freshemail.io include:fdspfind.freshemail.io include:fdspfaus.freshemail.io ~all,
[x],grafana.grofers.com,,"henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
