input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_mismatched,final_url
https://api-osmosis.imperator.co/tokens/,,404,22,AS13335,CLOUDFLARENET,US,172.68.28.0/24,api-osmosis.imperator.co,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-24T20:39:17Z,2023-06-22T20:39:16Z,CN=*.imperator.co,*.imperator.co,,imperator.co,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,906bd1f107752e438fef69f99082b88a,9b8fe45bc898104a667954083243c3998332eb3601e8fec7713d76b28f1a7de0,True,ctls,api-osmosis.imperator.co,cloudflare,443,https://api-osmosis.imperator.co:443/tokens/,https,cloudflare,application/json,GET,172.67.42.56,/tokens/,2125685474,2606:4700:10::6816:6df,Cloudflare,1,False,True,,,
https://api.0x.org,,404,48,AS14618,AMAZON-AES,US,18.211.60.0/24,api.0x.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-08T18:54:51Z,2023-07-07T18:54:50Z,CN=api.0x.org,api.0x.org,,api.0x.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f50958aba25f550b91ab09fa3a782a25,655549e1b7d84eab553ce8e36dcf3e6ee393ce5db7a8b0901b892b78bfd2e597,,ctls,api.0x.org,,443,https://api.0x.org:443,https,,application/json,GET,18.211.60.0,/,834205737,3.228.127.101,,1,False,,,,
https://api.1inch.io,,403,16,AS13335,CLOUDFLARENET,US,172.64.192.0/20,api.1inch.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",b2540a2f36609ea88ea3bb51c94d26d6,8119c064ddc18eb44f4a094371d7986f575e049aef7522be622b74952495a06b,True,ctls,api.1inch.io,cloudflare,443,https://api.1inch.io:443,https,cloudflare,text/plain,GET,172.64.145.156,/,1253481126,2606:4700:4400::6812:2a64,Cloudflare Bot Management,1,False,True,,,
https://api.bitcoin.shapeshift.com,ShapeShift Bitcoin API Docs,200,3042,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,api.bitcoin.shapeshift.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-13T00:00:00Z,2024-03-11T23:59:59Z,"CN=shapeshift.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",shapeshift.com,"Cloudflare, Inc.",*.gnosis.shapeshift.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",fe7fe4be2d62dcfef0ea999f68ba3735,3473b3ace7bf39539897ae002b5d08553ef565900ff2771ca7ccabbf97b78462,True,ctls,api.bitcoin.shapeshift.com,cloudflare,443,https://api.bitcoin.shapeshift.com:443,https,cloudflare,text/html,GET,104.16.151.72,/,631524574,2606:4700::6810:9748,Node.js,81,False,True,,,https://api.bitcoin.shapeshift.com/docs/
https://api.boardroom.info/v1/protocols/shapeshift/,,404,23,AS0,Not routed,None,13.32.100.0/23,api.boardroom.info,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-05-01T23:59:59Z,CN=api.boardroom.info,api.boardroom.info,,api.boardroom.info,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3cc99310e34bd982b8cafa4bd9314fe8,2be0408e756e79c54a3a44399e1b6dcf1691c7c2fa80121ffbd5c323476cdee8,,ctls,api.boardroom.info,cloudfront,443,https://api.boardroom.info:443/v1/protocols/shapeshift/,https,,application/json,GET,13.32.99.69,/v1/protocols/shapeshift/,631524574,2600:9000:2251:3e00:3:442a:b900:93a1,Amazon Web Services,1,False,True,,,
https://api.coincap.io/v2/assets,,200,39050,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,api.coincap.io,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",320a33d139f7501f8a344d6da7fb1cba,6f2c45564c51f3f9e899d82ac7b8e776b8ea980f957797662482a8e5175f3bb3,True,ctls,api.coincap.io,cloudflare,443,https://api.coincap.io:443/v2/assets,https,cloudflare,application/json,GET,104.18.230.2,/v2/assets,1593207841,2606:4700::6812:e502,Node.js,1,False,True,,,
https://api.coincap.io/v2/assets/,,200,39050,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,api.coincap.io,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",320a33d139f7501f8a344d6da7fb1cba,6f2c45564c51f3f9e899d82ac7b8e776b8ea980f957797662482a8e5175f3bb3,True,ctls,api.coincap.io,cloudflare,443,https://api.coincap.io:443/v2/assets/,https,cloudflare,application/json,GET,104.18.230.2,/v2/assets/,1593207841,2606:4700::6812:e502,Node.js,1,False,True,,,
https://api.cow.fi,404 Not Found,404,548,AS0,Not routed,None,99.86.8.0/24,api.cow.fi,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-26T00:00:00Z,2024-05-24T23:59:59Z,CN=cow.fi,cow.fi,,*.dev.cow.fi,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,050df16b6cc6b01276c1807cf203dc81,dc133db1b0f597bdc528b741eaea8a469402a07e69609d6b8077326bdcddd030,True,ctls,api.cow.fi,cloudfront,443,https://api.cow.fi:443,https,,text/html,GET,99.86.4.121,/,566218143,99.86.4.77,Amazon Web Services,14,False,True,,,
https://api.etherscan.io,,200,1356,AS29802,HVC-AS,US,217.79.240.0/20,api.etherscan.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-26T00:00:00Z,2023-10-27T23:59:59Z,CN=api.etherscan.io,api.etherscan.io,,www.api.etherscan.io,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,129a64ae920d51fcb7e34b79c4f08e2c,e6faef595e456535ee067edaa6eedb142fc5e0c7e2e09d42fc9bc5813eaaa6a3,,ctls,api.etherscan.io,,443,https://api.etherscan.io:443,https,nginx,text/html,GET,217.79.243.34,/,1631801191,217.79.240.58,Nginx,30,False,,,,
https://api.exchangerate.host/,,200,247,AS13335,CLOUDFLARENET,US,172.68.28.0/24,api.exchangerate.host,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-06T00:00:00Z,2024-02-05T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3a5857bab667319de49ddafac6e0fb30,f6a48dde0f4c24b1970d1c0d399a2ec1b89f77e586feed2cc92c6b98ebacdc37,True,ctls,api.exchangerate.host,cloudflare,443,https://api.exchangerate.host:443,https,cloudflare,application/json,GET,172.67.196.183,/,-1840324437,2606:4700:3030::ac43:c4b7,HTTP/3,1,False,True,,,
