new,host,soa,status_code,a,aaaa,cdn,cdn-name,cname,caa,mx,txt,ns
,dash.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,dev-api.avalanche.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.151.72, 104.16.150.72","2606:4700::6810:9748, 2606:4700::6810:9648",True,cloudflare,,,,,
,dev-api.bitcoin.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.151.72, 104.16.150.72","2606:4700::6810:9748, 2606:4700::6810:9648",True,cloudflare,,,,,
,dev-api.bitcoincash.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.151.72, 104.16.150.72","2606:4700::6810:9748, 2606:4700::6810:9648",True,cloudflare,,,,,
,dev-api.bnbsmartchain.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.150.72, 104.16.151.72","2606:4700::6810:9648, 2606:4700::6810:9748",True,cloudflare,,,,,
,dev-api.cosmos.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"2606:4700::6810:9648, 2606:4700::6810:9748",True,cloudflare,,,,,
,dev-api.ethereum.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.150.72, 104.16.151.72","2606:4700::6810:9748, 2606:4700::6810:9648",True,cloudflare,,,,,
,dev-api.litecoin.shapeshift.com,,NOERROR,,"2606:4700::6810:9648, 2606:4700::6810:9748",True,cloudflare,,,,,
,dev-api.osmosis.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.150.72, 104.16.151.72","2606:4700::6810:9748, 2606:4700::6810:9648",True,cloudflare,,,,,
,dev-api.thorchain.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.151.72, 104.16.150.72","2606:4700::6810:9748, 2606:4700::6810:9648",True,cloudflare,,,,,
,dev-daemon.bitcoin.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.150.72, 104.16.151.72","2606:4700::6810:9648, 2606:4700::6810:9748",True,cloudflare,,,,,
,dev-daemon.bitcoincash.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.150.72, 104.16.151.72","2606:4700::6810:9748, 2606:4700::6810:9648",True,cloudflare,,,,,
,dev-daemon.cosmos.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.150.72, 104.16.151.72","2606:4700::6810:9648, 2606:4700::6810:9748",True,cloudflare,,,,,
,dev-daemon.dogecoin.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.150.72, 104.16.151.72","2606:4700::6810:9648, 2606:4700::6810:9748",True,cloudflare,,,,,
,dev-daemon.ethereum.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.150.72, 104.16.151.72","2606:4700::6810:9748, 2606:4700::6810:9648",True,cloudflare,,,,,
,dev-daemon.optimism.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.150.72, 104.16.151.72","2606:4700::6810:9748, 2606:4700::6810:9648",True,cloudflare,,,,,
,dev-daemon.osmosis.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.150.72, 104.16.151.72","2606:4700::6810:9748, 2606:4700::6810:9648",True,cloudflare,,,,,
,dev-daemon.thorchain.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.151.72, 104.16.150.72","2606:4700::6810:9648, 2606:4700::6810:9748",True,cloudflare,,,,,
,develop.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.150.72, 104.16.151.72","2606:4700::6810:9748, 2606:4700::6810:9648",True,cloudflare,,,,,
,digibyte.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,docs.shapeshift.com,"dahlia.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.2.117, 104.18.3.117","2606:4700::6812:375, 2606:4700::6812:275",True,cloudflare,hosting.gitbook.io,"letsencrypt.org, pki.goog, digicert.com",,,
,dogecoin.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,eos.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,es.shapeshift.com,"ns-1007.awsdns-61.net, awsdns-hostmaster.amazon.com",NOERROR,"151.139.128.11, 151.139.128.10",,,,websites.weglot.com,"amazon.com, letsencrypt.org, sectigo.com, comodoca.com",,,
,ethereum-rinkeby.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,ethereum.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,fio.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,forums.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.150.72, 104.16.151.72",,True,cloudflare,,,,,
,fox.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.151.72, 104.16.150.72","2606:4700::6810:9748, 2606:4700::6810:9648",True,cloudflare,,,,,
