input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,webserver,tls_mismatched,csp_domains_
ftp.info.reveantivirus.com,,200,141,ftp.info.reveantivirus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-05-29T23:59:59Z,CN=info.reveantivirus.com,info.reveantivirus.com,www.info.reveantivirus.com,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",32be099f3f11478bb7f492b5952023e2,13424bdf43fb603dd6d2affb2ddf19ece7973a656942cfbe624bc76c89f02a63,,ctls,ftp.info.reveantivirus.com,443,https://ftp.info.reveantivirus.com:443,https,text/html,GET,72.21.26.167,/,47580528,,72.21.26.167,Apache,6,False,Apache,True,url=https://www.ic-rmm1.eu/ic-cmtp/?setevent=6
ftp.reveantivirus.com,Home - SaasAspire,200,34975,www.saasaspire.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-12T00:00:00Z,2024-04-12T23:59:59Z,CN=www.saasaspire.com,www.saasaspire.com,saasaspire.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,8200558633b6f60bdb0479385b817c32,55c7108ae16b84b92139d3ddec3af668a01e42e5b23d6dcb73bb9cd5d6962415,,ctls,www.saasaspire.com,443,https://ftp.reveantivirus.com:443,https,text/html,GET,185.106.241.55,/,-912181058,https://www.saasaspire.com/,185.106.241.55,wpBakery,492,False,nginx/1.20.1,,
info.reveantivirus.com,,200,141,info.reveantivirus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-05-29T23:59:59Z,CN=info.reveantivirus.com,info.reveantivirus.com,www.info.reveantivirus.com,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",32be099f3f11478bb7f492b5952023e2,13424bdf43fb603dd6d2affb2ddf19ece7973a656942cfbe624bc76c89f02a63,,ctls,info.reveantivirus.com,443,https://info.reveantivirus.com:443,https,text/html,GET,72.21.26.167,/,47580528,,72.21.26.167,Apache,6,False,Apache,,url=https://www.ic-rmm1.eu/ic-cmtp/?setevent=6
mail.reveantivirus.com,403 Forbidden,403,318,mail.reveantivirus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T00:00:00Z,2023-07-11T23:59:59Z,CN=reveantivirus.com,reveantivirus.com,www.reveantivirus.com,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",12c676987bdf690b57741d05808f9d32,b89f57590f08b4336c61839f647659a7bc850cea5158f09eed3d183ca5614998,,ctls,mail.reveantivirus.com,443,https://mail.reveantivirus.com:443,https,text/html,GET,72.21.26.166,/,-1812417198,,72.21.26.166,Apache,10,False,Apache,,
partner.reveantivirus.com,REVE Wallet | Login,200,4333,partner.reveantivirus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,2023-01-01T00:00:00Z,2024-01-01T23:59:59Z,CN=*.reveantivirus.com,*.reveantivirus.com,reveantivirus.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,c6ea63da423b286c3f9281e9724e5b00,eac56718b472964cc01c2ee9a0513853867be8871034493edc7cb053978df17b,True,ctls,partner.reveantivirus.com,443,https://partner.reveantivirus.com:443,https,text/html,GET,149.20.185.2,/,1528242921,https://partner.reveantivirus.com/login/login.jsp,149.20.185.2,Java,79,False,,,
reveantivirus.com,REVE Antivirus-Best Virus Protection|Antivirus|Email Security,200,79099,www.reveantivirus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-01T00:00:00Z,2024-01-01T23:59:59Z,CN=*.reveantivirus.com,*.reveantivirus.com,reveantivirus.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,c6ea63da423b286c3f9281e9724e5b00,eac56718b472964cc01c2ee9a0513853867be8871034493edc7cb053978df17b,True,ctls,www.reveantivirus.com,443,https://reveantivirus.com:443,https,text/html,GET,185.106.241.55,/,-1840324437,https://www.reveantivirus.com/en,185.106.241.55,jQuery,1472,False,nginx/1.20.1,,
webdisk.endpointcloud.reveantivirus.com,,401,35,webdisk.endpointcloud.reveantivirus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-27T00:00:00Z,2023-06-25T23:59:59Z,CN=cpanelserver.revesoft.com,cpanelserver.revesoft.com,www.cpanelserver.revesoft.com,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",a18ede250b59d5a1bd08df6a779ebc32,e0329f128485084d6c1b80854fe66545fb2ae9f0274f3ff949c2b9cb9ec1c19f,,ctls,webdisk.endpointcloud.reveantivirus.com,443,https://webdisk.endpointcloud.reveantivirus.com:443,https,text/html,GET,72.21.26.168,/,-1978936831,,72.21.26.168,Basic,1,False,cPanel,True,
webdisk.info.reveantivirus.com,,401,35,webdisk.info.reveantivirus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-05-29T23:59:59Z,CN=info.reveantivirus.com,info.reveantivirus.com,www.info.reveantivirus.com,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",32be099f3f11478bb7f492b5952023e2,13424bdf43fb603dd6d2affb2ddf19ece7973a656942cfbe624bc76c89f02a63,,ctls,webdisk.info.reveantivirus.com,443,https://webdisk.info.reveantivirus.com:443,https,text/html,GET,72.21.26.167,/,-1978936831,,72.21.26.167,Basic,1,False,cPanel,,
webdisk.reveantivirus.com,,401,35,webdisk.reveantivirus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T00:00:00Z,2023-07-11T23:59:59Z,CN=reveantivirus.com,reveantivirus.com,www.reveantivirus.com,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",12c676987bdf690b57741d05808f9d32,b89f57590f08b4336c61839f647659a7bc850cea5158f09eed3d183ca5614998,,ctls,webdisk.reveantivirus.com,443,https://webdisk.reveantivirus.com:443,https,text/html,GET,72.21.26.166,/,-1978936831,,72.21.26.166,Basic,1,False,cPanel,,
whm.info.reveantivirus.com,WHM Login,200,36824,whm.info.reveantivirus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-27T00:00:00Z,2023-06-25T23:59:59Z,CN=cpanelserver.revesoft.com,cpanelserver.revesoft.com,www.cpanelserver.revesoft.com,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",a18ede250b59d5a1bd08df6a779ebc32,e0329f128485084d6c1b80854fe66545fb2ae9f0274f3ff949c2b9cb9ec1c19f,,ctls,whm.info.reveantivirus.com,443,https://whm.info.reveantivirus.com:443,https,text/html,GET,72.21.26.167,/,1978107464,,72.21.26.167,Apache,293,False,Apache,True,
www.endpointcloud.reveantivirus.com,403 Forbidden,403,318,www.endpointcloud.reveantivirus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-22T00:00:00Z,2023-06-20T23:59:59Z,CN=mail.saasaspire.com,mail.saasaspire.com,webmail.saasaspire.com,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",687d0b686a79d340749dfdeab68a6732,e466646159bdb706cfb0ef4bd82c522a96e1590403d88e405d51eaa77fd68c94,,ctls,www.endpointcloud.reveantivirus.com,443,https://www.endpointcloud.reveantivirus.com:443,https,text/html,GET,72.21.26.168,/,-1812417198,,72.21.26.168,Apache,10,False,Apache,True,
www.info.reveantivirus.com,,200,141,www.info.reveantivirus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-05-29T23:59:59Z,CN=info.reveantivirus.com,info.reveantivirus.com,www.info.reveantivirus.com,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",32be099f3f11478bb7f492b5952023e2,13424bdf43fb603dd6d2affb2ddf19ece7973a656942cfbe624bc76c89f02a63,,ctls,www.info.reveantivirus.com,443,https://www.info.reveantivirus.com:443,https,text/html,GET,72.21.26.167,/,47580528,,72.21.26.167,Apache,6,False,Apache,,url=https://www.ic-rmm1.eu/ic-cmtp/?setevent=6
