new,host,a,soa,status_code,cname,mx,ns,txt
[x],api.reveantivirus.com,191.96.12.243,"dns1.revehosting.com, nirmal.revesoft.com",NOERROR,,,,
,backup.reveantivirus.com,217.172.189.154,"dns1.revehosting.com, nirmal.revesoft.com",NOERROR,,,,
,connect.reveantivirus.com,188.138.75.208,"dns1.revehosting.com, nirmal.revesoft.com",NOERROR,,,,
,cpanel.endpointcloud.reveantivirus.com,,"dns1.revehosting.com, nirmal.revesoft.com",NOERROR,,,,
,cpanel.info.reveantivirus.com,72.21.26.167,"dns1.revehosting.com, nirmal.revesoft.com",NOERROR,,,,
,cpanel.reveantivirus.com,72.21.26.166,"dns1.revehosting.com, nirmal.revesoft.com",NOERROR,,,,
,cpcalendars.endpointcloud.reveantivirus.com,72.21.26.168,"dns1.revehosting.com, nirmal.revesoft.com",NOERROR,,,,
,cpcalendars.info.reveantivirus.com,72.21.26.167,"dns1.revehosting.com, nirmal.revesoft.com",NOERROR,,,,
,cpcalendars.reveantivirus.com,208.74.72.247,"dns1.revehosting.com, nirmal.revesoft.com",NOERROR,,,,
,cpcontacts.info.reveantivirus.com,72.21.26.167,"dns1.revehosting.com, nirmal.revesoft.com",NOERROR,,,,
,cpcontacts.reveantivirus.com,72.21.26.166,"dns1.revehosting.com, nirmal.revesoft.com",NOERROR,,,,
,endpointcloud.reveantivirus.com,162.222.190.203,"dns1.revehosting.com, nirmal.revesoft.com",NOERROR,,,,
,ftp.info.reveantivirus.com,72.21.26.167,"dns1.revehosting.com, nirmal.revesoft.com",NOERROR,,,,
,mail.reveantivirus.com,72.21.26.166,"dns1.revehosting.com, nirmal.revesoft.com",NOERROR,,,,google-site-verification=_ho76scSjLH4zec_UHV-GD3LLeyP72KwB2vNKcotf4c
,myaccount.reveantivirus.com,149.20.185.2,"dns1.revehosting.com, nirmal.revesoft.com",NOERROR,,,,
,service.reveantivirus.com,62.138.12.100,"dns1.revehosting.com, nirmal.revesoft.com",NOERROR,,,,
,update.reveantivirus.com,188.138.75.208,"dns1.revehosting.com, nirmal.revesoft.com",NOERROR,,,,
,webdisk.info.reveantivirus.com,72.21.26.167,"dns1.revehosting.com, nirmal.revesoft.com",NOERROR,,,,
,webmail.endpointcloud.reveantivirus.com,72.21.26.168,"dns1.revehosting.com, nirmal.revesoft.com",NOERROR,,,,
,webmail.reveantivirus.com,72.21.26.166,"dns1.revehosting.com, nirmal.revesoft.com",NOERROR,,,,
,whm.endpointcloud.reveantivirus.com,,"dns1.revehosting.com, nirmal.revesoft.com",NOERROR,,,,
,whm.info.reveantivirus.com,72.21.26.167,"dns1.revehosting.com, nirmal.revesoft.com",NOERROR,,,,
,whm.reveantivirus.com,208.74.72.247,"dns1.revehosting.com, nirmal.revesoft.com",NOERROR,,,,
,www.endpointcloud.reveantivirus.com,"72.21.26.168, 185.106.241.40, 72.21.26.163","dns1.revehosting.com, nirmal.revesoft.com",NOERROR,endpointcloud.reveantivirus.com,mail.endpointcloud.reveantivirus.com,"dns2.revehosting.com, dns1.revehosting.com",v=spf1 +mx +a +ip4:72.21.26.168 ~all
,www.info.reveantivirus.com,72.21.26.167,"dns1.revehosting.com, nirmal.revesoft.com",NOERROR,info.reveantivirus.com,mail.info.reveantivirus.com,"dns1.revehosting.com, dns2.revehosting.com",
,www.reveantivirus.com,185.106.241.55,"dns1.revehosting.com, nirmal.revesoft.com",NOERROR,reveantivirus.com,mail.reveantivirus.com,"dns1.revehosting.com, dns2.revehosting.com",v=spf1 +mx +a +ip4:72.21.26.166 -all
