new,host,a,cname,soa,status_code,ns,mx,txt,cdn,cdn-name,aaaa,caa
[x],114-158-46.shared.sendcloud.com,"52.57.218.212, 35.157.161.78, 3.72.55.244",pod-shared-eks-5da7d6e7780e3924.elb.eu-central-1.amazonaws.com,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],14-courier.shared.sendcloud.com,"52.57.218.212, 35.157.161.78, 3.72.55.244",pod-shared-eks-5da7d6e7780e3924.elb.eu-central-1.amazonaws.com,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],155-9-172-27.shared.sendcloud.com,"3.72.55.244, 35.157.161.78, 52.57.218.212",pod-shared-eks-5da7d6e7780e3924.elb.eu-central-1.amazonaws.com,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],155-9-182-66.shared.sendcloud.com,"3.72.55.244, 35.157.161.78, 52.57.218.212",pod-shared-eks-5da7d6e7780e3924.elb.eu-central-1.amazonaws.com,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],155-9-214-66.shared.sendcloud.com,"35.157.161.78, 3.72.55.244, 52.57.218.212",pod-shared-eks-5da7d6e7780e3924.elb.eu-central-1.amazonaws.com,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],155-9-216-19.shared.sendcloud.com,"52.57.218.212, 35.157.161.78, 3.72.55.244",pod-shared-eks-5da7d6e7780e3924.elb.eu-central-1.amazonaws.com,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],155-9-216-35.shared.sendcloud.com,"52.57.218.212, 35.157.161.78, 3.72.55.244",pod-shared-eks-5da7d6e7780e3924.elb.eu-central-1.amazonaws.com,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],155-9-226-78.shared.sendcloud.com,"35.157.161.78, 3.72.55.244, 52.57.218.212",pod-shared-eks-5da7d6e7780e3924.elb.eu-central-1.amazonaws.com,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],155-9-52-24.shared.sendcloud.com,"35.157.161.78, 3.72.55.244, 52.57.218.212",pod-shared-eks-5da7d6e7780e3924.elb.eu-central-1.amazonaws.com,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],155-9-52-99.shared.sendcloud.com,"3.72.55.244, 52.57.218.212, 35.157.161.78",pod-shared-eks-5da7d6e7780e3924.elb.eu-central-1.amazonaws.com,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],155-9-55-64.shared.sendcloud.com,"52.57.218.212, 3.72.55.244, 35.157.161.78",pod-shared-eks-5da7d6e7780e3924.elb.eu-central-1.amazonaws.com,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1390.awsdns-45.org, ns-1853.awsdns-39.co.uk, ns-271.awsdns-33.com, ns-777.awsdns-33.net",,,,,,
[x],155-9-62-93.shared.sendcloud.com,"3.72.55.244, 52.57.218.212, 35.157.161.78",pod-shared-eks-5da7d6e7780e3924.elb.eu-central-1.amazonaws.com,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1390.awsdns-45.org, ns-1853.awsdns-39.co.uk, ns-271.awsdns-33.com, ns-777.awsdns-33.net",,,,,,
[x],17-121-112-48.shared.sendcloud.com,"52.57.218.212, 3.72.55.244, 35.157.161.78",pod-shared-eks-5da7d6e7780e3924.elb.eu-central-1.amazonaws.com,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],17-121-112-54.shared.sendcloud.com,"35.157.161.78, 3.72.55.244, 52.57.218.212",pod-shared-eks-5da7d6e7780e3924.elb.eu-central-1.amazonaws.com,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],17-121-112-64.shared.sendcloud.com,"52.57.218.212, 35.157.161.78, 3.72.55.244",pod-shared-eks-5da7d6e7780e3924.elb.eu-central-1.amazonaws.com,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1390.awsdns-45.org, ns-1853.awsdns-39.co.uk, ns-271.awsdns-33.com, ns-777.awsdns-33.net",,,,,,
[x],17-121-112-90.shared.sendcloud.com,"3.72.55.244, 52.57.218.212, 35.157.161.78",pod-shared-eks-5da7d6e7780e3924.elb.eu-central-1.amazonaws.com,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1390.awsdns-45.org, ns-1853.awsdns-39.co.uk, ns-271.awsdns-33.com, ns-777.awsdns-33.net",,,,,,
[x],17-121-114-7.shared.sendcloud.com,"3.72.55.244, 35.157.161.78, 52.57.218.212",pod-shared-eks-5da7d6e7780e3924.elb.eu-central-1.amazonaws.com,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],17-121-115-27.shared.sendcloud.com,"3.72.55.244, 35.157.161.78, 52.57.218.212",pod-shared-eks-5da7d6e7780e3924.elb.eu-central-1.amazonaws.com,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],17-121-115-28.shared.sendcloud.com,"52.57.218.212, 35.157.161.78, 3.72.55.244",pod-shared-eks-5da7d6e7780e3924.elb.eu-central-1.amazonaws.com,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],17-121-115-63.shared.sendcloud.com,"3.72.55.244, 52.57.218.212, 35.157.161.78",pod-shared-eks-5da7d6e7780e3924.elb.eu-central-1.amazonaws.com,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],17-121-116-24.shared.sendcloud.com,"35.157.161.78, 52.57.218.212, 3.72.55.244",pod-shared-eks-5da7d6e7780e3924.elb.eu-central-1.amazonaws.com,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],17-121-116-83.shared.sendcloud.com,"35.157.161.78, 3.72.55.244, 52.57.218.212",pod-shared-eks-5da7d6e7780e3924.elb.eu-central-1.amazonaws.com,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
