new,host,a,soa,status_code,txt,aaaa,cdn,cdn-name,mx,ns,has_internal_ips,internal_ips,cname,caa
[x],10.hostgator.cl,162.241.60.77,"jessica.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],10.hostgator.co,162.241.60.61,"jessica.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],10.hostgator.mx,162.241.60.82,"jessica.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],11.hostgator.mx,,"jessica.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],24hourpages.msafovich.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, dnsadmin.staff.hostgator.com",NOERROR,,,,,,"staff2.hostgator.com, staff1.hostgator.com",,,,
[x],420.csanders.staff.hostgator.com,192.185.2.136,"staff1.hostgator.com, root.staff.hostgator.com",NOERROR,,,,,,,,,,
[x],8de7c092f503c78.hostgator.com.br,,"ns1.hostgator.com.br, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],_spf2.hostgator.com,,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 ip4:192.185.178.21 ip4:108.167.133.96/27 ip4:108.179.255.192/27 ip4:50.87.240.128/27 ip4:192.185.178.230 ip4:169.55.246.160/27 ip4:108.167.134.25 ip4:69.64.144.0/20 ip4:98.124.192.0/18 ip4:23.83.208.1/20 ip4:74.91.85.0/24 ip4:208.75.120.0/22 -all,,,,,,,,,
[x],aboyd.staff.hostgator.com,"192.185.2.136, 192.185.13.139","staff1.hostgator.com, noreply.hostgator.com",NOERROR,v=spf1 a mx include:websitewelcome.com ~all,,,,aboyd.staff.hostgator.com,"staff2.hostgator.com, staff1.hostgator.com",,,,
[x],academy.hostgator.com.br,"54.207.250.179, 18.230.96.149","ns-2034.awsdns-62.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,core0001.hostgator.com.br,,,,"lbtls.launchlab.com.br, alb-launchlab-prod-2130614160.sa-east-1.elb.amazonaws.com",
