input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_self_signed,tls_mismatched,tls_subject_org_,tls_wildcard_certificate,final_url,cdn_name,cdn,csp_domains_
0-headnodeoauth.cnosf.deezer.com,,403,272,0-headnodeoauth.cnosf.deezer.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-15T00:00:00Z,2023-07-14T23:59:59Z,CN=0-headnodeoauth.cnosf.deezer.com,0-headnodeoauth.cnosf.deezer.com,0-headnodeoauth.cnosf.deezer.com,"CN=ZeroSSL ECC Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL ECC Domain Secure Site CA,ZeroSSL,e2f79cca209386cbc1fd105879ae6e48,a0e970eb05646e40feb4d975dfc9f53015cafa90016cda87247770a4cc1aee21,ctls,0-headnodeoauth.cnosf.deezer.com,443,https://0-headnodeoauth.cnosf.deezer.com:443,https,openresty,text/html,GET,208.91.197.27,/,-1919887028,208.91.197.27,OpenResty,11,False,,,,,,,,
0-headnodepreprod-files.cnosf.deezer.com,,403,272,0-headnodepreprod-files.cnosf.deezer.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-03-28T00:00:00Z,2023-06-26T23:59:59Z,CN=0-headnodepreprod-files.cnosf.deezer.com,0-headnodepreprod-files.cnosf.deezer.com,0-headnodepreprod-files.cnosf.deezer.com,"CN=ZeroSSL ECC Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL ECC Domain Secure Site CA,ZeroSSL,a3447923592b30c86724c66230aeacfb,a213f5079b523a03c1a4ecfb34c1591112004834305700b3cfa074218116e672,ctls,0-headnodepreprod-files.cnosf.deezer.com,443,https://0-headnodepreprod-files.cnosf.deezer.com:443,https,openresty,text/html,GET,208.91.197.27,/,-1919887028,208.91.197.27,OpenResty,11,False,,,,,,,,
0-idsru-mihomebis.nl-centralafrica.deezer.com,Deezer.com,200,34886,0-idsru-mihomebis.nl-centralafrica.deezer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2020-06-02T05:41:49Z,2030-05-31T05:41:49Z,"CN=testexp, OU=testexample, O=testexample, L=test, ST=California, C=US",testexp,,"CN=testexp, OU=testexample, O=testexample, L=test, ST=California, C=US",testexp,testexample,9442ef3f2ff45957b8819ddd5c7ee549,db5792efac6d5770c2e0fab4920333beda922e4bb98e589e3e8f07683c5e8973,ctls,0-idsru-mihomebis.nl-centralafrica.deezer.com,443,https://0-idsru-mihomebis.nl-centralafrica.deezer.com:443,https,openresty,text/html,GET,208.91.197.27,/,-1919887028,208.91.197.27,OpenResty,233,False,True,True,testexample,,,,,
0-summary-2014-09-13.cnosf.deezer.com,,403,272,0-summary-2014-09-13.cnosf.deezer.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-03-27T00:00:00Z,2023-06-25T23:59:59Z,CN=0-summary-2014-09-13.cnosf.deezer.com,0-summary-2014-09-13.cnosf.deezer.com,0-summary-2014-09-13.cnosf.deezer.com,"CN=ZeroSSL ECC Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL ECC Domain Secure Site CA,ZeroSSL,8b24ada1c7a08b626353382e9608c4af,d0e8ea36a3333f39b0fc300cb5b61d3c5d78e75db8b7222cf84876af44559628,ctls,0-summary-2014-09-13.cnosf.deezer.com,443,https://0-summary-2014-09-13.cnosf.deezer.com:443,https,openresty,text/html,GET,208.91.197.27,/,-1919887028,208.91.197.27,OpenResty,11,False,,,,,,,,
0-summary-files-2020.cnosf.deezer.com,Deezer.com,200,29094,0-summary-files-2020.cnosf.deezer.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-17T00:00:00Z,2023-07-16T23:59:59Z,CN=0-summary-files-2020.cnosf.deezer.com,0-summary-files-2020.cnosf.deezer.com,0-summary-files-2020.cnosf.deezer.com,"CN=ZeroSSL ECC Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL ECC Domain Secure Site CA,ZeroSSL,377408b2011cd7db4030823262c1ba63,b5d0b12b1ecb72f96902721a541696fcb4ab797c46cf3bdf3fe9c887439d1ccc,ctls,0-summary-files-2020.cnosf.deezer.com,443,https://0-summary-files-2020.cnosf.deezer.com:443,https,openresty,text/html,GET,208.91.197.27,/,-1919887028,208.91.197.27,OpenResty,221,False,,,,,,,,
0-summary.cnosf.deezer.com,Deezer.com,200,32957,0-summary.cnosf.deezer.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-09T00:00:00Z,2023-07-08T23:59:59Z,CN=0-summary.cnosf.deezer.com,0-summary.cnosf.deezer.com,0-summary.cnosf.deezer.com,"CN=ZeroSSL ECC Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL ECC Domain Secure Site CA,ZeroSSL,d861e519e25884c1c922143b3746e716,ed67605af3838ef98c8da652fee654466a854627f42476350429e4dc68a31eb7,ctls,0-summary.cnosf.deezer.com,443,https://0-summary.cnosf.deezer.com:443,https,openresty,text/html,GET,208.91.197.27,/,-1919887028,208.91.197.27,OpenResty,233,False,,,,,,,,
0-summary122.cnosf.deezer.com,,403,272,0-summary122.cnosf.deezer.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-03-30T00:00:00Z,2023-06-28T23:59:59Z,CN=0-summary122.cnosf.deezer.com,0-summary122.cnosf.deezer.com,0-summary122.cnosf.deezer.com,"CN=ZeroSSL ECC Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL ECC Domain Secure Site CA,ZeroSSL,fd8e245146b7c7927519426f815ba722,c9db45640431a6405a8f41dca110d02fbf9407fe48c7e96613bbe79c087c2084,ctls,0-summary122.cnosf.deezer.com,443,https://0-summary122.cnosf.deezer.com:443,https,openresty,text/html,GET,208.91.197.27,/,-1919887028,208.91.197.27,OpenResty,11,False,,,,,,,,
0-summary70-487oauth.cnosf.deezer.com,Deezer.com,200,29144,0-summary70-487oauth.cnosf.deezer.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-03-26T00:00:00Z,2023-06-24T23:59:59Z,CN=0-summary70-487oauth.cnosf.deezer.com,0-summary70-487oauth.cnosf.deezer.com,0-summary70-487oauth.cnosf.deezer.com,"CN=ZeroSSL ECC Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL ECC Domain Secure Site CA,ZeroSSL,0427a93e8eae6997f8e08bd05679b59a,c91ae2b76cd0b6b17507d442d4575fa270e9de6bd4c469372461a9e47ea95226,ctls,0-summary70-487oauth.cnosf.deezer.com,443,https://0-summary70-487oauth.cnosf.deezer.com:443,https,openresty,text/html,GET,208.91.197.27,/,-1919887028,208.91.197.27,OpenResty,221,False,,,,,,,,
0-summaryabillsstaging-files.cnosf.deezer.com,,403,272,0-summaryabillsstaging-files.cnosf.deezer.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-03-26T00:00:00Z,2023-06-24T23:59:59Z,CN=0-summaryabillsstaging-files.cnosf.deezer.com,0-summaryabillsstaging-files.cnosf.deezer.com,0-summaryabillsstaging-files.cnosf.deezer.com,"CN=ZeroSSL ECC Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL ECC Domain Secure Site CA,ZeroSSL,ecfea4d6220494c42fa36946af4c65ae,5e2935f12db837254d27044f8f104dd5c62d2437516bb101c873d06a44e8d0d5,ctls,0-summaryabillsstaging-files.cnosf.deezer.com,443,https://0-summaryabillsstaging-files.cnosf.deezer.com:443,https,openresty,text/html,GET,208.91.197.27,/,-1919887028,208.91.197.27,OpenResty,11,False,,,,,,,,
0-summarye-cdnt-proxy-2.cnosf.deezer.com,Deezer.com,200,29332,0-summarye-cdnt-proxy-2.cnosf.deezer.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-14T00:00:00Z,2023-07-13T23:59:59Z,CN=0-summarye-cdnt-proxy-2.cnosf.deezer.com,0-summarye-cdnt-proxy-2.cnosf.deezer.com,0-summarye-cdnt-proxy-2.cnosf.deezer.com,"CN=ZeroSSL ECC Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL ECC Domain Secure Site CA,ZeroSSL,d974aa1046700bd23dc56f65f5e0ae38,3dc2e41da2716a9b1a62eff88b75dd18fc33dc751601962b7ec2377dede2307d,ctls,0-summarye-cdnt-proxy-2.cnosf.deezer.com,443,https://0-summarye-cdnt-proxy-2.cnosf.deezer.com:443,https,openresty,text/html,GET,208.91.197.27,/,-1919887028,208.91.197.27,OpenResty,221,False,,,,,,,,
