new,host,a,ptr,soa,ns,txt,status_code,cname,mx,has_internal_ips,internal_ips,cdn,cdn-name,caa
[x],0-summary70-487oauth.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns2327.ztomy.com, ns1327.ztomy.com",,NOERROR,,,,,,,
[x],0-summaryabillsstaging-files.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],0-summarye-cdnt-proxy-2.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns2327.ztomy.com, ns1327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],0-summaryervicestaging-files.cnosf.deezer.com,"208.91.197.27, 199.79.61.27",ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],0.nl-centralafrica.deezer.com,208.91.197.27,,"ns1327.ztomy.com, abuse.opticaljungle.com",,,NOERROR,,,,,,,
[x],0.nl-uk.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],00-misc-2014-09-13.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],00-misc-35.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],00-misc-files-files.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns2327.ztomy.com, ns1327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],00-misc-files.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns2327.ztomy.com, ns1327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],00-misc-files1z0-567.cnosf.deezer.com,,,"ns1327.ztomy.com, abuse.opticaljungle.com",,,NOERROR,,,,,,,
[x],00-misc-staging-files122.cnosf.deezer.com,,,,,v=spf1 a -all,NOERROR,,,,,,,
[x],00-misc.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],00-miscoauth-0readme.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],00-miscoauth122.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-270-20100130.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-270-2014-09-13.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-270-70-487oauth.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-270-e-cdnt-proxy-9-122.cnosf.deezer.com,208.91.197.27,,,,,NOERROR,,,,,,,
[x],000-270-e-cdnt-proxy-9-35.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-270-e-cdnt-proxy-99302.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns2327.ztomy.com, ns1327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-270-oauth-122.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-270-oauth-1368194175.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns2327.ztomy.com, ns1327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-270-oauth-70-487oauth.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-27027415516oauth.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns2327.ztomy.com, ns1327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-270acnygaaoauth.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns2327.ztomy.com, ns1327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-272-2020.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns2327.ztomy.com, ns1327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-272-9d972dc4b973.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-272-files-157204-files.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns2327.ztomy.com, ns1327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-272-files-files.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns2327.ztomy.com, ns1327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
