new,host,a,cname,soa,status_code,cdn,cdn-name,txt,aaaa,ns,mx,caa,has_internal_ips,internal_ips
[x],17-121-127-76.qab.priceline.com,"151.101.66.186, 151.101.130.186, 151.101.194.186, 151.101.2.186",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,True,fastly,,,,,,,
[x],63-240-36-230.priceline.com,63.240.36.230,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],63-240-42-30.priceline.com,63.240.42.30,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],63-240-42-31.priceline.com,63.240.42.31,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],64-6-17-249.priceline.com,,,,NOERROR,,,,,,,,,
[x],64-6-17-35.priceline.com,,,,NOERROR,,,,,,,,,
[x],64-6-17-85.priceline.com,54.144.128.85,,,NOERROR,,,,,,,,,
[x],64-6-17-87.priceline.com,,,,NOERROR,,,,,,,,,
[x],64-6-18-27.priceline.com,64.6.18.27,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],64-6-21-27.priceline.com,64.6.21.27,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],64-6-30-9.priceline.com,64.6.30.9,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],69-195-35-1.priceline.com,69.195.35.1,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],69-195-35-254.priceline.com,69.195.35.254,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],a309.corp.priceline.com,,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],a321.corp.priceline.com,,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],a421.corp.priceline.com,,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],a7.dev.priceline.com,,,,NOERROR,,,,,,,,,
[x],ace.corp.priceline.com,13.56.10.254,ace-corp-priceline-com.go.akamai-access.com,"ns-1070.awsdns-05.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],admin-staging.rezserver.com,151.101.86.158,rezserver.priceline.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,,,
[x],americanforcestravel.rezserver.com,"151.101.66.150, 151.101.194.150, 151.101.2.150, 151.101.130.150",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,True,fastly,,,,,,,
[x],analysis.corp.priceline.com,34.120.221.12,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,,
[x],api-staging.rezserver.com,"151.101.194.158, 151.101.2.158, 151.101.66.158, 151.101.130.158",rezserver.priceline.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,,,
[x],api.qaa.priceline.com,"151.101.2.186, 151.101.194.186, 151.101.130.186, 151.101.66.186",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,True,fastly,,,,,,,
[x],api.rezserver.com,"151.101.66.150, 151.101.130.150, 151.101.194.150, 151.101.2.150",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,True,fastly,,,,,,,
[x],apipreprod.priceline.com,"151.101.2.186, 151.101.66.186, 151.101.130.186, 151.101.194.186",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,True,fastly,,,,,,,
[x],apiqa.priceline.com,"151.101.130.186, 151.101.194.186, 151.101.2.186, 151.101.66.186",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,True,fastly,,,,,,,
[x],apiqa.rezserver.com,"151.101.2.158, 151.101.194.158, 151.101.66.158, 151.101.130.158",rezserver.priceline.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,,,
[x],apiqab.priceline.com,"151.101.130.186, 151.101.66.186, 151.101.2.186, 151.101.194.186",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,True,fastly,,,,,,,
[x],apiqac.priceline.com,"151.101.194.186, 151.101.2.186, 151.101.130.186, 151.101.66.186",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,True,fastly,,,,,,,
[x],appinstall.priceline.com,35.241.46.146,appinstall-priceline-com.control.kochava.com,"ns-cloud-d1.googledomains.com, liveops.kochava.com",NOERROR,True,google,,2600:1901:0:5d35::,,,,,
[x],apps.priceline.com,64.6.28.27,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],apps.qa.priceline.com,69.195.35.224,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],ash1-dns-dmz.dmz.priceline.com,64.6.30.4,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],ash1-imsva-404.dmz.priceline.com,64.6.30.30,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],ash1-in.corp.priceline.com,64.6.29.210,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],ash1-smtp-dmz01.dmz.priceline.com,64.6.30.5,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,v=spf1 a -all,,,,,,
[x],ash1-smtp-dmz02.dmz.priceline.com,64.6.30.6,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,v=spf1 a -all,,,,,,
[x],asset.qaa.priceline.com,,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,True,fastly,,,,,,,
[x],auth-alt-acc-backupsauth-antiviruspre.qaa.priceline.com,"151.101.66.186, 151.101.2.186, 151.101.194.186, 151.101.130.186",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,True,fastly,,,,,,,
[x],b1.dev.priceline.com,,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],backup.qab.priceline.com,"151.101.66.186, 151.101.130.186, 151.101.194.186, 151.101.2.186",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,True,fastly,,,,,,,
[x],barclaysshortenedapp.priceline.com,,,,NOERROR,,,,,,,,,
[x],bitbucket.corp.priceline.com,64.6.22.84,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],bomgar.corp.priceline.com,,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,v=spf1 -all,,,,,,
[x],book.priceline.com,"151.101.2.186, 151.101.130.186, 151.101.194.186, 151.101.66.186",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,True,fastly,,,,,,,
[x],booking.priceline.com,146.75.122.186,priceline2.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,,,
[x],bookingholdings.com,104.154.66.21,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,"dns1.p09.nsone.net, dns2.p09.nsone.net, dns4.p09.nsone.net, dns3.p09.nsone.net",,,,
[x],c1pclncdn.qaa.priceline.com,69.195.35.143,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],careers.priceline.com,34.83.228.158,wmwpriceline.wpengine.com,"jim.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,
[x],casper.corp.priceline.com,64.6.22.92,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],chat.priceline.com,64.6.21.5,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,v=spf1 ip4:8.20.172.0/24 include:priceline-spf.priceline.com -all,,,"ny-smtp-dmz01.dmz.priceline.com, nw-smtp-dmz01.dmz.priceline.com, ash1-smtp-dmz01.dmz.priceline.com",,,
[x],cheapoair.rezserver.com,,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,True,fastly,,,,,,,
[x],cisweb.dmz.priceline.com,,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],click.emails.priceline.com,66.231.91.47,click.virt.exacttarget.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
[x],customerservice-ccp.priceline.com,"143.204.215.106, 143.204.215.69, 143.204.215.15, 143.204.215.101",d2rvpo40yjy92r.cloudfront.net,"ns-318.awsdns-39.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,"2600:9000:214f:9000:e:9387:5cc0:93a1, 2600:9000:214f:c200:e:9387:5cc0:93a1, 2600:9000:214f:600:e:9387:5cc0:93a1, 2600:9000:214f:d400:e:9387:5cc0:93a1, 2600:9000:214f:8800:e:9387:5cc0:93a1, 2600:9000:214f:3c00:e:9387:5cc0:93a1, 2600:9000:214f:7200:e:9387:5cc0:93a1, 2600:9000:214f:b400:e:9387:5cc0:93a1","ns-1263.awsdns-29.org, ns-1634.awsdns-12.co.uk, ns-318.awsdns-39.com, ns-608.awsdns-12.net",,,,
[x],dac.corp.priceline.com,64.6.23.27,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],dag.corp.priceline.com,69.195.35.20,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],dashboard.corp.priceline.com,34.192.162.139,dashboard-corp-priceline-com.go.akamai-access.com,"ns-1070.awsdns-05.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],dashboard.qaa.priceline.com,"151.101.66.186, 151.101.194.186, 151.101.130.186, 151.101.2.186",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,True,fastly,,,,,,,
[x],data.rezserver.com,,dey2uxmr8kvib.cloudfront.net,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,,,,,,
