new,host,a,soa,ns,status_code,aaaa,cname,caa,txt,cdn,cdn-name,has_internal_ips,internal_ips,mx
[x],accessfms1.smtp.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
[x],accessh.cp1.porkbun.com,"44.241.243.71, 54.200.31.216, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com","ns-1328.awsdns-38.org, ns-1982.awsdns-55.co.uk, ns-199.awsdns-24.com, ns-586.awsdns-09.net",NOERROR,,,,,,,,,
[x],api.fwd2.porkbun.com,"44.237.228.127, 44.241.243.71, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
[x],atl-prd-arsmtr-01b.ml.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
[x],audioz.porkbun.com,"44.237.228.127, 44.241.243.71, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
[x],betaerp-m.cp1.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
[x],cmscf.cp1.porkbun.com,"44.241.243.71, 54.200.31.216, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],grabalong.smtp.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],hbe1.smtp.porkbun.com,"44.237.228.127, 54.200.31.216, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
[x],iadsdk-stg.ml.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com","ns-1328.awsdns-38.org, ns-1982.awsdns-55.co.uk, ns-199.awsdns-24.com, ns-586.awsdns-09.net",NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
[x],internal-ipv6.ml.porkbun.com,"54.200.31.216, 44.237.228.127, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
[x],jijitsuu.ml.porkbun.com,"54.200.31.216, 44.237.228.127, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
[x],or1dpu9046.porkbun.com,"44.241.243.71, 54.200.31.216, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
[x],oxy-oxygen-628afe63.smtp.porkbun.com,"44.241.243.71, 44.237.228.127, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
[x],oxy-oxygen-7c6c7d9f.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
[x],pixie-admin.porkbun.com,172.31.0.89,"ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,True,172.31.0.89,
[x],shop.cloud.porkbun.com,"44.241.243.71, 44.237.228.127, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
[x],smallblue2.ml.porkbun.com,"44.241.243.71, 54.200.31.216, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
[x],stag1.curitiba.porkbun.com,"44.241.243.71, 54.200.31.216, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
[x],tiou.curitiba.porkbun.com,"44.241.243.71, 54.200.31.216, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,ads.porkbun.com,34.209.144.64,"ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com","ns-1328.awsdns-38.org, ns-1982.awsdns-55.co.uk, ns-199.awsdns-24.com, ns-586.awsdns-09.net",NOERROR,,,,,,,,,
,api.porkbun.com,"44.237.228.127, 44.241.243.71, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,app.porkbun.com,"44.237.228.127, 54.200.31.216, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,astrology.porkbun.com,"54.200.31.216, 44.237.228.127, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,autoconfig.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,autodiscover.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,bali.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,barcelona.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,berlin.porkbun.com,"44.237.228.127, 54.200.31.216, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com","ns-1328.awsdns-38.org, ns-1982.awsdns-55.co.uk, ns-199.awsdns-24.com, ns-586.awsdns-09.net",NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,beta.porkbun.com,,"ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,betamax.porkbun.com,"34.213.209.22, 44.230.222.18","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:e642:abb1:84c1:2932, 2600:1f14:35:3002:525a:b1d4:f24f:7f03",,,,,,,,
,blog.porkbun.com,"192.0.78.13, 192.0.78.12","ns1.wordpress.com, mmmmmm.gmail.com",,NOERROR,,"porkbunblog.wordpress.com, lb.wordpress.com",,,,,,,
,blogs.porkbun.com,"54.200.31.216, 44.237.228.127, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,brettflix.porkbun.com,"44.241.243.71, 44.237.228.127, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,builder.porkbun.com,"44.237.228.127, 44.241.243.71, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,business.porkbun.com,"54.200.31.216, 44.237.228.127, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,c.porkbun.com,"44.237.228.127, 44.241.243.71, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,careers.porkbun.com,"44.241.243.71, 44.237.228.127, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,catalunia.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,citrix.porkbun.com,"44.237.228.127, 44.241.243.71, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,click.porkbun.com,"44.241.243.71, 44.237.228.127, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com","ns-1328.awsdns-38.org, ns-1982.awsdns-55.co.uk, ns-199.awsdns-24.com, ns-586.awsdns-09.net",NOERROR,,,,,,,,,
,cloudflare.comfortaleza.porkbun.com,"54.200.31.216, 44.237.228.127, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com","ns-1328.awsdns-38.org, ns-1982.awsdns-55.co.uk, ns-199.awsdns-24.com, ns-586.awsdns-09.net",NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,cname.porkbun.com,"54.200.31.216, 44.237.228.127, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,comfortaleza.porkbun.com,"44.241.243.71, 44.237.228.127, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,coritiba.porkbun.com,"54.200.31.216, 44.237.228.127, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,cp1.porkbun.com,52.10.238.233,"ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
,cp1parked.porkbun.com,"44.237.228.127, 54.200.31.216, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,cp2.porkbun.com,"44.237.228.127, 44.241.243.71, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,cpanel.cp1.porkbun.com,"44.237.228.127, 44.241.243.71, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,cpanel.cp1parked.porkbun.com,"44.237.228.127, 54.200.31.216, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,cpanel.porkbun.com,"44.241.243.71, 54.200.31.216, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,cpcontacts.cp1.porkbun.com,"44.237.228.127, 54.200.31.216, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,cpcontacts.cp1parked.porkbun.com,"44.241.243.71, 44.237.228.127, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com","ns-1328.awsdns-38.org, ns-1982.awsdns-55.co.uk, ns-199.awsdns-24.com, ns-586.awsdns-09.net",NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,curitba.porkbun.com,"44.237.228.127, 54.200.31.216, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com","ns-1328.awsdns-38.org, ns-1982.awsdns-55.co.uk, ns-199.awsdns-24.com, ns-586.awsdns-09.net",NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,curtiba.porkbun.com,"54.200.31.216, 44.237.228.127, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,david.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,de.porkbun.com,,"ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
,demo.porkbun.com,"44.237.228.127, 44.241.243.71, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,denis.porkbun.com,"44.237.228.127, 44.241.243.71, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,dev.porkbun.com,"44.241.243.71, 44.237.228.127, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,diva72.porkbun.com,"54.200.31.216, 44.237.228.127, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,dixie.porkbun.com,52.38.173.188,"ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
,djanjo.porkbun.com,"44.241.243.71, 44.237.228.127, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,dnm.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,dns2.porkbun.com,"44.237.228.127, 54.200.31.216, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,download.porkbun.com,"44.237.228.127, 54.200.31.216, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com","ns-1328.awsdns-38.org, ns-1982.awsdns-55.co.uk, ns-199.awsdns-24.com, ns-586.awsdns-09.net",NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,elastic.porkbun.com,"44.241.243.71, 44.237.228.127, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,email.porkbun.com,"44.237.228.127, 54.200.31.216, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,en.stage.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
,exchange.porkbun.com,"44.241.243.71, 54.200.31.216, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
