new,host,aaaa,soa,status_code,a,cname,ns,cdn,cdn-name,caa,mx,txt
,6055632.e.smartmockups.com,"2600:9000:2240:9000:6:26d7:7000:93a1, 2600:9000:2240:2800:6:26d7:7000:93a1, 2600:9000:236e:cc00:6:26d7:7000:93a1, 2600:9000:2240:b000:6:26d7:7000:93a1, 2600:9000:236e:8a00:6:26d7:7000:93a1, 2600:9000:236e:9800:6:26d7:7000:93a1, 2600:9000:236e:b000:6:26d7:7000:93a1, 2600:9000:236e:a000:6:26d7:7000:93a1","ns-270.awsdns-33.com, awsdns-hostmaster.amazon.com",NOERROR,"13.32.121.16, 13.32.121.17, 13.32.121.52, 13.32.121.18",d35u600tnkzge8.cloudfront.net,"ns-1172.awsdns-18.org, ns-1560.awsdns-03.co.uk, ns-270.awsdns-33.com, ns-673.awsdns-20.net",True,cloudfront,,,
,abmail.e.smartmockups.com,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,u6055632.wl133.sendgrid.net,,,,,mx.sendgrid.net,v=spf1 include:sendgrid.net ~all
,api.smartmockups.com,,"ns-915.awsdns-50.net, awsdns-hostmaster.amazon.com",NOERROR,"99.86.4.116, 99.86.4.118, 99.86.4.107, 99.86.4.75",dmvm8qceje0vh.cloudfront.net,"ns-915.awsdns-50.net, ns-1178.awsdns-19.org, ns-1746.awsdns-26.co.uk, ns-208.awsdns-26.com",True,cloudfront,,,
,auth.smartmockups.com,"2600:9000:2251:4a00:1f:148:d600:93a1, 2600:9000:2251:c600:1f:148:d600:93a1, 2600:9000:2251:a400:1f:148:d600:93a1, 2600:9000:2251:6800:1f:148:d600:93a1, 2600:9000:2251:ec00:1f:148:d600:93a1, 2600:9000:2251:7800:1f:148:d600:93a1, 2600:9000:2251:8a00:1f:148:d600:93a1, 2600:9000:2251:e600:1f:148:d600:93a1","ns-1626.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"13.32.99.113, 13.32.99.81, 13.32.99.79, 13.32.99.84",d373vvrnk1n6u0.cloudfront.net,"ns-1211.awsdns-23.org, ns-1003.awsdns-61.net, ns-1626.awsdns-11.co.uk, ns-475.awsdns-59.com",True,cloudfront,,,
,barnimages.smartmockups.com,2a02:2b88:1:4::38,"daisy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,beta.smartmockups.com,"2a05:d014:275:cb02::c8, 2a05:d014:275:cb01::c8","dns1.p04.nsone.net, hostmaster.nsone.net",NOERROR,"18.192.231.252, 3.72.140.173",beta-smartmockups.netlify.com,,True,google,,,
,blog.smartmockups.com,"2606:4700::6812:6fb, 2606:4700::6812:7fb","daisy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.6.251, 104.18.7.251",,,True,cloudflare,,,
,bloggerideas.smartmockups.com,2a02:2b88:1:4::38,"daisy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,bloggersideas.smartmockups.com,2a02:2b88:1:4::38,"daisy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,bundle.smartmockups.com,2a02:2b88:1:4::38,"daisy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,demo.smartmockups.com,2a02:2b88:1:4::38,"daisy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,dev-api.smartmockups.com,,"ns-1051.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"18.164.52.30, 18.164.52.125, 18.164.52.90, 18.164.52.127",d2lmme9ioe8x9q.cloudfront.net,"ns-1619.awsdns-10.co.uk, ns-190.awsdns-23.com, ns-933.awsdns-52.net, ns-1051.awsdns-03.org",True,cloudfront,,,
,e.smartmockups.com,2a02:2b88:1:4::38,"daisy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,enstinemuki.smartmockups.com,,"daisy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,ftp.smartmockups.com,2a02:2b88:1:4::38,"daisy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,help.smartmockups.com,,"ns-1428.awsdns-50.org, awsdns-hostmaster.amazon.com",NOERROR,"54.81.149.43, 50.16.45.169, 3.217.36.96",smartmockups.helpscoutdocs.com,,,,letsencrypt.org,,
,images-mockups-dev.smartmockups.com,,"daisy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,
,images-mockups-private.smartmockups.com,"2606:4700::6812:6fb, 2606:4700::6812:7fb","daisy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.6.251, 104.18.7.251",,,True,cloudflare,,,
,images-public.smartmockups.com,"2606:4700::6812:6fb, 2606:4700::6812:7fb","daisy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.6.251, 104.18.7.251",,,True,cloudflare,,,
,images.smartmockups.com,2a02:2b88:1:4::38,"daisy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,imap.smartmockups.com,2a02:2b88:1:4::38,"daisy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,img.sendinblue.smartmockups.com,2a02:2b88:1:4::38,"daisy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,justcreative.smartmockups.com,2a02:2b88:1:4::38,"daisy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,l.e.smartmockups.com,"2600:9000:236e:5a00:6:26d7:7000:93a1, 2600:9000:2240:9600:6:26d7:7000:93a1, 2600:9000:236e:e200:6:26d7:7000:93a1, 2600:9000:2240:a200:6:26d7:7000:93a1, 2600:9000:236e:4a00:6:26d7:7000:93a1, 2600:9000:2240:4200:6:26d7:7000:93a1, 2600:9000:2240:2800:6:26d7:7000:93a1, 2600:9000:2240:5200:6:26d7:7000:93a1","ns-270.awsdns-33.com, awsdns-hostmaster.amazon.com",NOERROR,"13.32.121.52, 13.32.121.18, 13.32.121.17, 13.32.121.16",d35u600tnkzge8.cloudfront.net,"ns-1172.awsdns-18.org, ns-1560.awsdns-03.co.uk, ns-270.awsdns-33.com, ns-673.awsdns-20.net",True,cloudfront,,,
,marketplace.smartmockups.com,2a02:2b88:1:4::38,"daisy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,mockup-images.smartmockups.com,2a02:2b88:1:4::38,"daisy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,o3428.abmail.e.smartmockups.com,,"daisy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,50.31.37.225,,,,,,,
,public-api.smartmockups.com,2a02:2b88:1:4::38,"daisy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,releases.smartmockups.com,2a02:2b88:1:4::38,"daisy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,screenshotsapi.smartmockups.com,2a02:2b88:1:4::38,"daisy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,sendinblue.smartmockups.com,2a02:2b88:1:4::38,"daisy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,share.smartmockups.com,2a02:2b88:1:4::38,"daisy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,smartmockups.com,"2606:4700:50::adf5:3a5a, 2803:f800:50::6ca2:c05a, 2a06:98c1:50::ac40:205a","daisy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"76.76.21.21, 108.162.192.90, 172.64.32.90, 173.245.58.90",,"earl.ns.cloudflare.com, daisy.ns.cloudflare.com",,,,"alt1.aspmx.l.google.com, alt3.aspmx.l.google.com, aspmx.l.google.com, alt2.aspmx.l.google.com, alt4.aspmx.l.google.com","google-site-verification=D3geSvYtMBNPWADZl80hkix_-bZM-KBRzazTYYoS8Bc, google-site-verification=ouVrf7HffIwStuG0pODHOLmI-S-LjNLBBCeGBWZB6NY, v=spf1 include:_spf.google.com include:helpscoutemail.com -all"
,smtp.smartmockups.com,,"daisy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,tesla.smartmockups.com,2a02:2b88:1:4::38,"daisy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,test.smartmockups.com,2a02:2b88:1:4::38,"daisy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,web-images.smartmockups.com,2a02:2b88:1:4::38,"daisy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,webmail.smartmockups.com,2a02:2b88:1:4::38,"daisy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,www.smartmockups.com,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,"76.76.21.164, 76.76.21.22",cname.vercel-dns.com,,,,"sectigo.com, letsencrypt.org, globalsign.com",,
