new,host,a,soa,status_code,cname,ns,cdn,cdn-name,txt,has_internal_ips,internal_ips,mx,aaaa,ptr,caa
[x],inbound.pps.sony.com,160.33.197.80,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],indirect.sel.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],infoblox.sie.sony.com,172.31.20.62,"ns-1609.awsdns-09.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.31.20.62,,,,
[x],infoview-boxi.spe.sony.com,54.144.128.85,,NOERROR,,,,,,,,,,,
[x],infoview-dr.spe.sony.com,208.84.227.36,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],infoview.spe.sony.com,208.84.224.116,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],inmx.eu.sony.com,"195.2.36.65, 195.2.37.66","pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],inner1.fw-bc.sony.com,,"ns23.sony.com, hostmaster.sony.com",NOERROR,,,,,v=spf1 -all,,,,,,
[x],int.sony.com,160.33.129.10,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],integ.ack.me.sony.com,"52.41.207.97, 52.43.192.17","ns-1695.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1319.awsdns-36.org, ns-1695.awsdns-19.co.uk, ns-338.awsdns-42.com, ns-593.awsdns-10.net",,,,,,,,,
[x],integ.collect.me.sony.com,"52.89.176.158, 35.163.151.30","ns-1410.awsdns-48.org, awsdns-hostmaster.amazon.com",NOERROR,,"ns-568.awsdns-07.net, ns-101.awsdns-12.com, ns-1410.awsdns-48.org, ns-2034.awsdns-62.co.uk",,,,,,,,,
[x],integ.sumo.me.sony.com,"13.224.222.70, 13.224.222.52, 13.224.222.119, 13.224.222.30","ns-1048.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1048.awsdns-03.org, ns-1755.awsdns-27.co.uk, ns-38.awsdns-04.com, ns-716.awsdns-25.net",True,cloudfront,,,,,,,
[x],integrify.spe.sony.com,208.84.225.123,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],intergate.eu.sony.com,195.2.37.70,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],internaljobs.spe.sony.com,"95.101.74.151, 95.101.74.149","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"internaljobs-spe-sony-com.talentbrew.com, internaljobs.spe.sony.com.edgekey.net, e27833.b.akamaiedge.net",,,,,,,,,,
