new,host,a,soa,status_code,cname,ns,cdn,cdn-name,txt,has_internal_ips,internal_ips,mx,aaaa,ptr,caa
[x],md-vpn.smss.sony.com,184.61.146.38,"ns1.sonynei.net, uniadmin.sonynei.net.smss.sony.com",NOERROR,,,,,,,,,,,
[x],measure.me.sony.com,,"ns-67.awsdns-08.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],mediago.sony.com,,"n0b.akamai.net, hostmaster.akamai.com",NOERROR,"mediago.sony.com.edgesuite.net, a1468.b.akamai.net",,,,,,,,,,
[x],meet.ls15.ap.sony.com,,"a1-189.akam.net, rns.adm.ap.sony.com",NOERROR,,,,,,,,,2400:3c00:0:250::29,,
[x],metasan.playstation.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],mfl.slp.csx.sony.com,"52.222.139.129, 52.222.139.44, 52.222.139.20, 52.222.139.67","ns-39.awsdns-04.com, awsdns-hostmaster.amazon.com",NOERROR,,"ns-39.awsdns-04.com, ns-548.awsdns-04.net, ns-1105.awsdns-10.org, ns-1645.awsdns-13.co.uk",True,cloudfront,,,,inbound-smtp.us-west-2.amazonaws.com,,,
[x],mgmt.account.sony.com,,"dns1.p01.nsone.net, hostmaster.nsone.net, dns1.p05.nsone.net, n.sonynei.net",NOERROR,,,,,,,,,,,
[x],mobiledirapp.spe.sony.com,52.149.215.200,"tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,"mobiledirapp-sony.msappproxy.net, cwap-nam1-runtime.routing.msappproxy.net, nam.proxy-3.appproxy.msidentity.com, www.tm.nam.proxy-3.appproxy.trafficmanager.net",,True,azure,,,,,,,
[x],moveit.snei.sony.com,69.36.132.67,"ns-995.awsdns-60.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],mpinsights-dev2.spe.sony.com,,,NOERROR,,,,,,,,,,,
[x],mta.em-scs.sel.sony.com,199.122.123.181,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,,,
[x],mta.em-sel.sel.sony.com,199.122.123.180,"ns1.harte-hanks.com, hostmaster.harte-hanks.com",NOERROR,,,,,,,,,,,
[x],mta.email.sel.sony.com,199.122.123.172,"ns1.harte-hanks.com, hostmaster.harte-hanks.com",NOERROR,,,,,,,,,,,
[x],mta.email.spe.sony.com,136.147.184.251,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],mta.sel.sony.com,198.31.62.71,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],mta.txn-email.account.sony.com,13.111.27.197,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,,,
[x],mta1.dealer.sel.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,sel-sony-com.mail.protection.outlook.com,,,
[x],mta1.mail01.readerstore.sony.com,74.116.4.112,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],mta12.dealer.sel.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,sel-sony-com.mail.protection.outlook.com,,,
[x],mta13.dealer.sel.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,sel-sony-com.mail.protection.outlook.com,,,
[x],mta14.dealer.sel.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,sel-sony-com.mail.protection.outlook.com,,,
[x],mta15.dealer.sel.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,sel-sony-com.mail.protection.outlook.com,,,
[x],mta16.dealer.sel.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,sel-sony-com.mail.protection.outlook.com,,,
[x],mta17.dealer.sel.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,sel-sony-com.mail.protection.outlook.com,,,
[x],mta18.dealer.sel.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,"pdns1.cscdns.net, pdns2.cscdns.net",,,,,,sel-sony-com.mail.protection.outlook.com,,,
[x],mta19.dealer.sel.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,sel-sony-com.mail.protection.outlook.com,,,
[x],mta2.dealer.sel.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,sel-sony-com.mail.protection.outlook.com,,,
[x],mta2.mail01.readerstore.sony.com,74.116.4.113,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],mta2.mail02.readerstore.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],mta2.response.readerstore.sony.com,74.116.4.125,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],mta20.dealer.sel.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,sel-sony-com.mail.protection.outlook.com,,,
[x],mta22.dealer.sel.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],mta23.dealer.sel.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,sel-sony-com.mail.protection.outlook.com,,,
[x],mta3.mail02.readerstore.sony.com,74.116.4.120,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],mta4.dealer.sel.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,sel-sony-com.mail.protection.outlook.com,,,
[x],mta4.email.sel.sony.com,,"ns1.harte-hanks.com, hostmaster.harte-hanks.com",NOERROR,,,,,,,,,,,
[x],mta4.mail01.readerstore.sony.com,74.116.4.115,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],mta5.dealer.sel.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,sel-sony-com.mail.protection.outlook.com,,,
[x],mta6.dealer.sel.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,sel-sony-com.mail.protection.outlook.com,,,
[x],mta6.email.sel.sony.com,199.122.123.177,"ns1.harte-hanks.com, hostmaster.harte-hanks.com",NOERROR,,,,,,,,,,,
[x],mta7.dealer.sel.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],mta7.email.sel.sony.com,,"ns1.harte-hanks.com, hostmaster.harte-hanks.com",NOERROR,,,,,,,,,,,
[x],mta8.dealer.sel.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,sel-sony-com.mail.protection.outlook.com,,,
[x],mta8.email.sel.sony.com,199.122.123.179,"ns1.harte-hanks.com, hostmaster.harte-hanks.com",NOERROR,,,,,,,,,,,
[x],mx01.playstation.sony.com,64.68.76.53,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],mx02.playstation.sony.com,64.68.76.15,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,"pdns1.cscdns.net, pdns2.cscdns.net",,,,,,,,,
[x],mx1.me.sel.sony.com,160.33.41.148,"ns-872.awsdns-45.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],mx1.spe.sony.com,216.34.216.52,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],mx2.me.sel.sony.com,160.33.41.149,"ns-872.awsdns-45.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],my-qa.spe.sony.com,208.84.225.71,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],my-qa.spti.spe.sony.com,208.84.224.155,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],my.sony.com,160.33.129.103,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],my.spe.sony.com,208.84.224.163,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],mypss.spe.sony.com,"100.21.151.200, 54.148.153.69, 54.70.104.163","ns-1870.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,nlb-WDG-extazwaf-prod-678776be3d9164f3.elb.us-west-2.amazonaws.com,,,,,,,,,,
[x],mypss2.spe.sony.com,208.84.224.110,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],myrsa-qa.spe.sony.com,208.84.225.174,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],myspe-onenet-qa.spe.sony.com,208.84.225.72,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],myspe.spe.sony.com,23.221.241.81,"n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,"my.spe.sony.com.edgekey.net, e9187.dsca.akamaiedge.net",,,,,,,,"2a02:26f0:c900:297::23e3, 2a02:26f0:c900:286::23e3",,
[x],mysptax.am.sony.com,54.144.128.85,,NOERROR,,,,,,,,,,,
[x],mysptaxdev.am.sony.com,,,NOERROR,,,,,,,,,,,
[x],na-dev.dev.lex.me.sony.com,"3.217.249.121, 52.22.19.212","ns-856.awsdns-43.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],na-stage.dev.lex.me.sony.com,"44.195.172.121, 52.73.216.243","ns-856.awsdns-43.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],na.vpn.spe.sony.com,173.251.241.66,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],na2.vpn.spe.sony.com,173.251.241.66,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],na3.vpn.spe.sony.com,,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],nat-out.fw-sj.sony.com,,"ns23.sony.com, hostmaster.sony.com",NOERROR,,,,,v=spf1 -all,,,,,,
[x],nat.bomgar0279.spe.sony.com,208.84.227.237,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],nat.playstation.sony.com,69.36.131.254,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],nat.vip.extedcwaf.spe.sony.com,173.251.241.26,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],nat.vip.extvmc.spe.sony.com,173.251.241.70,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],newdirect.sel.sony.com,198.83.178.2,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],news.sel.sony.com,"52.54.61.129, 34.206.238.167","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,"blog.sony.com, blogsony.prod01.use1.asgardmap.net, blogsony-alb-953748344.us-east-1.elb.amazonaws.com",,,,,,,,,,
[x],newvaiodirect.sel.sony.com,198.83.178.6,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],nextengine01.spe.sony.com,173.251.241.76,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],nextengine02.spe.sony.com,173.251.241.76,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,"udns1.ultradns.net, udns2.ultradns.net",,,,,,,,,
[x],nextengine03.spe.sony.com,173.251.241.76,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],nexus.sie.sony.com,149.96.232.222,"edns140.ultradns.com, root.service-now.com",NOERROR,playstation.service-now.com,,,,,,,,,,
[x],nexussandbox.sie.sony.com,149.96.47.12,"edns140.ultradns.com, root.service-now.com",NOERROR,playstationsandbox.service-now.com,"use3.akam.net, usw1.akam.net, aus1.akam.net, edns140.ultradns.biz, edns140.ultradns.com, edns140.ultradns.net, edns140.ultradns.org, eur6.akam.net, ns1-234.akam.net, ns1-98.akam.net, usc4.akam.net, use1.akam.net",,,,,,,,,
[x],nonprod-thehub.sie.sony.com,,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"eu-public-lb-cust-sonyeuuat.interactgo.com, eu-public-lb-cust-sony-1188192653.eu-west-1.elb.amazonaws.com",,,,,,,,,,
[x],nonprod.stackoverflow.sie.sony.com,10.201.186.246,"ns-1609.awsdns-09.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,10.201.186.246,,,,
[x],np-amibakery.aws.sie.sony.com,10.201.184.189,"ns-487.awsdns-60.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,10.201.184.189,,,,
[x],ns1.eu.sony.com,195.2.36.70,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,"pdns1.cscdns.net, pdns2.cscdns.net",,,,,,,,,
[x],ns1.sony.com,"160.33.66.21, 160.33.195.5","pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],ns11.sony.com,160.33.98.228,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],ns2.sony.com,160.33.98.148,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,ns21.sony.com,,,,,,,,,,
[x],ns22.sony.com,160.33.98.149,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],ns23.sony.com,160.33.98.148,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],ns24.sony.com,160.33.98.149,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],ns25.sony.com,160.33.110.148,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],ns3.eu.sony.com,195.2.38.66,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],ns3.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],ns4.sony.com,160.33.98.149,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,ns22.sony.com,,,,,,,,,,
[x],ns5.sony.com,160.33.110.149,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],nvx.sony.com,18.233.51.112,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],nz.readerstore.sony.com,173.230.217.90,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],o1.dl.sony.com,149.72.145.247,"ns-422.awsdns-52.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],o2.acm.account.sony.com,167.89.80.230,"a1-134.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,,,,
[x],ocsav.eu.sony.com,195.2.37.167,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,"pdns1.cscdns.net, pdns2.cscdns.net",,,,,,,,,
[x],office2013webapps.ls15.ap.sony.com,,"a1-189.akam.net, rns.adm.ap.sony.com",NOERROR,,,,,,,,,,,
[x],okr.spe.sony.com,173.251.241.56,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,ssoext.spe.sony.com,,,,,,,,,,
[x],omh.direct.ebookstore.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],omh.response.ebookstore.sony.com,64.5.35.158,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],omsappwinprd.am.sony.com,"54.211.100.111, 3.211.56.243","ns-774.awsdns-32.net, awsdns-hostmaster.amazon.com",NOERROR,pop-prod-lb.uka.prod.use1.asgardmap.net,,,,,,,,,,
[x],omsappwinqa.am.sony.com,"44.208.173.31, 44.206.192.221","ns-864.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,pop-qa-lb-2.uka.nonprod.use1.asgardmap.net,,,,,,,,,,
[x],onetrust.spe.sony.com,173.251.241.56,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,ssoext.spe.sony.com,"udns1.ultradns.net, udns2.ultradns.net",,,,,,,,,
[x],oradev.sel.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],oraprod.sel.sony.com,198.83.178.13,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],oraprodnew.sel.sony.com,160.33.102.156,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],origin-claims.test.sfo.sie.sony.com,"52.211.127.134, 34.249.242.151","ns-1463.awsdns-54.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=Z00836231TI6EUXZKTZRS,external-dns/resource=ingress/test01/test-claims-api-pub-orig",,,,,,
[x],origin-rma-portal.staging.sfo.sie.sony.com,"52.18.228.46, 108.128.37.89","ns-915.awsdns-50.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=Z008746330VCRJX9GHFP4,external-dns/resource=ingress/staging01/staging-rma-portal-pub-orig",,,,,,
[x],origin-rma-portal.test.sfo.sie.sony.com,"52.212.89.43, 54.76.9.111","ns-1463.awsdns-54.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=Z00836231TI6EUXZKTZRS,external-dns/resource=ingress/test01/test-rma-portal-pub-orig",,,,,,
[x],oriss.ap.sony.com,,"a1-189.akam.net, rns.adm.ap.sony.com",NOERROR,,,,,,,,,,,
[x],otacglobalnqa.sap.erpapps.sie.sony.com,160.33.149.55,"ns-2008.awsdns-59.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],outer1-flot.fw-bc.sony.com,198.83.176.239,"ns23.sony.com, hostmaster.sony.com",NOERROR,,,,,v=spf1 -all,,,,,,
[x],outer1.fw-bc.sony.com,198.83.177.239,"ns23.sony.com, hostmaster.sony.com",NOERROR,,,,,v=spf1 -all,,,,,,
[x],outer3-flot.fw-bc.sony.com,198.83.176.236,"ns23.sony.com, hostmaster.sony.com",NOERROR,,,,,v=spf1 -all,,,,,,
[x],outer3.fw-bc.sony.com,198.83.177.126,"ns23.sony.com, hostmaster.sony.com",NOERROR,,,,,,,,,,,
[x],owa-east.sel.sony.com,160.33.98.149,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],owa-west.fw-bc.sony.com,160.33.98.149,"ns23.sony.com, hostmaster.sony.com",NOERROR,,,,,v=spf1 -all,,,,,,
[x],owa.fw-bc.sony.com,198.83.177.29,"ns23.sony.com, hostmaster.sony.com",NOERROR,,,,,v=spf1 -all,,,,,,
[x],owa.spe.sony.com,208.84.225.11,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],pages.direct.account.sony.com,13.111.38.231,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,,,
[x],pages.email.nbg.sel.sony.com,13.111.214.90,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],pages.exhibitorrelations.spe.sony.com,13.111.214.95,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],pages.pro.sony.com,"104.17.72.206, 104.17.74.206, 104.17.71.206, 104.17.73.206, 104.17.70.206","bart.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"sonybusinessservices.mktoweb.com, ab29.mktossl.com",,True,cloudflare,,,,,,,
[x],pam.spe.sony.com,208.84.227.15,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],panopta.spe.sony.com,173.251.241.56,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,ssoext.spe.sony.com,,,,,,,,,,
[x],partner.developer.sony.com,44.236.114.87,"ns-1284.awsdns-32.org, awsdns-hostmaster.amazon.com",NOERROR,,"ns-623.awsdns-13.net, ns-1284.awsdns-32.org, ns-1803.awsdns-33.co.uk, ns-449.awsdns-56.com",,,,,,inbound-smtp.us-west-2.amazonaws.com,,,
[x],partnerships.spe.sony.com,"35.165.155.81, 54.68.31.139, 35.160.97.64","ns-1870.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,nlb-WDG-extaz-prod-45f32a1a3fd08bff.elb.us-west-2.amazonaws.com,"ns-1283.awsdns-32.org, ns-1870.awsdns-41.co.uk, ns-424.awsdns-53.com, ns-748.awsdns-29.net",,,,,,,,,
[x],pbbaft01.spe.sony.com,208.84.227.72,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],pbeta-smtp1.playstation.sony.com,167.216.233.124,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],pet-pdp.sony.com,104.102.53.179,"n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"petuat.gwt.edgekey.net, e16069.dscb.akamaiedge.net",,,,,,,,"2a02:26f0:480:bb6::3ec5, 2a02:26f0:480:ba4::3ec5",,
[x],pgp.spe.sony.com,208.84.227.219,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],photo.spe.sony.com,208.84.227.159,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],photoftp.spe.sony.com,208.84.227.222,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],pi.spe.sony.com,"44.237.37.208, 44.236.164.171, 34.213.88.90","ns-1870.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,nlb-ariba-pi-prd-101c27d7b5018901.elb.us-west-2.amazonaws.com,"ns-1283.awsdns-32.org, ns-1870.awsdns-41.co.uk, ns-424.awsdns-53.com, ns-748.awsdns-29.net",,,,,,,,,
[x],pic.eu.sony.com,160.33.196.33,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],pidev.spe.sony.com,,"ns-1870.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,nlb-pi-dev-dfa4bff5b2be6c0d.elb.us-west-2.amazonaws.com,,,,,,,,,,
[x],pim.sel.sony.com,"44.208.58.69, 34.196.158.53","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,pimcore-alb-newvpc-1037294085.us-east-1.elb.amazonaws.com,,,,,,,,"2600:1f18:1608:1202:e411:9851:6634:dff1, 2600:1f18:1608:1201:d28f:e1eb:8c90:9e93",,
[x],pin.spe.sony.com,173.251.241.56,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,ssoext.spe.sony.com,,,,,,,,,,
[x],pinnacle.spe.sony.com,173.251.241.56,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,ssoext.spe.sony.com,,,,,,,,,,
[x],pinnacleweb.spe.sony.com,208.84.224.122,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],piratessweeps.experience.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],plasma.sony.com,66.173.20.201,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,flatpanel.sony.com,,,,,,,,,,
[x],platform-develop.cdp.gis.sony.com,"99.86.114.53, 99.86.114.81, 99.86.114.109, 99.86.114.122","ns-1350.awsdns-40.org, awsdns-hostmaster.amazon.com",NOERROR,,"ns-129.awsdns-16.com, ns-1350.awsdns-40.org, ns-1891.awsdns-44.co.uk, ns-997.awsdns-60.net",True,cloudfront,,,,,,,
[x],platform-staging.cdp.gis.sony.com,"108.157.4.92, 108.157.4.21, 108.157.4.62, 108.157.4.85","ns-1350.awsdns-40.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,,,,,
[x],playbook.spe.sony.com,208.84.225.69,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,tpm.spe.sony.com,,,,,,,,,,
[x],playstation.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,"mxa-001d1702.gslb.pphosted.com, mxb-001d1702.gslb.pphosted.com",,,
[x],playstationtranslations.sie.sony.com,172.25.5.12,"ns-1609.awsdns-09.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.25.5.12,,2620:106:7081:8::12,,
[x],plug-east.fw-bc.sony.com,,"ns23.sony.com, hostmaster.sony.com",NOERROR,,,,,,,,,,,
[x],pnara.spe.sony.com,208.84.227.168,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],pnc-omb.sel.sony.com,198.83.178.8,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],portal.sel.sony.com,160.33.199.37,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,remote.sonyusa.com,,,,,,,,,,
[x],potracker-qa.spe.sony.com,208.84.224.81,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,"udns1.ultradns.net, udns2.ultradns.net",,,,,,,,,
[x],potracker-stg.spe.sony.com,208.84.224.82,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],potracker.spe.sony.com,173.251.241.70,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,nat.vip.extvmc.spe.sony.com,,,,,,,,,,
[x],ppm.spe.sony.com,52.149.215.200,"tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,"ppm-sony.msappproxy.net, cwap-nam1-runtime.routing.msappproxy.net, nam.proxy-3.appproxy.msidentity.com, www.tm.nam.proxy-3.appproxy.trafficmanager.net",,True,azure,,,,,,,
[x],preqa.store.sony.com,160.33.135.34,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],prestg.sony.com,160.33.128.115,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],preview-test.sony.com,2.23.142.155,"n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,"preview-test.sony.edgekey.net, e16857.dsca.akamaiedge.net",,,,,,,,"2001:2030:4e:8b::41d9, 2001:2030:4e:86::41d9",,
[x],preview-uat-pdp.sony.com,95.100.69.191,"n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"preview-uat-pdp.edgekey.net, e16070.dscb.akamaiedge.net",,,,,,,,"2a02:26f0:1700:195::3ec6, 2a02:26f0:1700:184::3ec6",,
[x],prism-dev.spe.sony.com,,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],prism-dr.spe.sony.com,208.84.227.37,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,extjbsan-dr.spe.sony.com,,,,,,,,,,
[x],prism-stg.spe.sony.com,208.84.224.83,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],prism.spe.sony.com,173.251.241.24,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,nat.vip.extedc.spe.sony.com,,,,,,,,,,
[x],pro.sony.com,23.222.51.195,"n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,"pro.sony.edgekey.net, e14388.dsca.akamaiedge.net",,,,,,,,"2a02:26f0:c900:290::3834, 2a02:26f0:c900:28a::3834",,
[x],probizqa.sel.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,sel-sony-com.mail.protection.outlook.com,,,
[x],probizstg.sel.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,sel-sony-com.mail.protection.outlook.com,,,
