input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,method,host,path,favicon,a_,lines,failed,webserver,content_type,tech_,tls_mismatched,tls_wildcard_certificate,cdn_name,cdn,csp_domains_,final_url
a.dev.octopus.com,Continuous delivery & deployment automation tool for DevOps teams | Octopus Deploy - Octopus Deploy,200,62090,a.dev.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-09T00:00:00Z,2023-08-09T23:59:59Z,CN=a.dev.octopus.com,a.dev.octopus.com,a.dev.octopus.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",ddb4a84e64f67e783dfc7cb48bc34b69,813c1c0cf9bf6c83cc50fe52245abf3ea448acf600fbfd049041181ca80eeaed,ctls,a.dev.octopus.com,443,https://a.dev.octopus.com:443,https,GET,13.107.253.45,/,,2620:1ec:48:1::45,1613,False,,text/html,Microsoft ASP.NET,,,,,,
advisories.octopus.com,Octopus Deploy Security Advisories,200,52948,advisories.octopus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,2023-12-31T23:59:59Z,CN=advisories.octopus.com,advisories.octopus.com,advisories.octopus.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,538e8b2469ea8e7ccbdd860b816ed17b,5d307925b1cef0c27f33396cfffcbb61b3036a7dff410dd5995bbf43eb5784ff,ctls,advisories.octopus.com,443,https://advisories.octopus.com:443,https,GET,18.66.97.38,/,1849967531,2600:9000:223c:1400:10:8dfc:6000:93a1,925,False,AmazonS3,text/html,Hugo:0.111.3,,,cloudfront,True,,
api.billing.c.dev.octopus.com,,200,44,api.billing.c.dev.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-09T00:00:00Z,2023-08-09T23:59:59Z,CN=api.billing.c.dev.octopus.com,api.billing.c.dev.octopus.com,api.billing.c.dev.octopus.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",ea852c2ee2e9ac0e7a9e0e25f375aeb7,9fb73cd476b34f8559c509106fa1bd4f4e6e25dc254856f90e003aa933624044,ctls,api.billing.c.dev.octopus.com,443,https://api.billing.c.dev.octopus.com:443,https,GET,13.107.253.45,/,-1840324437,2620:1ec:48:1::45,1,False,,application/json,HSTS,,,,,,
api.billing.octopus.com,,200,44,api.billing.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-20T00:00:00Z,2023-09-20T23:59:59Z,CN=api.billing.octopus.com,api.billing.octopus.com,api.billing.octopus.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",9fceb5c202e0533fde5757122dd50ca5,1c2c85755a40c33c99b85a6dd6e31fa1a1765bd713955d6f8d894cc14da319c3,ctls,api.billing.octopus.com,443,https://api.billing.octopus.com:443,https,GET,13.107.253.45,/,-1840324437,2620:1ec:48:1::45,1,False,,application/json,HSTS,,,,,,
apt.octopus.com,,403,243,apt.octopus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-23T00:00:00Z,2023-12-23T23:59:59Z,CN=apt.octopus.com,apt.octopus.com,apt.octopus.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,95d0a570cf2fca9d624d48029457bb1c,518b52a9326bcc2798147f4de2782e2ea372499a1a49e3c0bc7ed4c2f8331d78,ctls,apt.octopus.com,443,https://apt.octopus.com:443,https,GET,18.66.97.18,/,400381118,2600:9000:223c:e000:3:5e6e:eb40:93a1,2,False,AmazonS3,application/xml,HTTP/3,,,cloudfront,True,,
billing.a.dev.octopus.com,Octopus Billing,200,3831,billing.a.dev.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-08T00:00:00Z,2023-08-08T23:59:59Z,CN=billing.a.dev.octopus.com,billing.a.dev.octopus.com,billing.a.dev.octopus.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",ecc243ea3c84c976d4c6faf3b24f3509,48f0edd40bc2a97794e67085e5667173413feaaa0a65af4eba69be990ba2ec02,ctls,billing.a.dev.octopus.com,443,https://billing.a.dev.octopus.com:443,https,GET,13.107.253.45,/,-266780419,2620:1ec:48:1::45,110,False,,text/html,HSTS,,,,,,
billing.b.dev.octopus.com,Octopus Billing,200,3831,billing.b.dev.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-02T00:00:00Z,2023-08-02T23:59:59Z,CN=billing.b.dev.octopus.com,billing.b.dev.octopus.com,billing.b.dev.octopus.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",d271dfd2a9168f58a7886c09b3902ad8,5f24c031918ea9dded9de48b198f4a4558da6b6c9f7fb8f2ce759a641abfea14,ctls,billing.b.dev.octopus.com,443,https://billing.b.dev.octopus.com:443,https,GET,13.107.253.45,/,-766221723,2620:1ec:48:1::45,110,False,,text/html,HSTS,,,,,,
billing.c.dev.octopus.com,Octopus Billing,200,3831,billing.c.dev.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-09T00:00:00Z,2023-08-09T23:59:59Z,CN=billing.c.dev.octopus.com,billing.c.dev.octopus.com,billing.c.dev.octopus.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",db5f29403267454de2f54e2d42e2cc4b,c2233f564f0ef012c1d7cb3b47be95d1dbe990b85acfd814cbb0a0c981d2bb06,ctls,billing.c.dev.octopus.com,443,https://billing.c.dev.octopus.com:443,https,GET,13.107.253.45,/,-766221723,2620:1ec:4f:1::45,110,False,,text/html,HSTS,,,,,,
c.dev.octopus.com,Continuous delivery & deployment automation tool for DevOps teams | Octopus Deploy - Octopus Deploy,200,62090,c.dev.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-09T00:00:00Z,2023-08-09T23:59:59Z,CN=c.dev.octopus.com,c.dev.octopus.com,c.dev.octopus.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",de13171720334c8b450e58d63ddbaa7a,a327ad0df0fe517cde95e27a8a7fceaed21f98ed1e39c9a41617ce905376ea30,ctls,c.dev.octopus.com,443,https://c.dev.octopus.com:443,https,GET,13.107.237.45,/,-1528118546,2620:1ec:48:1::45,1613,False,,text/html,Microsoft ASP.NET,,,,,,
checkout.viraloctopus.com.dns.foxycart.com,ERROR: The request could not be satisfied,502,951,checkout.viraloctopus.com.dns.foxycart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-11-06T23:59:59Z,CN=*.foxycart.com,*.foxycart.com,*.foxy.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,1dcf33936a0b768f028d01e2c83de768,a1e16f3d7b2b13b61fcc92f826f45b998107bf197d22db3224ebd1cafaacd378,ctls,checkout.viraloctopus.com.dns.foxycart.com,443,https://checkout.viraloctopus.com.dns.foxycart.com:443,https,GET,18.66.112.27,/,-1383639704,18.66.112.14,20,False,CloudFront,text/html,Amazon Web Services,True,True,cloudfront,True,,
