new,host,a,cname,soa,status_code,aaaa,ns,cdn,cdn-name,txt,caa,has_internal_ips,internal_ips,mx
[x],basic-nodejs-dev.next.airbnb.com,"95.101.111.158, 95.101.111.163","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],basic.next.airbnb.com,"95.101.111.158, 95.101.111.163","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],bastion.hoteltonight-test.com,52.86.0.22,,"ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],be.mail35.next.airbnb.com,"80.239.137.154, 62.115.252.50","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],beach.optustvnow.next.airbnb.com,"23.53.43.51, 23.53.43.56","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],beacon-2010ps-mgmt-portal-okta.airbnb.app,"76.76.21.241, 76.76.21.164",,"ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],beloved.ci.next.airbnb.com,"92.122.215.11, 2.20.142.83","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],bessie.airbnb.com,54.226.215.166,"cerberus.airbnb-aws.com, i-031f14f2a7b3a61e4.inst.aws.us-east-1.prod.musta.ch, ec2-54-226-215-166.compute-1.amazonaws.com, i-0b2559ff68f232f7d.inst.aws.us-east-1.prod.musta.ch, ec2-3-83-175-22.compute-1.amazonaws.com, i-02e57508427b93c3d.inst.aws.us-east-1.prod.musta.ch, ec2-54-172-182-7.compute-1.amazonaws.com, i-0315b121fd7f1ebf4.inst.aws.us-east-1.prod.musta.ch, ec2-54-87-43-141.compute-1.amazonaws.com, i-03823972fd94e8446.inst.aws.us-east-1.prod.musta.ch, ec2-3-83-12-59.compute-1.amazonaws.com","dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,
[x],beta-partners.hoteltonight-test.com,151.101.38.217,u2.shared.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,,,True,fastly,,,,,
[x],blast2s-next.airbnb.com,54.209.5.45,"cerberus.airbnb-aws.com, i-0ee1eac491086fbce.inst.aws.us-east-1.prod.musta.ch, ec2-54-209-5-45.compute-1.amazonaws.com, i-094867e718badca0f.inst.aws.us-east-1.prod.musta.ch, ec2-3-89-44-140.compute-1.amazonaws.com, i-031f14f2a7b3a61e4.inst.aws.us-east-1.prod.musta.ch, ec2-54-226-215-166.compute-1.amazonaws.com, i-017fb7a15805bd3ef.inst.aws.us-east-1.prod.musta.ch, ec2-54-89-21-241.compute-1.amazonaws.com, i-0f626dba0cf0932de.inst.aws.us-east-1.prod.musta.ch, ec2-52-91-14-234.compute-1.amazonaws.com","dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,
[x],blast2s.airbnb.com,3.83.12.59,"cerberus.airbnb-aws.com, i-03823972fd94e8446.inst.aws.us-east-1.prod.musta.ch, ec2-3-83-12-59.compute-1.amazonaws.com, i-02558a6508421721e.inst.aws.us-east-1.prod.musta.ch, ec2-54-175-45-136.compute-1.amazonaws.com, i-0b2559ff68f232f7d.inst.aws.us-east-1.prod.musta.ch, ec2-3-83-175-22.compute-1.amazonaws.com, i-016b8c8af94c516e7.inst.aws.us-east-1.prod.musta.ch, ec2-54-161-203-5.compute-1.amazonaws.com, i-0ee1eac491086fbce.inst.aws.us-east-1.prod.musta.ch, ec2-54-209-5-45.compute-1.amazonaws.com, i-031f14f2a7b3a61e4.inst.aws.us-east-1.prod.musta.ch, ec2-54-226-215-166.compute-1.amazonaws.com, i-07510d14cbc300be2.inst.aws.us-east-1.prod.musta.ch, ec2-52-87-174-251.compute-1.amazonaws.com","dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,
[x],blast2s.next.airbnb.com,"104.126.37.154, 104.126.37.162","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],blog.airbnb.com,"3.219.98.98, 34.195.166.128, 54.81.10.132",vpc-elb-thanatos-1430855175.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],blog.next.airbnb.com,,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],blogs.next.airbnb.com,"96.16.54.113, 96.16.54.161","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],blue.optustvnow.next.airbnb.com,"23.0.174.120, 23.0.174.82","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],bnx.int.next.airbnb.com,"95.101.111.158, 95.101.111.163","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],bnx.qa.next.airbnb.com,"2.20.142.83, 92.122.215.11","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],bookbetter.hoteltonight-test.com,"151.101.2.217, 151.101.66.217, 151.101.130.217, 151.101.194.217",u2.shared.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,,,True,fastly,,,,,
[x],boring.q.next.airbnb.com,"62.115.252.50, 80.239.137.154","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],bounce.work.airbnb.com,192.28.153.178,,"dns1.p08.nsone.net, hostmaster.nsone.net",NOERROR,,,,,v=spf1 include:mktomail.com -all,,,,bounce.work.airbnb.com
[x],bowlingadmin.evd.next.airbnb.com,"2.16.110.59, 2.16.110.17","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],brighton.optustvnow.next.airbnb.com,"23.0.174.82, 23.0.174.120","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],bs.airbnb.com,"2.16.110.17, 2.16.110.59","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],bubu.merchdirect.next.airbnb.com,"23.53.43.51, 23.53.43.56","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],builder.next.airbnb.com,"95.101.111.163, 95.101.111.158","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],bulletin.next.airbnb.com,"2.16.110.17, 2.16.110.59","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],burlingtonvtpre.optustvnow.next.airbnb.com,"62.115.252.50, 80.239.137.154","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],buyshock.pictures.next.airbnb.com,"95.101.111.163, 95.101.111.158","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],byairbnb.com,,,"ns-859.awsdns-43.net, awsdns-hostmaster.amazon.com",NOERROR,,"ns-130.awsdns-16.com, ns-1345.awsdns-40.org, ns-1747.awsdns-26.co.uk, ns-859.awsdns-43.net",,,c07bf95c9815433aaa24ac34723c7139,,,,
[x],c.next.airbnb.com,"2.16.241.73, 2.16.241.98","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],ca.airbnb.com,"2.16.187.115, 2.16.187.11","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],cache2-1-spring-boot-security-saml-active-okta-hubli24.airbnb.app,,,"ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],callbacks.airbnb.com,"92.122.215.11, 2.20.142.83","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],cam.next.airbnb.com,"104.126.37.154, 104.126.37.162","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],canary.airbnb.com,,"orthrus.airbnb-aws.com, i-0587b01980efdb3f9.inst.aws.us-east-1.prod.musta.ch, ec2-34-227-26-97.compute-1.amazonaws.com, i-0ec94fb46ee986e4f.inst.aws.us-east-1.prod.musta.ch, ec2-34-228-189-34.compute-1.amazonaws.com","dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,
[x],caoliu.express.next.airbnb.com,"88.221.24.56, 88.221.24.9","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],caraudiodc.blast2s.next.airbnb.com,"96.16.54.161, 96.16.54.113","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],careers.airbnb.com,"23.213.161.204, 23.213.161.198",,"dns1.p08.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,letsencrypt.org,,,
[x],careers.next.airbnb.com,"96.16.54.113, 96.16.54.161","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],cas02.dev.next.airbnb.com,"23.12.147.12, 23.12.147.39","w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
