new,host,a,cname,soa,status_code,aaaa,txt,has_internal_ips,internal_ips,cdn,cdn-name,ns,caa,mx
[x],5b96279e-aded-406c-b3c0-dac726be3404.nike.com,,,,NOERROR,,,,,,,,,
[x],aaml-vira-prod-registry-1.registry.us-west-2.nifi.nike.com,"10.239.160.223, 10.239.161.36, 10.239.162.71",,"ns-373.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,,"heritage=external-dns,external-dns/owner=mnp-external-dns-prod-us-west-2,external-dns/resource=service/mnp-nginx-ingress-controller/mnp-nginx-ingress-controller",True,"10.239.160.223, 10.239.161.36, 10.239.162.71",,,,,
[x],aaml-vira-test-registry-1.registry.us-west-2.nifi.nike.com,"10.239.161.36, 10.239.160.223, 10.239.162.71",,"ns-373.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,,"heritage=external-dns,external-dns/owner=mnp-external-dns-prod-us-west-2,external-dns/resource=service/mnp-nginx-ingress-controller/mnp-nginx-ingress-controller",True,"10.239.161.36, 10.239.160.223, 10.239.162.71",,,,,
[x],about.nike.com,"18.66.122.69, 18.66.122.109, 18.66.122.13, 18.66.122.55",,"ns-1785.awsdns-31.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:2250:200:14:cef4:a1c0:93a1, 2600:9000:2250:7a00:14:cef4:a1c0:93a1, 2600:9000:2250:9a00:14:cef4:a1c0:93a1, 2600:9000:2250:3800:14:cef4:a1c0:93a1, 2600:9000:2250:5a00:14:cef4:a1c0:93a1, 2600:9000:2250:a000:14:cef4:a1c0:93a1, 2600:9000:2250:1200:14:cef4:a1c0:93a1, 2600:9000:2250:6a00:14:cef4:a1c0:93a1",,,,True,cloudfront,"ns-1241.awsdns-27.org, ns-140.awsdns-17.com, ns-1785.awsdns-31.co.uk, ns-959.awsdns-55.net",,
[x],accelerator.nike.com,"18.244.146.102, 18.244.146.23, 18.244.146.40, 18.244.146.56",,"ns-1958.awsdns-52.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,"ns-1958.awsdns-52.co.uk, ns-1369.awsdns-43.org, ns-83.awsdns-10.com, ns-551.awsdns-04.net",,
[x],acceptance.svs.nike.com,"44.235.7.190, 52.43.122.222, 52.25.89.31","acceptance-default.svs.nike.com, acceptances-appelb-3ms0d5gnae55-1454022803.us-west-2.elb.amazonaws.com","ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],accessibility.nike.com,"18.66.97.24, 18.66.97.45, 18.66.97.125, 18.66.97.80",,"ns-1430.awsdns-50.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,"ns-421.awsdns-52.com, ns-843.awsdns-41.net, ns-1631.awsdns-11.co.uk, ns-1430.awsdns-50.org",,
[x],accounts.nike.com,23.74.172.76,"accounts.nike.com.edgekey.net, accounts.nike.com.edgekey.net.globalredir.akadns.net, e2698.dscx.akamaiedge.net","n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],ad-user-info.sandbox.dbt.svs.nike.com,"18.160.46.87, 18.160.46.5, 18.160.46.42, 18.160.46.95",,"ns-267.awsdns-33.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,
[x],admin.api.customer.nike.net,"10.241.73.182, 10.241.74.21, 10.241.72.217",,"ns-63.awsdns-07.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.241.73.182, 10.241.74.21, 10.241.72.217",,,"ns-1180.awsdns-19.org, ns-1905.awsdns-46.co.uk, ns-63.awsdns-07.com, ns-707.awsdns-24.net",,
[x],admin.mftaws.nike.com,,mftbizintp001.mftaws.nike.com,"ns-1043.awsdns-02.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],admindev.nike.net,"10.240.196.87, 10.240.197.99, 10.240.196.216","dev.portal-nonprod.nike.net, internal-admin-portal-internal-dev-253019709.us-west-2.elb.amazonaws.com","ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.240.196.87, 10.240.197.99, 10.240.196.216",,,,,
[x],adobeus.nike.com,146.197.189.210,,"ns-n1.nike.com, hostmaster.nike.com",NOERROR,,,,,,,,,
[x],advmfg.pes-preprod.nike.com,10.179.18.55,,"ns-1641.awsdns-13.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,True,10.179.18.55,,,,,
[x],aesir-api-dev.pes-preprod.nike.com,"10.178.244.98, 10.178.242.26, 10.178.247.240",,"ns-1641.awsdns-13.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,"heritage=external-dns,external-dns/owner=wildhorse,external-dns/resource=ingress/create-pcx/ingress-aesir-api-dev",True,"10.178.244.98, 10.178.242.26, 10.178.247.240",,,,,
[x],aesir-api.pes-preprod.nike.com,"35.167.188.214, 35.161.210.45, 34.209.216.185",,"ns-1641.awsdns-13.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],aesir-dev.pes-preprod.nike.com,"10.178.247.240, 10.178.242.26, 10.178.244.98",,"ns-1641.awsdns-13.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,"heritage=external-dns,external-dns/owner=wildhorse,external-dns/resource=ingress/create-pcx/ingress-aesir-ui-dev",True,"10.178.247.240, 10.178.242.26, 10.178.244.98",,,,,
[x],af.nike.com,"69.231.170.167, 52.83.100.190",unix-dsi-lb-553266205.cn-northwest-1.elb.amazonaws.com.cn,"ns-2705.awsdns-cn-41.biz, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],agreementservice.test.svs.nike.com,34.215.52.169,agreementservice--frontend-310678222.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],agreementservicestage.test.svs.nike.com,34.215.52.169,agreementservice--frontend-310678222.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],airmi-orderentry.nike.com,146.197.27.223,,"ns-n1.nike.com, hostmaster.nike.com",NOERROR,,,,,,,,,
[x],akamai.nike.com,23.35.208.66,"akamai.nike.com.edgekey.net, e2698.dscx.akamaiedge.net","n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:129:1a0::a8a, 2a02:26f0:129:1a6::a8a",,,,,,,,
[x],alfresco.dbt.svs.nike.com,"10.9.209.122, 10.9.208.68",,"ns-279.awsdns-34.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.9.209.122, 10.9.208.68",,,,,
[x],alfresco.sandbox.dbt.svs.nike.com,"10.9.204.198, 10.9.204.148",,"ns-267.awsdns-33.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.9.204.198, 10.9.204.148",,,,,
[x],analytics-test.nike.com,23.47.38.202,"analytics.nike.com.edgekey-staging.net, e2698.x.akamaiedge-staging.net","n0x.akamaiedge-staging.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],analytics.pes-preprod.nike.com,10.179.18.156,internal-aria-sample-ui-lb-staging-1346502544.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,10.179.18.156,,,,,
[x],analytics.pes-prod.nike.com,"10.179.50.198, 10.179.51.70",internal-aria-sample-ui-lb-production-785537830.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.179.50.198, 10.179.51.70",,,,,
[x],api-azales.us-west-2.test.nifi.nike.com,"10.239.94.79, 10.239.94.163, 10.239.94.42",,"ns-681.awsdns-21.net, awsdns-hostmaster.amazon.com",NOERROR,,"heritage=external-dns,external-dns/owner=external-dns-testazales-us-west-2,external-dns/resource=ingress/nifi-api/api-ingress",True,"10.239.94.79, 10.239.94.163, 10.239.94.42",,,,,
