new,host,a,aaaa,mx,soa,ns,txt,status_code,cdn,cdn-name
[x],cryptography.io,"104.17.33.82, 104.17.32.82, 108.162.193.75, 172.64.33.75, 173.245.59.75, 108.162.192.78, 172.64.32.78, 173.245.58.78","2606:4700::6811:2052, 2606:4700::6811:2152, 2606:4700:58::adf5:3b4b, 2803:f800:50::6ca2:c14b, 2a06:98c1:50::ac40:214b, 2606:4700:50::adf5:3a4e, 2803:f800:50::6ca2:c04e, 2a06:98c1:50::ac40:204e","aspmx3.googlemail.com, aspmx2.googlemail.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx.l.google.com","boyd.ns.cloudflare.com, dns.cloudflare.com","boyd.ns.cloudflare.com, brit.ns.cloudflare.com",v=spf1 -all,NOERROR,True,cloudflare
[x],pyopenssl.org,"104.17.33.82, 104.17.32.82","2606:4700::6811:2052, 2606:4700::6811:2152",,"ns1.variomedia.de, support.variomedia.de","ns1.variomedia.de, ns2.variomedia.de",v=spf1 -all,NOERROR,True,cloudflare
