new,host,a,soa,status_code,cname,has_internal_ips,internal_ips,ns,cdn,cdn-name,aaaa,txt,caa,mx
[x],id.standard.com,"108.156.46.65, 108.156.46.108, 108.156.46.47, 108.156.46.70","ns-1199.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,"d9c3a116-7726-4ef1-82ec-d92d66f0920e.edge1.pingone.com, dzn6b3894g858.cloudfront.net",,,"ns-1199.awsdns-21.org, ns-1806.awsdns-33.co.uk, ns-240.awsdns-30.com, ns-920.awsdns-51.net",True,cloudfront,"2600:9000:2190:200:11:5205:4f00:93a1, 2600:9000:2190:2c00:11:5205:4f00:93a1, 2600:9000:2190:5e00:11:5205:4f00:93a1, 2600:9000:2190:9a00:11:5205:4f00:93a1, 2600:9000:2190:6c00:11:5205:4f00:93a1, 2600:9000:2190:7c00:11:5205:4f00:93a1, 2600:9000:2190:b600:11:5205:4f00:93a1, 2600:9000:2190:a200:11:5205:4f00:93a1",,,
[x],image.message.standard.com,"2.16.187.51, 2.16.187.97","n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,"akamai-san243.exacttarget.com.edgekey.net, e82584.dscx.akamaiedge.net",,,,,,"2a02:26f0:3100::1725:e263, 2a02:26f0:3100::1735:2b7b",,,
[x],investor.standard.com,"23.55.163.8, 23.55.163.21","n0dscr.akamai.net, hostmaster.akamai.com",NOERROR,"www.corporate-ir.net, www-ppe.corporate-ir.net.edgesuite.net, a1836.dscr.akamai.net",,,,,,"2a02:26f0:3500:12::1730:17c0, 2a02:26f0:3500:12::1730:179a",,,
[x],ites-apis.standard.com,104.42.181.198,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,True,azure,,,,
[x],kc.standard.com,207.91.13.180,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],landing.standard.com,54.164.12.236,"ns1.acoustic-adm.com, awsdns-hostmaster.amazon.com",NOERROR,pages05.net,,,"ns3.acoustic-adm.com, ns2.acoustic-adm.com, ns1.acoustic-adm.com, ns4.acoustic-adm.com",,,,,,
[x],localhost.message.standard.com,127.0.0.1,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,True,127.0.0.1,,,,,,,
[x],login.standard.com,198.182.194.153,"ipamext1.standard.com, wired.standard.com",NOERROR,www3.standard.com,,,,,,,,,
[x],loginacc.standard.com,198.182.194.193,"ipamext1.standard.com, wired.standard.com",NOERROR,accportalweb.standard.com,,,,,,,,,
[x],lyncdiscover.standard.com,52.112.196.45,"admin.nsatc.net, dns.level3.net",NOERROR,webdir.online.lync.com,,,,,,2603:1027:0:2::e,,,
[x],media.standard.com,198.182.194.93,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],message.standard.com,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,"ns1.exacttarget.com, ns2.exacttarget.com, ns4.exacttarget.com, ns3.exacttarget.com",,,,v=spf1 include:cust-spf.exacttarget.com -all,,reply.s10.exacttarget.com
[x],mfaportal.standard.com,198.182.194.122,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],myeoi-connect.cat.standard.com,"170.40.179.8, 198.182.194.39, 198.182.191.39","ipamext1.standard.com, wired.standard.com",NOERROR,,,,"stdnsdfw1.standard.com, ns2.p14.dynect.net, ns4.p14.dynect.net, ns1.p14.dynect.net, ns3.p14.dynect.net, stdname4.standard.com",,,,,,
[x],myeoi-connect.staging.standard.com,170.40.179.13,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],myeoi-connect.standard.com,170.40.179.14,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],myeoi-nonprod.standard.com,20.99.156.110,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],myeoi.standard.com,20.80.155.126,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],nexus1.standard.com,198.182.194.178,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],nexus2.standard.com,198.182.194.179,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],nexus3.standard.com,198.182.194.16,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],nexusc.standard.com,,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],nonprod-api.edp.standard.com,104.42.159.152,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,True,azure,,,,
[x],nonprod-api.pas.standard.com,104.42.181.107,"ns1-02.azure-dns.com, msnhst.microsoft.com",NOERROR,"pas-traffic-manager-nonprod.trafficmanager.net, pas-nonprod.westus.cloudapp.azure.com",,,,True,azure,,,,
[x],nonprod-api.snowaas.standard.com,"13.64.98.157, 198.182.194.39, 198.182.191.39","ipamext1.standard.com, wired.standard.com",NOERROR,,,,"ns2.p14.dynect.net, stdname4.standard.com, stdnsdfw1.standard.com, ns1.p14.dynect.net, ns3.p14.dynect.net, ns4.p14.dynect.net",True,azure,,,,
[x],nonprod-spa.dcx.standard.com,23.99.83.178,"tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,dcx-traffic-manager-nonprod.trafficmanager.net,,,,True,azure,,,,
[x],o365.standard.com,198.182.194.46,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],owa.standard.com,198.182.194.46,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],portal-emp.standard.com,23.247.187.74,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],portal-mbr.standard.com,23.247.187.71,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],portal.standard.com,,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],preprod-api.pas.standard.com,168.62.5.81,"ns1-02.azure-dns.com, msnhst.microsoft.com",NOERROR,"pas-traffic-manager-preprod.trafficmanager.net, pas-preprod.westus.cloudapp.azure.com",,,,True,azure,,,,
[x],qr.standard.com,"34.235.213.154, 54.80.59.17","ns-1932.awsdns-49.co.uk, awsdns-hostmaster.amazon.com",NOERROR,custom-2s7w7pppny-10.tapnscan.me,,,,,,,,,
[x],sba1.standard.com,198.182.194.102,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],sba2.standard.com,198.182.191.102,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],sbc1.standard.com,198.182.194.111,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],sbc2.standard.com,198.182.191.111,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],sdc.standard.com,,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],secure-drtest.standard.com,198.182.191.6,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],secure-flex.standard.com,198.182.194.157,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],secure.standard.com,207.189.105.77,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],securemail-pod.standard.com,67.231.145.103,"ns-sc4.proofpoint.com, ops.proofpoint.com",NOERROR,pe-0001e501.gslb.pphosted.com,,,,,,,,,
[x],securemail.standard.com,198.182.194.105,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],sfbsip.standard.com,"198.182.194.51, 198.182.194.54","ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],sgscitrix.standard.com,192.101.155.89,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],sip.standard.com,52.112.196.46,"admin.nsatc.net, dns.level3.net",NOERROR,sipdir.online.lync.com,,,,,,2603:1027::b,,,
[x],snow.standard.com,198.182.194.25,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],spa.dcx.standard.com,20.237.181.110,"tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,dcx-traffic-manager-prod.trafficmanager.net,,,,,,,,,
[x],standard.com,"52.36.131.229, 198.182.194.39, 198.182.191.39","ipamext1.standard.com, wired.standard.com",NOERROR,,,,"ns2.p14.dynect.net, stdnsdfw1.standard.com, ns4.p14.dynect.net, stdname4.standard.com, ns1.p14.dynect.net, ns3.p14.dynect.net",,,,"v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com ~all, infoblox-domain-mastery=c06dab89652d00daf25d689782a64282b1ce5ff4c206a326a461ca702b32ef71c6, facebook-domain-verification=at6hij06outtg6tg4qddskkxd8eane, atlassian-domain-verification=wZryn5M2aB6u7JZC-p93lf9DuYdAKwMG3AIr2mUWarb0FOiyPVQwAM9MT0x4VP8E, MS=ms20395831, docusign=229889a3-2c5d-4f47-b92e-566875bffda6, apple-domain-verification=k1MEJwcR2InKV1q1, docusign=cfe125a9-f5b9-49e2-bbd5-2eea6c0cd699, L7ZOIW5LeXyMJV5Qtd5qttZLJmQjq6OmB7ab2mC6VWEPBj7n6eFPG3ZXXFrFjE3CIpNUgVtMaENYFWJR0yexIQ==",,"mxa-0001e501.gslb.pphosted.com, mxb-0001e501.gslb.pphosted.com"
[x],stdname4.standard.com,198.182.194.39,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],stdns4.standard.com,"63.161.131.40, 198.182.194.39, 198.182.191.39","ipamext1.standard.com, wired.standard.com",NOERROR,,,,"stdnsdfw1.standard.com, ns3.p14.dynect.net, ns4.p14.dynect.net, ns1.p14.dynect.net, ns2.p14.dynect.net, stdname4.standard.com",,,,,,
[x],stdns4s.standard.com,"63.161.131.50, 198.182.194.39, 198.182.191.39","ipamext1.standard.com, wired.standard.com",NOERROR,,,,"ns4.p14.dynect.net, ns2.p14.dynect.net, ns1.p14.dynect.net, ns3.p14.dynect.net, stdnsdfw1.standard.com, stdname4.standard.com",,,,,,
