new,host,a,soa,ns,status_code,mx,cname,aaaa,cdn,cdn-name,txt,has_internal_ips,internal_ips,caa
,16.moe.alditalk-kundenbetreuung.de,89.31.143.1,"ns.udag.de, hostmaster.united-domains.de",,NOERROR,,,,,,,,,
,184.106.113.82.net.de.o2.com,82.113.106.184,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,192.106.113.82.net.de.o2.com,82.113.106.192,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,192.121.113.82.net.de.o2.com,,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,2.performance.o2.de,85.183.255.251,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,20.blauworld.de,,"dns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,,
,208.106.113.82.net.de.o2.com,82.113.106.208,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,216.106.113.82.net.de.o2.com,82.113.106.216,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,224.121.113.82.net.de.o2.com,82.113.121.224,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,22mailer30.netzclub.net,87.79.3.108,"ns1.o2online.de, domain-de.o2.com",,NOERROR,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com, mailer40.netzclub.net",,,,,,,,
,22mailer35.netzclub.net,87.79.3.108,"ns1.o2online.de, domain-de.o2.com",,NOERROR,"aspmx2.googlemail.com, alt2.aspmx.l.google.com, mailer40.netzclub.net, aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx3.googlemail.com",,,,,,,,
,22mailer40.netzclub.net,,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,240.121.113.82.net.de.o2.com,82.113.121.240,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,248.106.113.82.net.de.o2.com,82.113.106.248,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,2fsim-karte-aktivierung.blauworld.de,78.46.156.196,"dns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,,
,2fwww.netzclub.net,87.79.3.108,"ns1.o2online.de, domain-de.o2.com",,NOERROR,"mailer40.netzclub.net, alt1.aspmx.l.google.com, aspmx.l.google.com, aspmx2.googlemail.com, alt2.aspmx.l.google.com, aspmx3.googlemail.com",,,,,,,,
,2www.netzclub.net,87.79.3.108,"ns1.o2online.de, domain-de.o2.com",,NOERROR,"mailer40.netzclub.net, aspmx2.googlemail.com, aspmx3.googlemail.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx.l.google.com",,,,,,,,
,3.performance.o2.de,85.183.255.251,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,301.o2online.de,82.113.101.154,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,33584d549fcb03c28a15df57550d5d07.sf-int.aurasa.telefonica.de,20.82.230.178,"ns1-06.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,,sf-int.aurasa.telefonica.de,,,,,,,
,364c95dd7909e718157425a71df37f2e.sf-int.aurasa.telefonica.de,20.82.230.178,"ns1-06.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,,sf-int.aurasa.telefonica.de,,,,,,,
,3www.netzclub.net,87.79.3.108,"ns1.o2online.de, domain-de.o2.com",,NOERROR,"alt2.aspmx.l.google.com, aspmx.l.google.com, alt1.aspmx.l.google.com, mailer40.netzclub.net, aspmx3.googlemail.com, aspmx2.googlemail.com",,,,,,,,
,40.121.113.82.net.de.o2.com,82.113.121.40,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,404.o2online.de,82.113.101.171,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,408e2e122306dae85b3d9dab346585fd.sf-int.aurasa.telefonica.de,20.82.230.178,"ns1-06.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,,sf-int.aurasa.telefonica.de,,,,,,,
,410.o2online.de,,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,48.106.113.82.net.de.o2.com,82.113.106.48,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,4c949d32c8d6f1566a0758b8b2391664.sf-int.aurasa.telefonica.de,20.82.230.178,"ns1-06.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,,sf-int.aurasa.telefonica.de,,,,,,,
,5245c48927bc4c3586343896c5cd826b.sf-int.aurasa.telefonica.de,20.82.230.178,"ns1-06.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,,sf-int.aurasa.telefonica.de,,,,,,,
,56.106.113.82.net.de.o2.com,82.113.106.56,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,5d97ead68506d1e93aa13b0558731c6a.sf-int.aurasa.telefonica.de,,"ns1-06.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,,sf-int.aurasa.telefonica.de,,,,,,,
,5fc2e0e25e782307f746dd661c7c8236.int.aurasa.telefonica.de,20.54.37.102,"ns1-06.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,,,,True,azure,,,,
,629575e03321cada29001b2cb308c1c6.sf-int.aurasa.telefonica.de,20.82.230.178,"ns1-06.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,,sf-int.aurasa.telefonica.de,,,,,,,
,64.106.113.82.net.de.o2.com,82.113.106.64,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,64.121.113.82.net.de.o2.com,82.113.121.64,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,64d5120ef204898e111487bcb0153313.sf-int.aurasa.telefonica.de,20.82.230.178,"ns1-06.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,,sf-int.aurasa.telefonica.de,,,,,,,
,6fwww.netzclub.net,87.79.3.108,"ns1.o2online.de, domain-de.o2.com",,NOERROR,"aspmx.l.google.com, aspmx2.googlemail.com, alt2.aspmx.l.google.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com, mailer40.netzclub.net",,,,,,,,
,72b0f77b5a7306ac9870dd7a03690e31.int.aurasa.telefonica.de,20.54.37.102,"ns1-06.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,,,,True,azure,,,,
,76811f3d53d0b6f0b6dbde3c11d1fcdb.sf-int.aurasa.telefonica.de,20.82.230.178,"ns1-06.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,,sf-int.aurasa.telefonica.de,,,,,,,
,77e628140cbc1d063a062e35e1cda160.sf-int.aurasa.telefonica.de,20.82.230.178,"ns1-06.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,,sf-int.aurasa.telefonica.de,,,,,,,
,82-113-96-1.net.de.o2.com,82.113.96.1,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,82-113-96-2.net.de.o2.com,82.113.96.2,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,82-113-96-3.net.de.o2.com,82.113.96.3,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,8a0957ccc0e22453b10119c14c73a487.int.aurasa.telefonica.de,20.54.37.102,"ns1-06.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,,,,True,azure,,,,
,8a0957ccc0e22453b10119c14c73a487.sf-int.aurasa.telefonica.de,20.82.230.178,"ns1-06.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,,sf-int.aurasa.telefonica.de,,,,,,,
,8a9b83b98d1ef79470953a3aa85b2195.int.aurasa.telefonica.de,20.54.37.102,"ns1-06.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,,,,True,azure,,,,
,9.moe.alditalk-kundenbetreuung.de,89.31.143.1,"ns.udag.de, hostmaster.united-domains.de",,NOERROR,,,,,,,,,
,9d8a864bbb4759ea8e3e5fdbb54a862b.sf-int.aurasa.telefonica.de,20.82.230.178,"ns1-06.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,,sf-int.aurasa.telefonica.de,,,,,,,
,abfahrt.o2.de,194.6.195.186,"ns1.o2online.de, domain-de.o2.com",,NOERROR,"mx01.corpex-net.de, smtp-relay.corpex-net.de, smtp-fallback.corpex-net.de",,,,,,,,
,abmeldung.information.o2.de,"63.140.36.121, 63.140.36.139, 63.140.36.112, 63.140.36.130, 63.140.36.117, 63.140.36.138, 63.140.36.197, 63.140.36.104, 63.140.36.101, 63.140.36.14","ns201.adobe.net, hostmaster.adobe.com",,NOERROR,,abmeldung.information.o2.de.data.adobedc.net,,,,,,,
,abmeldung.information.whatsappsim.de,,"ns201.adobe.net, hostmaster.adobe.com",,NOERROR,,information.whatsappsim.de.ssl.sc.omtrdc.net,,,,,,,
,ac.o2online.de,82.113.101.225,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,academy.vertriebspartner.de.o2.com,217.111.103.96,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,acs.o2online.de,89.204.159.5,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,2a02:3018:0:502::100,,,,,,
,acstemp.o2online.de,89.204.159.7,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,2a02:3018:0:502::500,,,,,,
,acunetix.secops.telefonica.de,13.93.36.136,"ns1.telefonica.de, hostmaster.de.telefonica.com","ns3.telefonica.de, ns1.telefonica.de, ns2.telefonica.de",NOERROR,,,,True,azure,,,,
,admin.digitalphone.o2business.de,,"a.myradns.net, technik.nfon.net",,NOERROR,,digitalphone.sp.cloud-cfg.com,,,,,,,
,administrator.netzclub.net,87.79.3.108,"ns1.o2online.de, domain-de.o2.com",,NOERROR,"mailer40.netzclub.net, alt2.aspmx.l.google.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com, aspmx2.googlemail.com, aspmx.l.google.com",,,,,,,,
,administratoreloper.moe.alditalk-kundenbetreuung.de,89.31.143.1,"ns.udag.de, hostmaster.united-domains.de",,NOERROR,,,,,,,,,
,adminweb-business.dsl.o2online.de,62.211.70.118,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,adminweb.dsl.o2online.de,62.211.70.102,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,adns1.o2.com,158.230.201.14,"n1.02.net, hostmaster.02.net",,NOERROR,,,,,,,,,
,adns2.o2.com,158.230.103.42,"n1.02.net, hostmaster.02.net",,NOERROR,,,,,,,,,
,ae.blau.de,,"ns0.transip.net, hostmaster.transip.nl",,NOERROR,"mail2.enem.nl, mail.enem.nl",e.accepteasy.com,,,,v=spf1 ip4:85.17.232.71 ip4:85.17.232.72 ip4:85.17.206.20 ip4:85.17.144.204 ip4:87.251.37.137 ip4:87.251.37.181 -all,,,
