new,host,a,aaaa,soa,status_code,cdn,cdn-name,caa,cname,ns,mx,txt
[x],academy.difx.com,"172.66.43.159, 172.66.40.97","2606:4700:3108::ac42:2861, 2606:4700:3108::ac42:2b9f","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],admin-api.difx.com,"172.66.43.159, 172.66.40.97","2606:4700:3108::ac42:2861, 2606:4700:3108::ac42:2b9f","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],admin-test-api.difx.com,"172.66.40.97, 172.66.43.159","2606:4700:3108::ac42:2861, 2606:4700:3108::ac42:2b9f","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],api-docs.difx.com,"75.101.167.250, 3.221.32.21, 54.173.9.218",,"ns-833.awsdns-40.net, awsdns-hostmaster.amazon.com",NOERROR,,,letsencrypt.org,phs.getpostman.com,,,
[x],api-v2.difx.com,"172.66.40.97, 172.66.43.159","2606:4700:3108::ac42:2b9f, 2606:4700:3108::ac42:2861","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],api.difx.com,"172.66.43.159, 172.66.40.97","2606:4700:3108::ac42:2b9f, 2606:4700:3108::ac42:2861","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],app-admin.difx.com,"172.66.40.97, 172.66.43.159","2606:4700:3108::ac42:2b9f, 2606:4700:3108::ac42:2861","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],app-docs.difx.com,"172.66.40.97, 172.66.43.159","2606:4700:3108::ac42:2b9f, 2606:4700:3108::ac42:2861","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],app.difx.com,"172.66.43.159, 172.66.40.97","2606:4700:3108::ac42:2b9f, 2606:4700:3108::ac42:2861","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],apptest.difx.com,"172.66.40.97, 172.66.43.159","2606:4700:3108::ac42:2b9f, 2606:4700:3108::ac42:2861","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],autodiscover.difx.com,"172.66.43.159, 172.66.40.97","2606:4700:3108::ac42:2b9f, 2606:4700:3108::ac42:2861","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],blog.difx.com,"172.66.40.97, 172.66.43.159","2606:4700:3108::ac42:2b9f, 2606:4700:3108::ac42:2861","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,amazontrust.com,,,,
[x],buybtc.difx.com,"172.66.40.97, 172.66.43.159","2606:4700:3108::ac42:2b9f, 2606:4700:3108::ac42:2861","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],development.difx.com,"76.76.21.22, 76.76.21.93",,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,"letsencrypt.org, globalsign.com, sectigo.com",cname.vercel-dns.com,,,
[x],difx.com,76.76.21.21,,"jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,"amazontrust.com, comodoca.com, digicert.com; cansignhttpexchanges=yes, letsencrypt.org, pki.goog; cansignhttpexchanges=yes",,"jobs.ns.cloudflare.com, liz.ns.cloudflare.com","aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","IR-640ef8ea54b8cc5c7dfaddd6d27ac2f32316b8f290ad7e7f45816147ebfc08c6, MS=ms55613660, google-site-verification=4FkUn-_F-PLsrn6PV8OZWnZ77ldJUY2BkRswhc5J0e0, google-site-verification=lPwXqSXK8m6fTQWK86Se4xhchnh7BLJ99qT2SIGS6EQ, google-site-verification=zYoSoZaztP_QC5KX4rpIAmciNai29atuHT0xdl7Lmwk, postman-domain-verification=3c4973bbd571876b84c1fc036560298a05cc64058c1a671e480d42d2b73c41c25ddd63e08a882d14e3ca0d785e1c4429b9ae4dcf546bbe65c29c3c7aafa2ec59, v=spf1 include:_spf.google.com ~all"
[x],docs.difx.com,"172.66.40.97, 172.66.43.159","2606:4700:3108::ac42:2b9f, 2606:4700:3108::ac42:2861","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],futuredev.difx.com,"76.76.21.61, 76.76.21.98",,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,"sectigo.com, globalsign.com, letsencrypt.org",cname.vercel-dns.com,,,
[x],lyncdiscover.difx.com,"172.66.40.97, 172.66.43.159","2606:4700:3108::ac42:2b9f, 2606:4700:3108::ac42:2861","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],media.difx.com,"188.114.98.229, 188.114.99.229","2a06:98c1:3123:e000::5, 2a06:98c1:3122:e000::5","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],mm.difx.com,"188.114.98.229, 188.114.99.229","2a06:98c1:3122:e000::5, 2a06:98c1:3123:e000::5","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],public-api.difx.com,"172.66.43.159, 172.66.40.97","2606:4700:3108::ac42:2861, 2606:4700:3108::ac42:2b9f","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],request.difx.com,,,"jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],requests.difx.com,44.214.112.154,2600:1f18:421f:6301:493d:b059:8519:ba82,"ns-669.awsdns-19.net, awsdns-hostmaster.amazon.com",NOERROR,,,,cname.canny.io,"ns-1321.awsdns-37.org, ns-1655.awsdns-14.co.uk, ns-252.awsdns-31.com, ns-669.awsdns-19.net",,
[x],sip.difx.com,"172.66.40.97, 172.66.43.159","2606:4700:3108::ac42:2861, 2606:4700:3108::ac42:2b9f","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],staging-api.difx.com,"172.66.40.97, 172.66.43.159","2606:4700:3108::ac42:2b9f, 2606:4700:3108::ac42:2861","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],staging.difx.com,"76.76.21.9, 76.76.21.142",,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,"sectigo.com, letsencrypt.org, globalsign.com",cname.vercel-dns.com,,,
[x],terminal.difx.com,"172.66.43.159, 172.66.40.97","2606:4700:3108::ac42:2861, 2606:4700:3108::ac42:2b9f","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],test-api.difx.com,"172.66.40.97, 172.66.43.159","2606:4700:3108::ac42:2861, 2606:4700:3108::ac42:2b9f","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],test-public-api.difx.com,"172.66.40.97, 172.66.43.159","2606:4700:3108::ac42:2b9f, 2606:4700:3108::ac42:2861","jobs.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],www.difx.com,"76.76.21.93, 76.76.21.98",,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,"sectigo.com, globalsign.com, letsencrypt.org",cname.vercel-dns.com,,,
