new,host,a,soa,status_code,cname,mx,ns,txt
[x],accdafc.mujs.com,184.73.189.105,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,
[x],account-v1debugbizint.kanaweb.mujs.com,184.73.189.105,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,
[x],accountspacific.kanaweb.mujs.com,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,
[x],bid46oj.kanaweb.mujs.com,184.73.189.105,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,
[x],dev.mujs.com,184.73.189.105,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,
[x],legacyform-8.mujs.com,184.73.189.105,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,
[x],milpo.kanaweb.mujs.com,184.73.189.105,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,
[x],mujs.com,184.73.189.105,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,"spool.mail.gandi.net, fb.mail.gandi.net","ns-10-b.gandi.net, ns-13-a.gandi.net, ns-104-c.gandi.net","v=spf1 mx a ptr ~all, v=spf1 include:_mailcust.gandi.net ?all"
[x],webmail.mujs.com,217.70.178.6,"dns0.gandi.net, hostmaster.gandi.net",NOERROR,webmail.gandi.net,,,
[x],www.mujs.com,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,
