new,host,a,aaaa,cname,soa,status_code,ns,txt,mx
[x],uikit.myntra.com,173.223.112.217,"2a02:26f0:c900:28b::1cff, 2a02:26f0:c900:291::1cff","uikit.myntra.com.edgekey.net, e7423.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,
,_spf1.myntra.com,,,,"a1-183.akam.net, hostmaster.akamai.com",NOERROR,,"v=spf1 ip4:210.80.140.141 ip4:210.80.140.142 ip4:20.5.80.155 ip4:20.5.82.25 ip4:52.172.156.59 ip4:52.172.156.60 ip4:104.211.243.19 ip4:104.211.245.173 ip4:20.157.92.51 ip4:20.157.92.80,  ip4:13.71.22.108 ip4:13.71.22.222 ip4:219.65.87.215 ip4:199.255.192.22 ip4:15.224.192.102 ip4:20.219.16.176 ip4:143.55.228.87 ip4:161.38.199.90 -all",
,_spf2.myntra.com,,,,"a1-183.akam.net, hostmaster.akamai.com",NOERROR,,v=spf1 ip4:185.136.188.88 ip4:185.136.189.88 ip4:185.136.188.108 ip4:185.136.189.108 ip4:199.166.36.0/24 ip4:208.72.90.0/24 ip4:103.151.192.0/23 ip4:185.12.80.0/22 ip4:188.172.128.0/20 ip4:192.161.144.0/20 ip4:216.198.0.0/18 -all,
,ads.myntra.com,163.53.76.13,,ads.cloud.flipkart.com,"PDNS1.ULTRADNS.NET, sysadmin.flipkart.com",NOERROR,,,
,api.myntra.com,104.91.48.235,,"api.myntra.com.edgekey.net, e7423.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,
,apidocs.myntra.com,173.223.112.217,,"apidocs.myntra.com.edgekey.net, e7423.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,
,blog.myntra.com,184.30.20.224,,"blog.myntra.com.edgekey.net, e7423.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,
,careers.myntra.com,173.223.112.217,"2a02:26f0:c900:291::1cff, 2a02:26f0:c900:285::1cff","careers.myntra.com.edgekey.net, e7423.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,
,cdn.myntra.com,173.223.112.217,"2a02:26f0:c900:28b::1cff, 2a02:26f0:c900:291::1cff","cdn.myntra.com.edgekey.net, e7423.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,
,life.myntra.com,104.103.65.2,"2001:2030:21:183::1cff, 2001:2030:21:182::1cff, 2001:2030:21:188::1cff, 2001:2030:21:187::1cff, 2001:2030:21:184::1cff","life.myntra.com.edgekey.net, e7423.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,
,lyncdiscover.myntra.com,52.112.192.14,2603:1027:0:48::21,webdir.online.lync.com,"admin.nsatc.net, dns.level3.net",NOERROR,"eu-a.prod1.footprint.net, eu-b.prod1.footprint.net",,
,mail.myntra.com,142.250.186.83,2a00:1450:4001:828::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,
,mynt.myntra.com,,,,"a1-183.akam.net, hostmaster.akamai.com",NOERROR,,MS=ms41895501,
,myntra.com,,,,"a1-183.akam.net, hostmaster.akamai.com",NOERROR,"a11-65.akam.net, a10-64.akam.net, a1-183.akam.net, a3-64.akam.net, a12-66.akam.net, a20-67.akam.net","facebook-domain-verification=dvfamd6dzscnob2rj4vkv1gfd3cvq5, h1-domain-verification=3gEcYZ9mjzVPQm6H7gsQrdHLvAXKN4jCqEDdmErUpCdxUKK6, onetrust-domain-verification=a89f652d127f4581a48c4da39318c118, MS=ms46524028, google-site-verification=Li3_-Ix-yD6auSU-S3_Z2evMkQ5mPy-ZclHyp_b03pc, MS=ms11067231, v=spf1 include:eu._netblocks.mimecast.com include:_spf.google.com include:_spf1.myntra.com include:_spf2.myntra.com include:amazonses.com include:spf.falconide.com -all, apple-domain-verification=RKHT3YXYdxjKGS7w, google-site-verification=oXhgXEqRa4aHg3jpVygDtGUHfNyugvteUdqRt0tONa4","eu-smtp-inbound-2.mimecast.com, eu-smtp-inbound-1.mimecast.com"
,o1.sg.myntra.com,149.72.231.191,,,"a1-183.akam.net, hostmaster.akamai.com",NOERROR,,,
,o4.sg.myntra.com,149.72.72.136,,,"a1-183.akam.net, hostmaster.akamai.com",NOERROR,,,
,onedirect.myntra.com,20.204.8.74,,,"a1-183.akam.net, hostmaster.akamai.com",NOERROR,,,
,orca.myntra.com,20.198.102.16,,,"a1-183.akam.net, hostmaster.akamai.com",NOERROR,,,
,partnerapi.myntra.com,20.198.102.16,,,"a1-183.akam.net, hostmaster.akamai.com",NOERROR,,,
,partnerportal.myntra.com,104.75.88.241,,"partnerportal.myntra.com.edgekey.net, e7423.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,
,pps.myntra.com,95.101.200.227,,"pps.myntra.com.edgekey.net, e7423.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,
,secure.myntra.com,173.223.112.217,,"secure.myntra.com.edgekey.net, e7423.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,
,sip.myntra.com,52.112.192.139,2603:1027:0:48::20,sipdir.online.lync.com,"admin.nsatc.net, dns.level3.net",NOERROR,,,
,sites.myntra.com,142.250.65.179,2607:f8b0:4006:80e::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,
,tech.myntra.com,104.75.88.241,"2a02:26f0:3500:88d::1cff, 2a02:26f0:3500:884::1cff","tech.myntra.com.edgekey.net, e7423.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,
,touch.myntra.com,104.75.88.241,,"touch.myntra.com.edgekey.net, e7423.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,
,url41.myntra.com,173.223.112.217,"2a02:26f0:c900:28b::1cff, 2a02:26f0:c900:291::1cff","url41.myntra.com.edgekey.net, e7423.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,
,www.myntra.com,104.75.88.241,"2a02:26f0:480:5b6::1cff, 2a02:26f0:480:5a5::1cff, 2a02:26f0:480:59a::1cff, 2a02:26f0:480:591::1cff, 2a02:26f0:480:59c::1cff","www.myntra.com.secure.edgekey.net, e7423.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,
