new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,ns,mx,caa,txt
[x],mr-1014.staging.geckoterminal.com,"172.67.22.148, 104.22.55.153, 104.22.54.153","2606:4700:10::6816:3799, 2606:4700:10::ac43:1694, 2606:4700:10::6816:3699","jack.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],mr-1015.staging.geckoterminal.com,"104.22.55.153, 172.67.22.148, 104.22.54.153","2606:4700:10::6816:3799, 2606:4700:10::ac43:1694, 2606:4700:10::6816:3699","jack.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],mr-1016.staging.geckoterminal.com,"104.22.54.153, 172.67.22.148, 104.22.55.153","2606:4700:10::6816:3799, 2606:4700:10::6816:3699, 2606:4700:10::ac43:1694","jack.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],mr-1017.staging.geckoterminal.com,"104.22.55.153, 172.67.22.148, 104.22.54.153","2606:4700:10::ac43:1694, 2606:4700:10::6816:3699, 2606:4700:10::6816:3799","jack.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],mr-1019.staging.geckoterminal.com,"172.67.22.148, 104.22.55.153, 104.22.54.153","2606:4700:10::6816:3799, 2606:4700:10::ac43:1694, 2606:4700:10::6816:3699","jack.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],mr-1020.staging.geckoterminal.com,"172.67.22.148, 104.22.55.153, 104.22.54.153","2606:4700:10::6816:3799, 2606:4700:10::ac43:1694, 2606:4700:10::6816:3699","jack.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],mr-1021.staging.geckoterminal.com,"104.22.55.153, 104.22.54.153, 172.67.22.148","2606:4700:10::6816:3699, 2606:4700:10::6816:3799, 2606:4700:10::ac43:1694","jack.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],mr-1022.staging.geckoterminal.com,"104.22.55.153, 104.22.54.153, 172.67.22.148","2606:4700:10::ac43:1694, 2606:4700:10::6816:3799, 2606:4700:10::6816:3699","jack.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],mr-1023.staging.geckoterminal.com,"104.22.54.153, 172.67.22.148, 104.22.55.153","2606:4700:10::6816:3799, 2606:4700:10::ac43:1694, 2606:4700:10::6816:3699","jack.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],mr-1024.staging-app.geckoterminal.com,"3.21.225.149, 18.190.92.226, 3.14.232.19",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,review-apps-1922073840.us-east-2.elb.amazonaws.com,,,,
