new,host,a,soa,status_code,ns,cdn,cdn-name,cname,has_internal_ips,internal_ips,aaaa,caa,mx,txt
[x],205-185-200-198.wp.highwinds.com,205.185.200.198,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-199.wp.highwinds.com,205.185.200.199,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,"ns49v7.stackpathdns.net, nsx43t.stackpathdns.net",,,,,,,,,
[x],205-185-200-202.wp.highwinds.com,205.185.200.202,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-203.wp.highwinds.com,205.185.200.203,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-204.wp.highwinds.com,205.185.200.204,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-205.wp.highwinds.com,205.185.200.205,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-206.wp.highwinds.com,205.185.200.206,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-207.wp.highwinds.com,205.185.200.207,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-208.wp.highwinds.com,205.185.200.208,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-209.wp.highwinds.com,205.185.200.209,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-210.wp.highwinds.com,205.185.200.210,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-211.wp.highwinds.com,205.185.200.211,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-212.wp.highwinds.com,205.185.200.212,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-213.wp.highwinds.com,205.185.200.213,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-214.wp.highwinds.com,205.185.200.214,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
