new,host,cname,soa,status_code,a,aaaa,txt,cdn,cdn-name,ns,mx
[x],google-drive.staging.trello.services,,"ns-117.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,"13.225.78.111, 13.225.78.51, 13.225.78.119, 13.225.78.5",,,True,cloudfront,,
[x],google-hangouts.staging.trello.services,,"ns-117.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,"13.225.78.119, 13.225.78.5, 13.225.78.51, 13.225.78.111",,,True,cloudfront,,
[x],google-hangouts.trello.services,,"ns-117.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,"52.222.139.70, 52.222.139.111, 52.222.139.45, 52.222.139.5",,,True,cloudfront,,
[x],gsarsprd1.dev.trello.services,serviceslb2.dev.trello.systems,,NOERROR,,,,,,,
[x],host-141-116-132-80.dev.trello.services,serviceslb2.dev.trello.systems,"ns-1882.awsdns-43.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],integrations.staging.trello.services,,"ns-117.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,"13.225.78.51, 13.225.78.5, 13.225.78.119, 13.225.78.111",,,True,cloudfront,"ns-117.awsdns-14.com, ns-1267.awsdns-30.org, ns-1539.awsdns-00.co.uk, ns-710.awsdns-24.net",
[x],integrations.trello.services,,"ns-117.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,"65.9.95.106, 65.9.95.54, 65.9.95.105, 65.9.95.64",,,True,cloudfront,,
[x],itemail.trello.com,sparkpostmail.com,"ns-1855.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"v=spf1 exists:%{i}._spf.sparkpostmail.com ~all, 202302022219254qla4yzx4awoxw73s19xih2o24lp6tgsj8j3sdxwoboq1lpkyr, google-site-verification=yCMV3z3BhBaINi0V033HnfTi9xkQjpIZ4DM4ywSlwUs",,,"ns-1361.awsdns-42.org, ns-1855.awsdns-39.co.uk, ns-304.awsdns-38.com, ns-775.awsdns-32.net",smtp.sparkpostmail.com
[x],list-limits.staging.trello.services,,"ns-117.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,"13.225.78.5, 13.225.78.111, 13.225.78.119, 13.225.78.51",,,True,cloudfront,,
[x],list-limits.trello.services,,"ns-117.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,"18.173.233.87, 18.173.233.126, 18.173.233.18, 18.173.233.34",,,True,cloudfront,,
[x],mail.trello.com,,"ns-1442.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,,,v=spf1 -all,,,,
[x],mailchimp.staging.trello.services,,"ns-117.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,"108.157.229.63, 108.157.229.94, 108.157.229.57, 108.157.229.102",,,True,cloudfront,,
[x],mclick.trello.com,"atlassian.mktoweb.com, ab35.mktossl.com","bart.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.72.206, 104.17.74.206, 104.17.71.206, 104.17.73.206, 104.17.70.206",,,True,cloudflare,,
[x],mgo.trello.com,mkto-ab350042.com,"ns1.marketo.com, ops.localhost",NOERROR,"104.17.72.206, 104.17.74.206, 104.17.73.206, 104.17.71.206, 104.17.70.206",,,True,cloudflare,"ns2.mktdns.com, ns1.marketo.com",
[x],o10.sgemail.trello.com,,"ns-1442.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],o11.sgemail.trello.com,,"ns-1442.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,,,v=spf1 -all,,,,
[x],o9.sgemail.trello.com,,"ns-1442.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,,,v=spf1 -all,,,,
[x],onedrive.staging.trello.services,,"ns-117.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,"18.64.141.27, 18.64.141.29, 18.64.141.17, 18.64.141.121",,,True,cloudfront,,
[x],onedrive.trello.services,,"ns-117.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,"13.225.78.45, 13.225.78.80, 13.225.78.117, 13.225.78.72",,,True,cloudfront,,
[x],origin.trello.services,,"ns-117.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,"23.20.161.186, 18.234.210.193, 44.202.62.224",,,,,,
[x],package-tracker.staging.trello.services,,"ns-117.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,"13.33.243.97, 13.33.243.118, 13.33.243.62, 13.33.243.17",,,True,cloudfront,,
[x],package-tracker.trello.services,,"ns-117.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,"52.85.242.115, 52.85.242.84, 52.85.242.125, 52.85.242.16",,,True,cloudfront,,
[x],pegasus-spiele-conspiracywww.trello.com,,"ns-1442.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,,,v=spf1 -all,,,,
[x],plugin.trello.services,,"ns-117.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,"18.173.233.18, 18.173.233.87, 18.173.233.34, 18.173.233.126",,,True,cloudfront,,
[x],plugins.staging.trello.services,,"ns-117.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,"18.173.233.126, 18.173.233.78, 18.173.233.38, 18.173.233.90",,,True,cloudfront,,
[x],plugins.trello.services,,"ns-117.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,"13.225.78.45, 13.225.78.72, 13.225.78.80, 13.225.78.117",,,True,cloudfront,,
[x],r53.trello.com,,"ns-1442.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,8.8.8.8,,,,,,
[x],readme.staging.trello.services,,"ns-117.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,"13.225.78.111, 13.225.78.5, 13.225.78.51, 13.225.78.119",,,True,cloudfront,,
[x],recurring-cards.staging.trello.services,,"ns-117.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,"13.225.34.111, 13.225.34.90, 13.225.34.87, 13.225.34.68",,,True,cloudfront,,
[x],recurring-cards.trello.services,,"ns-117.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,"13.225.78.80, 13.225.78.72, 13.225.78.117, 13.225.78.45",,,True,cloudfront,,
[x],salesforce.staging.trello.services,,"ns-117.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,
[x],salesforce.trello.services,,"ns-117.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,
[x],slack-9-2.dev.trello.services,serviceslb2.dev.trello.systems,,NOERROR,,,,,,,
