new,host,a,mx,soa,ns,txt,status_code,aaaa,cdn,cdn-name,cname,caa
[x],airflow.avax-test.network,,,"nile.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,"2606:4700::6812:1519, 2606:4700::6812:1419",True,cloudflare,,
[x],api-wagmi.avax-test.network,,,"nile.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,
[x],argocd.avax-dev.network,"172.66.42.244, 172.66.41.12",,"nile.ns.cloudflare.com, dns.cloudflare.com",,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/avax-system/argocd-server",NOERROR,"2606:4700:3108::ac42:2af4, 2606:4700:3108::ac42:290c",True,cloudflare,,
[x],artbaselmiami.avax.network,,,"nile.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,
[x],athereum.avax.network,,,"nile.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,
[x],avalabs.org,"75.2.70.75, 99.83.190.102","alt2.aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, vx7sx2dlquugmrei66pttfpfqlwpkammjhyumaigzs2ifbqhghwa.mx-verification.google.com, aspmx.l.google.com, alt1.aspmx.l.google.com","nile.ns.cloudflare.com, dns.cloudflare.com","nile.ns.cloudflare.com, rihana.ns.cloudflare.com","apple-domain-verification=EjOknyRZVJHwbcV1, docusign=793023b8-131d-480b-bf50-20c6e83ba386, docker-verification=d6c6ee9b-e843-4eb2-ab36-4309afec7ddc, v=spf1 include:_spf.google.com include:servers.mcsv.net ~all, slack-domain-verification=8JKvskkU7PXwq1aCEw9RPRGSZcKgSuixCFdIkYVx, google-site-verification=SmAdU05CKx5h61iCjknfVdXxKHa9qQv2vdIghloyv_I, google-site-verification=hTwONQmUQ2DaYpkuXdGd-LsYqjwcOXE7CLeTKzL-5DA, notion_verify_L}B-r_^2sQ4]GRU:BD68Q9meYdy**vU:@ux8Db8k!RvB.Uzr_t2TwY!GU=b5L6=rqEnzqj, atlassian-domain-verification=7OT06BV4Var4qJB0AxHKFCQ8/Qcnga7HG7bFJoxBYzPhpfqn9hWLV5daafpvifOP, v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEArMSe7AaWWlJF0djIZKJdqAiuNvZ3x9XckonVQXXjUvcf3izOKG0572qybPXQ7kJpVPpWTMYDc3DfqC8KfaYFTLXxjb+6HQnDi8bTCV6EpDrnXYdpC7h+n4Le77gwqj2EgmOEzDqv4rGyfYHjvrCpubKHQoip9GgnulT9mI9R11DxIGK9ExXaJDYrUBgV1VA4J,  9xOFEG67kd2qPTxFilpRRRcbOQ+kULr8jFLesGlLqeRh6wZgj7SI2g2DD/eHobBqmyihbEAE5wtyEj4rfolRT/r/7m7k6CnDzPiVUq1dtMFg0lMG+m6fWvJI0QWD6Ep12xNaJHXUFw21A06Jx/2wwIDAQAB;, MS=ms17156303, ZOOM_verify_fqzUFavYT4OfxGOeA3bLcg",NOERROR,,,,,
[x],avangers.avax.network,,,"nile.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,
[x],avax-test.network,"104.18.21.25, 104.18.20.25",,"nile.ns.cloudflare.com, dns.cloudflare.com","rihana.ns.cloudflare.com, nile.ns.cloudflare.com",v=spf1 include:_spf.google.com include:servers.mcsv.net include:stspg-customer.com ~all,NOERROR,"2606:4700::6812:1419, 2606:4700::6812:1519",True,cloudflare,,
[x],avax.network,"75.2.70.75, 99.83.190.102","alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com","nile.ns.cloudflare.com, dns.cloudflare.com","rihana.ns.cloudflare.com, nile.ns.cloudflare.com","mandrill_verify.KZ8e5DQHpMvLbXN8DAr7Ng, status-page-domain-verification=qf8jlgf9qlf5, v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCrLHiExVd55zd/IQ/J/mRwSRMAocV/hMB3jXwaHH36d9NaVynQFYV8NaWi69c1veUtRzGt7yAioXqLj7Z4TeEUoOLgrKsn8YnckGs9i3B3tVFB+Ch/4mPhXWiNfNdynHWBcPcbJ8kjEQ2U8y78dHZj1YeRXXVvWob2OaKynO8/lQIDAQAB;, v=spf1 include:_spf.google.com include:spf.mandrillapp.com include:servers.mcsv.net include:stspg-customer.com ~all, google-site-verification=6rPNE0ophz35eEwJRyVcW0YVTHHEqZ6yMX8CMx7O0_I, google-site-verification=SSkLmDP8YhvmxJeT_Yy-exb6RAD7BWUBvUzrlBXFJgc, google-site-verification=ZUBfrtd1YY-pBiCrf2FJLtvlCbD0BlKDf2kRKS-KN6s, google-site-verification=o10A2gUEA1SPQAbdGuEw7YIVYMIdhBSCZlfztcMJyXk, google-site-verification=obf_HkPxTM4pn_AlnhiWeHHm0iuNI3X4M_TPYIxv-Fg",NOERROR,,,,,
[x],backstage.avax-dev.network,"172.66.41.12, 172.66.42.244",,"nile.ns.cloudflare.com, dns.cloudflare.com",,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/backstage/backstage",NOERROR,"2606:4700:3108::ac42:290c, 2606:4700:3108::ac42:2af4",True,cloudflare,,
