new,host,a,soa,has_internal_ips,internal_ips,status_code,cname,cdn,cdn-name,txt,ns,mx,aaaa
[x],acc-test.indiawealth.in,"65.1.17.81, 13.234.210.116, 3.108.113.172","ns-1971.awsdns-54.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
[x],airflow.indiawealth.in,"10.0.87.255, 10.0.1.141, 10.0.56.149","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",True,"10.0.87.255, 10.0.1.141, 10.0.56.149",NOERROR,"airflow.indiawealth.in.cdn.cloudflare.net, internal-aws-lambda-506632719.ap-south-1.elb.amazonaws.com",,,,,,
[x],alertmanager.indiawealth.in,"10.0.5.164, 10.0.4.98, 10.0.1.18","ns-1971.awsdns-54.co.uk, awsdns-hostmaster.amazon.com",True,"10.0.5.164, 10.0.4.98, 10.0.1.18",NOERROR,,,,,,,
[x],amundsen.indiawealth.in,"10.0.1.134, 10.0.0.128, 10.0.4.6","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",True,"10.0.1.134, 10.0.0.128, 10.0.4.6",NOERROR,internal-finzoom-private-1317996273.ap-south-1.elb.amazonaws.com,,,,,,
[x],analytics.indiawealth.in,"10.0.1.18, 10.0.4.98, 10.0.5.164","ns-1971.awsdns-54.co.uk, awsdns-hostmaster.amazon.com",True,"10.0.1.18, 10.0.4.98, 10.0.5.164",NOERROR,,,,,,,
[x],api-cdn.indiawealth.in,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",,,NOERROR,d2lzmzzf3u0udl.cloudfront.net,,,,,,
[x],api.indiawealth.in,"10.0.0.128, 10.0.1.134, 10.0.4.6","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",True,"10.0.0.128, 10.0.1.134, 10.0.4.6",NOERROR,internal-finzoom-private-1317996273.ap-south-1.elb.amazonaws.com,,,,,,
[x],api.indmoney.com,"65.1.200.38, 35.154.85.248, 52.66.144.226","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",,,NOERROR,prod-indmoney-public-alb-633532789.ap-south-1.elb.amazonaws.com,,,,,,
[x],auth.indiawealth.in,"10.0.1.134, 10.0.0.128, 10.0.4.6","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",True,"10.0.1.134, 10.0.0.128, 10.0.4.6",NOERROR,internal-finzoom-private-1317996273.ap-south-1.elb.amazonaws.com,,,,,,
[x],beta.indmoney.com,"104.18.31.240, 104.18.30.240","damon.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,True,cloudflare,,,,
[x],beta1.indmoney.com,,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",,,NOERROR,finzoom-public-648841217.ap-south-1.elb.amazonaws.com,,,,,,
[x],builders.indmoney.com,,"damon.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,True,cloudflare,,,,
[x],calender.indiawealth.in,"3.7.36.7, 15.206.43.205, 13.127.236.47","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",,,NOERROR,k8s-finzoomersprodpub-157e7f7ed2-363811747.ap-south-1.elb.amazonaws.com,,,,,,
