input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_expired,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_wildcard_certificate,csp_domains_,tls_mismatched,cdn_name,cdn,final_url
155-9-192-85.store.simplify.com,,200,3774,155-9-192-85.store.simplify.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-07-22T07:36:34Z,2023-07-22T07:36:33Z,"CN=*.store.simplify.com, OU=BIP01 IRNTZ, O=MasterCard International Incorporated, L=Waterloo, C=BE",*.store.simplify.com,MasterCard International Incorporated,*.store.simplify.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",3835a73e008a3a701047995497a4c42f,a90317b8ab78fd0c47bc909c831f2fdb13318a91b3c55616fcf5dd3ccff920c6,ctls,155-9-192-85.store.simplify.com,443,https://155-9-192-85.store.simplify.com:443,https,,text/html,GET,216.119.218.36,/,-1398860297,2607:3c00:6414:5::2:12,HSTS,93,False,True,,,,,
155-9-216-24.store.simplify.com,,200,3774,155-9-216-24.store.simplify.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-07-22T07:36:34Z,2023-07-22T07:36:33Z,"CN=*.store.simplify.com, OU=BIP01 IRNTZ, O=MasterCard International Incorporated, L=Waterloo, C=BE",*.store.simplify.com,MasterCard International Incorporated,*.store.simplify.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",3835a73e008a3a701047995497a4c42f,a90317b8ab78fd0c47bc909c831f2fdb13318a91b3c55616fcf5dd3ccff920c6,ctls,155-9-216-24.store.simplify.com,443,https://155-9-216-24.store.simplify.com:443,https,,text/html,GET,216.119.218.36,/,-1398860297,2607:3c00:6414:5::2:12,HSTS,93,False,True,,,,,
155-9-62-94.store.simplify.com,,200,3774,155-9-62-94.store.simplify.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-07-22T07:36:34Z,2023-07-22T07:36:33Z,"CN=*.store.simplify.com, OU=BIP01 IRNTZ, O=MasterCard International Incorporated, L=Waterloo, C=BE",*.store.simplify.com,MasterCard International Incorporated,*.store.simplify.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",3835a73e008a3a701047995497a4c42f,a90317b8ab78fd0c47bc909c831f2fdb13318a91b3c55616fcf5dd3ccff920c6,ctls,155-9-62-94.store.simplify.com,443,https://155-9-62-94.store.simplify.com:443,https,,text/html,GET,216.119.218.36,/,-1398860297,2607:3c00:6414:5::2:12,HSTS,93,False,True,,,,,
17-121-116-40.store.simplify.com,,200,3774,17-121-116-40.store.simplify.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-07-22T07:36:34Z,2023-07-22T07:36:33Z,"CN=*.store.simplify.com, OU=BIP01 IRNTZ, O=MasterCard International Incorporated, L=Waterloo, C=BE",*.store.simplify.com,MasterCard International Incorporated,*.store.simplify.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",3835a73e008a3a701047995497a4c42f,a90317b8ab78fd0c47bc909c831f2fdb13318a91b3c55616fcf5dd3ccff920c6,ctls,17-121-116-40.store.simplify.com,443,https://17-121-116-40.store.simplify.com:443,https,,text/html,GET,216.119.218.36,/,-1398860297,2607:3c00:6414:5::2:12,HSTS,93,False,True,,,,,
17-121-118-27.store.simplify.com,,200,3774,17-121-118-27.store.simplify.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-07-22T07:36:34Z,2023-07-22T07:36:33Z,"CN=*.store.simplify.com, OU=BIP01 IRNTZ, O=MasterCard International Incorporated, L=Waterloo, C=BE",*.store.simplify.com,MasterCard International Incorporated,*.store.simplify.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",3835a73e008a3a701047995497a4c42f,a90317b8ab78fd0c47bc909c831f2fdb13318a91b3c55616fcf5dd3ccff920c6,ctls,17-121-118-27.store.simplify.com,443,https://17-121-118-27.store.simplify.com:443,https,,text/html,GET,216.119.218.36,/,-1398860297,2607:3c00:6414:5::2:12,HSTS,93,False,True,,,,,
17-121-120-62.store.simplify.com,,200,3774,17-121-120-62.store.simplify.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-07-22T07:36:34Z,2023-07-22T07:36:33Z,"CN=*.store.simplify.com, OU=BIP01 IRNTZ, O=MasterCard International Incorporated, L=Waterloo, C=BE",*.store.simplify.com,MasterCard International Incorporated,*.store.simplify.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",3835a73e008a3a701047995497a4c42f,a90317b8ab78fd0c47bc909c831f2fdb13318a91b3c55616fcf5dd3ccff920c6,ctls,17-121-120-62.store.simplify.com,443,https://17-121-120-62.store.simplify.com:443,https,,text/html,GET,216.119.218.36,/,-1398860297,2607:3c00:6414:5::2:12,HSTS,93,False,True,,,,,
17-121-124-32.store.simplify.com,,200,3774,17-121-124-32.store.simplify.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-07-22T07:36:34Z,2023-07-22T07:36:33Z,"CN=*.store.simplify.com, OU=BIP01 IRNTZ, O=MasterCard International Incorporated, L=Waterloo, C=BE",*.store.simplify.com,MasterCard International Incorporated,*.store.simplify.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",3835a73e008a3a701047995497a4c42f,a90317b8ab78fd0c47bc909c831f2fdb13318a91b3c55616fcf5dd3ccff920c6,ctls,17-121-124-32.store.simplify.com,443,https://17-121-124-32.store.simplify.com:443,https,,text/html,GET,216.119.218.36,/,-1398860297,2607:3c00:6414:5::2:12,HSTS,93,False,True,,,,,
17-121-124-55.store.simplify.com,,200,3774,17-121-124-55.store.simplify.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-07-22T07:36:34Z,2023-07-22T07:36:33Z,"CN=*.store.simplify.com, OU=BIP01 IRNTZ, O=MasterCard International Incorporated, L=Waterloo, C=BE",*.store.simplify.com,MasterCard International Incorporated,*.store.simplify.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",3835a73e008a3a701047995497a4c42f,a90317b8ab78fd0c47bc909c831f2fdb13318a91b3c55616fcf5dd3ccff920c6,ctls,17-121-124-55.store.simplify.com,443,https://17-121-124-55.store.simplify.com:443,https,,text/html,GET,216.119.218.36,/,-1398860297,2607:3c00:6414:5::2:12,HSTS,93,False,True,,,,,
17-121-127-5.store.simplify.com,,200,3774,17-121-127-5.store.simplify.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-07-22T07:36:34Z,2023-07-22T07:36:33Z,"CN=*.store.simplify.com, OU=BIP01 IRNTZ, O=MasterCard International Incorporated, L=Waterloo, C=BE",*.store.simplify.com,MasterCard International Incorporated,*.store.simplify.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",3835a73e008a3a701047995497a4c42f,a90317b8ab78fd0c47bc909c831f2fdb13318a91b3c55616fcf5dd3ccff920c6,ctls,17-121-127-5.store.simplify.com,443,https://17-121-127-5.store.simplify.com:443,https,,text/html,GET,216.119.218.36,/,-1398860297,2607:3c00:6414:5::2:12,HSTS,93,False,True,,,,,
25-courier2.store.simplify.com,,200,3774,25-courier2.store.simplify.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-07-22T07:36:34Z,2023-07-22T07:36:33Z,"CN=*.store.simplify.com, OU=BIP01 IRNTZ, O=MasterCard International Incorporated, L=Waterloo, C=BE",*.store.simplify.com,MasterCard International Incorporated,*.store.simplify.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",3835a73e008a3a701047995497a4c42f,a90317b8ab78fd0c47bc909c831f2fdb13318a91b3c55616fcf5dd3ccff920c6,ctls,25-courier2.store.simplify.com,443,https://25-courier2.store.simplify.com:443,https,,text/html,GET,216.119.218.36,/,-1398860297,2607:3c00:6414:5::2:12,HSTS,93,False,True,,,,,
4zsoqkiioa.store.simplify.com,,200,3774,4zsoqkiioa.store.simplify.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-07-22T07:36:34Z,2023-07-22T07:36:33Z,"CN=*.store.simplify.com, OU=BIP01 IRNTZ, O=MasterCard International Incorporated, L=Waterloo, C=BE",*.store.simplify.com,MasterCard International Incorporated,*.store.simplify.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",3835a73e008a3a701047995497a4c42f,a90317b8ab78fd0c47bc909c831f2fdb13318a91b3c55616fcf5dd3ccff920c6,ctls,4zsoqkiioa.store.simplify.com,443,https://4zsoqkiioa.store.simplify.com:443,https,,text/html,GET,216.119.218.36,/,-1398860297,2607:3c00:6414:5::2:12,HSTS,93,False,True,,,,,
7wka7.store.simplify.com,,200,3774,7wka7.store.simplify.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-07-22T07:36:34Z,2023-07-22T07:36:33Z,"CN=*.store.simplify.com, OU=BIP01 IRNTZ, O=MasterCard International Incorporated, L=Waterloo, C=BE",*.store.simplify.com,MasterCard International Incorporated,*.store.simplify.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",3835a73e008a3a701047995497a4c42f,a90317b8ab78fd0c47bc909c831f2fdb13318a91b3c55616fcf5dd3ccff920c6,ctls,7wka7.store.simplify.com,443,https://7wka7.store.simplify.com:443,https,,text/html,GET,216.119.218.36,/,-1398860297,2607:3c00:6414:5::2:12,HSTS,93,False,True,,,,,
