new,host,a,aaaa,soa,status_code,cname,has_internal_ips,internal_ips,mx,ns,txt
[x],155-9-184-27.store.simplify.com,216.119.218.36,2607:3c00:6414:5::2:12,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,
[x],155-9-192-85.store.simplify.com,216.119.218.36,2607:3c00:6414:5::2:12,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,
[x],155-9-216-24.store.simplify.com,216.119.218.36,2607:3c00:6414:5::2:12,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,
[x],155-9-62-94.store.simplify.com,216.119.218.36,2607:3c00:6414:5::2:12,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,
[x],17-121-112-76.store.simplify.com,216.119.218.36,2607:3c00:6414:5::2:12,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,
[x],17-121-112-98.store.simplify.com,216.119.218.36,2607:3c00:6414:5::2:12,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,
[x],17-121-116-40.store.simplify.com,216.119.218.36,2607:3c00:6414:5::2:12,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,
[x],17-121-118-27.store.simplify.com,,2607:3c00:6414:5::2:12,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,
[x],17-121-120-62.store.simplify.com,216.119.218.36,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,
[x],17-121-121-52.store.simplify.com,216.119.218.36,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,
[x],17-121-123-18.store.simplify.com,216.119.218.36,2607:3c00:6414:5::2:12,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,
[x],17-121-124-32.store.simplify.com,216.119.218.36,2607:3c00:6414:5::2:12,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,
[x],17-121-124-55.store.simplify.com,216.119.218.36,2607:3c00:6414:5::2:12,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,
[x],17-121-127-5.store.simplify.com,216.119.218.36,2607:3c00:6414:5::2:12,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,
[x],17-58-98-61.store.simplify.com,216.119.218.36,2607:3c00:6414:5::2:12,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,
[x],17-58-99-31.store.simplify.com,216.119.218.36,2607:3c00:6414:5::2:12,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,
[x],25-courier2.store.simplify.com,216.119.218.36,2607:3c00:6414:5::2:12,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,
[x],4zsoqkiioa.store.simplify.com,,2607:3c00:6414:5::2:12,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,
[x],7wka7.store.simplify.com,216.119.218.36,2607:3c00:6414:5::2:12,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,
[x],abajocomoarriba.store.simplify.com,216.119.218.36,2607:3c00:6414:5::2:12,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,
[x],acceptatie-fms1.store.simplify.com,216.119.218.36,2607:3c00:6414:5::2:12,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,
