input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,tls_mismatched,csp_domains_,tls_expired
account-api.dji.com,member-center-fe,200,8705,account-api.dji.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-05T02:32:39Z,2023-08-06T02:32:39Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",d1be93d98639e515c171234b19bc076c,f8c21a50cb30a5b8641fafdcbbb9219f5a52f7222900b9de7d804857ac7e4aa9,True,ctls,account-api.dji.com,cloudfront,443,https://account-api.dji.com:443,https,Jetty(9.4.18.v20190429),text/html,GET,52.222.214.45,/,-593164903,52.222.214.79,Jetty:9.4.18,1,False,True,,,,
account.dji.com,member-center-fe,200,8705,account.dji.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-25T23:59:59Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4ba91535bae08aa746304fa3b8946f51,444ccf93c418f3d68c1379e0b3dfb70016bec5b8c7abeaf378176b1bbcf79a94,True,ctls,account.dji.com,cloudfront,443,https://account.dji.com:443,https,Jetty(9.4.18.v20190429),text/html,GET,108.138.17.24,/,-593164903,108.138.17.95,Jetty:9.4.18,1,False,True,,,findspot.dji.com,
accounts.dji.com,DJI Store: Drohnen und Gimbals von Weltklasse (Deutschland),200,941867,store.dji.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-25T23:59:59Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4ba91535bae08aa746304fa3b8946f51,444ccf93c418f3d68c1379e0b3dfb70016bec5b8c7abeaf378176b1bbcf79a94,True,ctls,store.dji.com,cloudfront,443,https://accounts.dji.com:443,https,openresty,text/html,GET,18.66.112.48,/,1253011228,18.66.112.15,OpenResty,61,False,True,https://store.dji.com/de,,,
admin.djivideos.com,,403,124,admin.djivideos.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T07:13:14Z,2024-04-11T12:33:32Z,CN=*.djivideos.com,*.djivideos.com,djivideos.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",bafb806982940be9e9a61e830f1f404a,46504b2459679749835b32ba04f7eedbb27c05c392286d3ee75708b42cd76486,True,ctls,admin.djivideos.com,,443,https://admin.djivideos.com:443,https,,application/json,GET,47.111.204.88,/,1056634081,47.111.204.88,HSTS,2,False,,,,https://csp.djicdn.com/_/http-sec-report,
aeroscope-cn.djiservice.org,System,200,1064,aeroscope-cn.djiservice.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T07:10:35Z,2024-04-11T09:30:44Z,CN=*.djiservice.org,*.djiservice.org,djiservice.org,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b3a6069df7899dc95e425d39fc1a0884,de5bf98ffa8f635012f90ab2c7658fd53baab737369429f4d8db79ac9781ad24,True,ctls,aeroscope-cn.djiservice.org,,443,https://aeroscope-cn.djiservice.org:443,https,Tengine,text/html,GET,114.80.179.213,/,1615272678,114.80.179.211,Tengine,1,False,,,,,
aeroscope.djiservice.org,System,200,1055,aeroscope.djiservice.org,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-13T07:10:35Z,2024-04-11T09:30:44Z,CN=*.djiservice.org,*.djiservice.org,djiservice.org,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b3a6069df7899dc95e425d39fc1a0884,de5bf98ffa8f635012f90ab2c7658fd53baab737369429f4d8db79ac9781ad24,True,ctls,aeroscope.djiservice.org,,443,https://aeroscope.djiservice.org:443,https,Tengine,text/html,GET,79.133.177.229,/,345653727,163.181.92.225,Tengine,1,False,,,,,
ag-tinyapp.djiservice.org,登录,200,3284,ag-tinyapp.djiservice.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T07:10:35Z,2024-04-11T09:30:44Z,CN=*.djiservice.org,*.djiservice.org,djiservice.org,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b3a6069df7899dc95e425d39fc1a0884,de5bf98ffa8f635012f90ab2c7658fd53baab737369429f4d8db79ac9781ad24,True,ctls,ag-tinyapp.djiservice.org,,80,http://ag-tinyapp.djiservice.org:80,http,Tengine,text/html,GET,114.80.179.213,/,509258457,114.80.179.242,ThinkPHP,108,False,,https://ag-tinyapp.djiservice.org/Public/login.html,,https://csp.djicdn.com/_/http-sec-report,
ag.dji.com,"DJI Agriculture - Better Growth, Better Life",200,224181,ag.dji.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-25T23:59:59Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4ba91535bae08aa746304fa3b8946f51,444ccf93c418f3d68c1379e0b3dfb70016bec5b8c7abeaf378176b1bbcf79a94,True,ctls,ag.dji.com,cloudfront,443,https://ag.dji.com:443,https,nw,text/html,GET,18.66.112.34,/,700799878,2600:9000:223f:6a00:e:1faa:b300:93a1,HSTS,92,False,True,https://ag.dji.com/de/mobile,,http://*.dji.com,
ag2-api.dji.com,您所访问的页面不存在,200,24977,ag2-api.dji.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-05T02:32:39Z,2023-08-06T02:32:39Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",d1be93d98639e515c171234b19bc076c,f8c21a50cb30a5b8641fafdcbbb9219f5a52f7222900b9de7d804857ac7e4aa9,True,ctls,ag2-api.dji.com,,443,https://ag2-api.dji.com:443,https,,text/html,GET,223.4.221.70,/,-1840324437,223.4.221.70,HSTS,483,False,,,,js-agent.newrelic.com,
ag2.dji.com,,200,1208,agms.dji.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-05T02:32:39Z,2023-08-06T02:32:39Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",d1be93d98639e515c171234b19bc076c,f8c21a50cb30a5b8641fafdcbbb9219f5a52f7222900b9de7d804857ac7e4aa9,True,ctls,agms.dji.com,,80,http://ag2.dji.com:80,http,Tengine,text/html,GET,114.55.105.185,/,-88258409,114.55.105.185,Tengine,5,False,,https://agms.dji.com/,,,
agfe.djicdn.com,,404,297,agfe.djicdn.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-25T07:28:45Z,2024-02-23T07:24:42Z,CN=*.djicdn.com,*.djicdn.com,djicdn.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",aaf14168fccb5371aa5e6a47f3bb9432,98595f13d55b7d43f041f6b3a43a2fe83587ba44f4fbd994f9cd58842834dc97,True,ctls,agfe.djicdn.com,,443,https://agfe.djicdn.com:443,https,Tengine,application/xml,GET,163.181.92.232,/,73121702,163.181.92.225,Tengine,10,False,,,,,
anime.robomaster.com,Robomasters：The Animated Series,200,2222,anime.robomaster.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-25T08:56:27Z,2023-06-26T08:56:27Z,CN=*.robomaster.com,*.robomaster.com,robomaster.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",a39199d403c9a99b43528a50b66b16b7,7e0c1cb069e7d1f57beee4fe7df93c93e5c2b5276b818249853db13c4b945be9,True,ctls,anime.robomaster.com,,443,https://anime.robomaster.com:443,https,Tengine,text/html,GET,163.181.92.232,/,917951020,163.181.92.227,Tengine,45,False,,,,,
api.skypixel.com,The world's biggest drone photo and video sharing platform | SkyPixel.com,200,10993,api.skypixel.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T08:01:52Z,2024-04-18T03:33:03Z,CN=*.skypixel.com,*.skypixel.com,skypixel.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",68bb73a54490fb1ead9d018262a70b52,9ac13a6c544c3a88d98efef797563a5a4c72589f866bb4825fa2387a2e7f9d46,True,ctls,api.skypixel.com,,443,https://api.skypixel.com:443,https,,text/html,GET,47.254.56.245,/,-1082549427,47.254.56.245,,71,False,,,,https://mimo.skypixel.com,
apigateway.djiservice.org,,404,58,apigateway.djiservice.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T07:10:35Z,2024-04-11T09:30:44Z,CN=*.djiservice.org,*.djiservice.org,djiservice.org,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b3a6069df7899dc95e425d39fc1a0884,de5bf98ffa8f635012f90ab2c7658fd53baab737369429f4d8db79ac9781ad24,True,ctls,apigateway.djiservice.org,,443,https://apigateway.djiservice.org:443,https,,application/json,GET,47.91.161.230,/,-1644060773,47.91.161.230,,2,False,,,,,
app-h5.dji.com,,403,299,app-h5.dji.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-05T02:32:39Z,2023-08-06T02:32:39Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",d1be93d98639e515c171234b19bc076c,f8c21a50cb30a5b8641fafdcbbb9219f5a52f7222900b9de7d804857ac7e4aa9,True,ctls,app-h5.dji.com,,443,https://app-h5.dji.com:443,https,Tengine,application/xml,GET,163.181.92.231,/,-1944840394,163.181.92.230,Tengine,9,False,,,,test-app-h5.dbeta.me,
