input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,content_type,tls_subject_org_,tls_self_signed,csp_domains_,final_url
assetsloginbackup-accept-domain.production.curve.app,,404,,AS0,Not routed,None,13.32.100.0/23,assetsloginbackup-accept-domain.production.curve.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-21T23:59:59Z,CN=*.production.curve.app,*.production.curve.app,*.production.curve.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a9b3b7ec6c58dfcc2ade6d67baeaf88e,59dbac718cfc00169d4f54cad054b3e2804ed6252bf7017162b8a7cc31385696,True,ctls,assetsloginbackup-accept-domain.production.curve.app,cloudfront,443,https://assetsloginbackup-accept-domain.production.curve.app:443,https,envoy,GET,13.32.99.48,/,-1840324437,2600:9000:2251:1400:0:d856:9bc0:93a1,Envoy,1,False,True,,,,,,
assetssslvpn.production.curve.app,,404,,AS0,Not routed,None,13.32.100.0/23,assetssslvpn.production.curve.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-21T23:59:59Z,CN=*.production.curve.app,*.production.curve.app,*.production.curve.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a9b3b7ec6c58dfcc2ade6d67baeaf88e,59dbac718cfc00169d4f54cad054b3e2804ed6252bf7017162b8a7cc31385696,True,ctls,assetssslvpn.production.curve.app,cloudfront,443,https://assetssslvpn.production.curve.app:443,https,envoy,GET,13.32.99.48,/,-1840324437,2600:9000:2251:7600:0:d856:9bc0:93a1,Envoy,1,False,True,,,,,,
atl-itpodev-vctr-01.production.curve.app,,404,,AS0,Not routed,None,13.32.100.0/23,atl-itpodev-vctr-01.production.curve.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-21T23:59:59Z,CN=*.production.curve.app,*.production.curve.app,*.production.curve.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a9b3b7ec6c58dfcc2ade6d67baeaf88e,59dbac718cfc00169d4f54cad054b3e2804ed6252bf7017162b8a7cc31385696,True,ctls,atl-itpodev-vctr-01.production.curve.app,cloudfront,443,https://atl-itpodev-vctr-01.production.curve.app:443,https,envoy,GET,13.32.99.48,/,-1840324437,2600:9000:2251:f000:0:d856:9bc0:93a1,Envoy,1,False,True,,,,,,
atl-prd-aiservices-01a.production.curve.app,,404,,AS0,Not routed,None,13.32.100.0/23,atl-prd-aiservices-01a.production.curve.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-21T23:59:59Z,CN=*.production.curve.app,*.production.curve.app,*.production.curve.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a9b3b7ec6c58dfcc2ade6d67baeaf88e,59dbac718cfc00169d4f54cad054b3e2804ed6252bf7017162b8a7cc31385696,True,ctls,atl-prd-aiservices-01a.production.curve.app,cloudfront,443,https://atl-prd-aiservices-01a.production.curve.app:443,https,envoy,GET,13.32.99.48,/,-1840324437,2600:9000:2251:7000:0:d856:9bc0:93a1,Envoy,1,False,True,,,,,,
atl-prd-arsrem-01b.production.curve.app,,404,,AS0,Not routed,None,13.32.100.0/23,atl-prd-arsrem-01b.production.curve.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-21T23:59:59Z,CN=*.production.curve.app,*.production.curve.app,*.production.curve.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a9b3b7ec6c58dfcc2ade6d67baeaf88e,59dbac718cfc00169d4f54cad054b3e2804ed6252bf7017162b8a7cc31385696,True,ctls,atl-prd-arsrem-01b.production.curve.app,cloudfront,443,https://atl-prd-arsrem-01b.production.curve.app:443,https,envoy,GET,13.32.99.33,/,-1840324437,2600:9000:2251:f200:0:d856:9bc0:93a1,Envoy,1,False,True,,,,,,
atl-prd-ngw9b-eth3-01.production.curve.app,,404,,AS0,Not routed,None,13.32.100.0/23,atl-prd-ngw9b-eth3-01.production.curve.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-21T23:59:59Z,CN=*.production.curve.app,*.production.curve.app,*.production.curve.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a9b3b7ec6c58dfcc2ade6d67baeaf88e,59dbac718cfc00169d4f54cad054b3e2804ed6252bf7017162b8a7cc31385696,True,ctls,atl-prd-ngw9b-eth3-01.production.curve.app,cloudfront,443,https://atl-prd-ngw9b-eth3-01.production.curve.app:443,https,envoy,GET,13.32.99.9,/,-1840324437,2600:9000:2251:cc00:0:d856:9bc0:93a1,Envoy,1,False,True,,,,,,
atl-prd-res-69a.production.curve.app,,404,,AS0,Not routed,None,13.32.100.0/23,atl-prd-res-69a.production.curve.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-21T23:59:59Z,CN=*.production.curve.app,*.production.curve.app,*.production.curve.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a9b3b7ec6c58dfcc2ade6d67baeaf88e,59dbac718cfc00169d4f54cad054b3e2804ed6252bf7017162b8a7cc31385696,True,ctls,atl-prd-res-69a.production.curve.app,cloudfront,443,https://atl-prd-res-69a.production.curve.app:443,https,envoy,GET,13.32.99.9,/,-1840324437,2600:9000:2251:cc00:0:d856:9bc0:93a1,Envoy,1,False,True,,,,,,
atl-prd-sd-02.production.curve.app,,404,,AS0,Not routed,None,13.32.100.0/23,atl-prd-sd-02.production.curve.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-21T23:59:59Z,CN=*.production.curve.app,*.production.curve.app,*.production.curve.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a9b3b7ec6c58dfcc2ade6d67baeaf88e,59dbac718cfc00169d4f54cad054b3e2804ed6252bf7017162b8a7cc31385696,True,ctls,atl-prd-sd-02.production.curve.app,cloudfront,443,https://atl-prd-sd-02.production.curve.app:443,https,envoy,GET,13.32.99.33,/,-1840324437,2600:9000:2251:9400:0:d856:9bc0:93a1,Envoy,1,False,True,,,,,,
au-mg0.production.curve.app,,404,,AS0,Not routed,None,13.32.100.0/23,au-mg0.production.curve.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-21T23:59:59Z,CN=*.production.curve.app,*.production.curve.app,*.production.curve.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a9b3b7ec6c58dfcc2ade6d67baeaf88e,59dbac718cfc00169d4f54cad054b3e2804ed6252bf7017162b8a7cc31385696,True,ctls,au-mg0.production.curve.app,cloudfront,443,https://au-mg0.production.curve.app:443,https,envoy,GET,13.32.99.9,/,-1840324437,2600:9000:2251:7000:0:d856:9bc0:93a1,Envoy,1,False,True,,,,,,
aud22-west-proxy-stream.production.curve.app,,404,,AS0,Not routed,None,13.32.100.0/23,aud22-west-proxy-stream.production.curve.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-21T23:59:59Z,CN=*.production.curve.app,*.production.curve.app,*.production.curve.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a9b3b7ec6c58dfcc2ade6d67baeaf88e,59dbac718cfc00169d4f54cad054b3e2804ed6252bf7017162b8a7cc31385696,True,ctls,aud22-west-proxy-stream.production.curve.app,cloudfront,443,https://aud22-west-proxy-stream.production.curve.app:443,https,envoy,GET,13.32.99.48,/,-1840324437,2600:9000:2251:7000:0:d856:9bc0:93a1,Envoy,1,False,True,,,,,,
