new,host,a,aaaa,cname,soa,ns,status_code,cdn,cdn-name,mx,txt,caa,has_internal_ips,internal_ips
[x],0lga-marple.hrsys.okta-wiskey-orchestrator-safe.production.curve.app,"54.230.206.9, 54.230.206.108, 54.230.206.114, 54.230.206.96","2600:9000:2251:9400:0:d856:9bc0:93a1, 2600:9000:2251:8e00:0:d856:9bc0:93a1, 2600:9000:2251:6400:0:d856:9bc0:93a1, 2600:9000:2251:9200:0:d856:9bc0:93a1, 2600:9000:2251:4c00:0:d856:9bc0:93a1, 2600:9000:2251:6800:0:d856:9bc0:93a1, 2600:9000:2251::d856:9bc0:93a1, 2600:9000:2251:de00:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com",NOERROR,True,cloudfront,,,,,
[x],1-hrsys.okta-wiskey-orchestrator-safe.production.curve.app,"13.32.99.48, 13.32.99.9, 13.32.99.33, 13.32.99.67","2600:9000:2251:5800:0:d856:9bc0:93a1, 2600:9000:2251:7800:0:d856:9bc0:93a1, 2600:9000:2251:6e00:0:d856:9bc0:93a1, 2600:9000:2251:cc00:0:d856:9bc0:93a1, 2600:9000:2251:9000:0:d856:9bc0:93a1, 2600:9000:2251:3e00:0:d856:9bc0:93a1, 2600:9000:2251:8a00:0:d856:9bc0:93a1, 2600:9000:2251:9a00:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-80.awsdns-10.com, ns-688.awsdns-22.net",NOERROR,True,cloudfront,,,,,
[x],109-42.production.curve.app,"13.32.99.9, 13.32.99.48, 13.32.99.67, 13.32.99.33",,d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,,
[x],114.okta-wiskey-orchestrator-safe.production.curve.app,"13.32.99.48, 13.32.99.33, 13.32.99.9, 13.32.99.67","2600:9000:2251:e400:0:d856:9bc0:93a1, 2600:9000:2251:7800:0:d856:9bc0:93a1, 2600:9000:2251:8200:0:d856:9bc0:93a1, 2600:9000:2251:d400:0:d856:9bc0:93a1, 2600:9000:2251:b400:0:d856:9bc0:93a1, 2600:9000:2251:1e00:0:d856:9bc0:93a1, 2600:9000:2251:e00:0:d856:9bc0:93a1, 2600:9000:2251:f600:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com",NOERROR,True,cloudfront,,,,,
[x],123.okta-wiskey-orchestratorvault-paytech-safe.production.curve.app,"13.32.99.48, 13.32.99.9, 13.32.99.67, 13.32.99.33","2600:9000:2251:2600:0:d856:9bc0:93a1, 2600:9000:2251:c000:0:d856:9bc0:93a1, 2600:9000:2251:8600:0:d856:9bc0:93a1, 2600:9000:2251:5e00:0:d856:9bc0:93a1, 2600:9000:2251:1600:0:d856:9bc0:93a1, 2600:9000:2251:6400:0:d856:9bc0:93a1, 2600:9000:2251:1e00:0:d856:9bc0:93a1, 2600:9000:2251:e200:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-688.awsdns-22.net, ns-80.awsdns-10.com, ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk",NOERROR,True,cloudfront,,,,,
[x],125.hrsys.okta-wiskey-orchestratortech-safe.production.curve.app,"13.32.99.48, 13.32.99.67, 13.32.99.9, 13.32.99.33","2600:9000:2251:2400:0:d856:9bc0:93a1, 2600:9000:2251:6000:0:d856:9bc0:93a1, 2600:9000:2251:9200:0:d856:9bc0:93a1, 2600:9000:2251:9c00:0:d856:9bc0:93a1, 2600:9000:2251:b400:0:d856:9bc0:93a1, 2600:9000:2251:bc00:0:d856:9bc0:93a1, 2600:9000:2251:1200:0:d856:9bc0:93a1, 2600:9000:2251:1a00:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-80.awsdns-10.com, ns-688.awsdns-22.net, ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk",NOERROR,True,cloudfront,,,,,
[x],13.hrsys.okta-wiskey-orchestrator-safe.production.curve.app,"13.227.219.114, 13.227.219.21, 13.227.219.9, 13.227.219.79","2600:9000:21c7:fa00:0:d856:9bc0:93a1, 2600:9000:21c7:7000:0:d856:9bc0:93a1, 2600:9000:21c7:3e00:0:d856:9bc0:93a1, 2600:9000:21c7:b200:0:d856:9bc0:93a1, 2600:9000:21c7:2400:0:d856:9bc0:93a1, 2600:9000:21c7:2600:0:d856:9bc0:93a1, 2600:9000:21c7:4800:0:d856:9bc0:93a1, 2600:9000:21c7:8200:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com, ns-1123.awsdns-12.org",NOERROR,True,cloudfront,,,,,
[x],14-courier2.production.curve.app,"13.32.99.48, 13.32.99.67, 13.32.99.33, 13.32.99.9","2600:9000:2251:e800:0:d856:9bc0:93a1, 2600:9000:2251:2a00:0:d856:9bc0:93a1, 2600:9000:2251:1e00:0:d856:9bc0:93a1, 2600:9000:2251:9c00:0:d856:9bc0:93a1, 2600:9000:2251:8200:0:d856:9bc0:93a1, 2600:9000:2251:2c00:0:d856:9bc0:93a1, 2600:9000:2251:1800:0:d856:9bc0:93a1, 2600:9000:2251:6e00:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com",NOERROR,True,cloudfront,,,,,
[x],143.hrsys.okta-wiskey-orchestrator-vault-paytech-safe.production.curve.app,"13.32.99.33, 13.32.99.9, 13.32.99.48, 13.32.99.67","2600:9000:2251:8400:0:d856:9bc0:93a1, 2600:9000:2251:3000:0:d856:9bc0:93a1, 2600:9000:2251:7800:0:d856:9bc0:93a1, 2600:9000:2251:fe00:0:d856:9bc0:93a1, 2600:9000:2251:200:0:d856:9bc0:93a1, 2600:9000:2251:9800:0:d856:9bc0:93a1, 2600:9000:2251::d856:9bc0:93a1, 2600:9000:2251:d400:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-80.awsdns-10.com, ns-688.awsdns-22.net, ns-1846.awsdns-38.co.uk",NOERROR,True,cloudfront,,,,,
[x],155-9-185-78.production.curve.app,"52.85.242.61, 52.85.242.35, 52.85.242.94, 52.85.242.24","2600:9000:2251:b200:0:d856:9bc0:93a1, 2600:9000:2251:b000:0:d856:9bc0:93a1, 2600:9000:2251:3800:0:d856:9bc0:93a1, 2600:9000:2251:5200:0:d856:9bc0:93a1, 2600:9000:2251:1200:0:d856:9bc0:93a1, 2600:9000:2251:da00:0:d856:9bc0:93a1, 2600:9000:2251:3400:0:d856:9bc0:93a1, 2600:9000:2251:a800:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com",NOERROR,True,cloudfront,,,,,
[x],155-9-187-74.production.curve.app,"99.84.9.40, 99.84.9.95, 99.84.9.3, 99.84.9.129","2600:9000:215b:7600:0:d856:9bc0:93a1, 2600:9000:215b:d800:0:d856:9bc0:93a1, 2600:9000:215b:b200:0:d856:9bc0:93a1, 2600:9000:215b:4e00:0:d856:9bc0:93a1, 2600:9000:215b:8c00:0:d856:9bc0:93a1, 2600:9000:215b:4c00:0:d856:9bc0:93a1, 2600:9000:215b:de00:0:d856:9bc0:93a1, 2600:9000:215b:9e00:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com, ns-107.awsdns-13.com, ns-1086.awsdns-07.org, ns-2035.awsdns-62.co.uk, ns-887.awsdns-46.net",NOERROR,True,cloudfront,,,,,
[x],155-9-187-92.production.curve.app,"13.32.99.33, 13.32.99.67, 13.32.99.48, 13.32.99.9","2600:9000:2251:6200:0:d856:9bc0:93a1, 2600:9000:2251::d856:9bc0:93a1, 2600:9000:2251:5e00:0:d856:9bc0:93a1, 2600:9000:2251:8e00:0:d856:9bc0:93a1, 2600:9000:2251:fe00:0:d856:9bc0:93a1, 2600:9000:2251:6800:0:d856:9bc0:93a1, 2600:9000:2251:4000:0:d856:9bc0:93a1, 2600:9000:2251:1a00:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com",NOERROR,True,cloudfront,,,,,
[x],155-9-192-85.production.curve.app,"99.84.9.3, 99.84.9.129, 99.84.9.40, 99.84.9.95","2600:9000:215b:2200:0:d856:9bc0:93a1, 2600:9000:215b:ee00:0:d856:9bc0:93a1, 2600:9000:215b:ae00:0:d856:9bc0:93a1, 2600:9000:215b:7000:0:d856:9bc0:93a1, 2600:9000:215b:7e00:0:d856:9bc0:93a1, 2600:9000:215b:5a00:0:d856:9bc0:93a1, 2600:9000:215b:5200:0:d856:9bc0:93a1, 2600:9000:215b:2800:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com",NOERROR,True,cloudfront,,,,,
[x],155-9-212-90.production.curve.app,"18.173.233.65, 18.173.233.51, 18.173.233.23, 18.173.233.2","2600:9000:2440:9200:0:d856:9bc0:93a1, 2600:9000:2440:4400:0:d856:9bc0:93a1, 2600:9000:2440:b000:0:d856:9bc0:93a1, 2600:9000:2440:fe00:0:d856:9bc0:93a1, 2600:9000:2440:5000:0:d856:9bc0:93a1, 2600:9000:2440:a200:0:d856:9bc0:93a1, 2600:9000:2440:6000:0:d856:9bc0:93a1, 2600:9000:2440:5200:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-688.awsdns-22.net, ns-80.awsdns-10.com, ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk",NOERROR,True,cloudfront,,,,,
[x],155-9-218-52.production.curve.app,"13.32.99.48, 13.32.99.67, 13.32.99.9, 13.32.99.33","2600:9000:2396:a600:0:d856:9bc0:93a1, 2600:9000:2396:2600:0:d856:9bc0:93a1, 2600:9000:2396:f400:0:d856:9bc0:93a1, 2600:9000:2396:ba00:0:d856:9bc0:93a1, 2600:9000:2396:3200:0:d856:9bc0:93a1, 2600:9000:2396:3600:0:d856:9bc0:93a1, 2600:9000:2396:8400:0:d856:9bc0:93a1, 2600:9000:2396:a000:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com",NOERROR,True,cloudfront,,,,,
[x],155-9-224-40.production.curve.app,"13.32.99.9, 13.32.99.33, 13.32.99.48, 13.32.99.67","2600:9000:2251:5200:0:d856:9bc0:93a1, 2600:9000:2251:f600:0:d856:9bc0:93a1, 2600:9000:2251:2400:0:d856:9bc0:93a1, 2600:9000:2251:3800:0:d856:9bc0:93a1, 2600:9000:2251:b000:0:d856:9bc0:93a1, 2600:9000:2251:1600:0:d856:9bc0:93a1, 2600:9000:2251:6e00:0:d856:9bc0:93a1, 2600:9000:2251:d200:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,,
[x],155-9-61-82.production.curve.app,"13.32.99.33, 13.32.99.67, 13.32.99.48, 13.32.99.9","2600:9000:2251:3e00:0:d856:9bc0:93a1, 2600:9000:2251:ec00:0:d856:9bc0:93a1, 2600:9000:2251:8e00:0:d856:9bc0:93a1, 2600:9000:2251:f200:0:d856:9bc0:93a1, 2600:9000:2251:ac00:0:d856:9bc0:93a1, 2600:9000:2251:200:0:d856:9bc0:93a1, 2600:9000:2251:3600:0:d856:9bc0:93a1, 2600:9000:2251:6800:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com",NOERROR,True,cloudfront,,,,,
[x],155-9-62-5.production.curve.app,"18.67.76.74, 18.67.76.87, 18.67.76.117, 18.67.76.126, 205.251.192.80, 205.251.194.176, 205.251.196.99, 205.251.199.54","2600:9000:2305:4600:0:d856:9bc0:93a1, 2600:9000:2305:7400:0:d856:9bc0:93a1, 2600:9000:2305:2c00:0:d856:9bc0:93a1, 2600:9000:2305:3600:0:d856:9bc0:93a1, 2600:9000:2305:2a00:0:d856:9bc0:93a1, 2600:9000:2305:4000:0:d856:9bc0:93a1, 2600:9000:2305:5000:0:d856:9bc0:93a1, 2600:9000:2305:c800:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-688.awsdns-22.net, ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-80.awsdns-10.com",NOERROR,True,cloudfront,,,,,
[x],155-9-62-7.production.curve.app,"13.32.99.67, 13.32.99.9, 13.32.99.33, 13.32.99.48","2600:9000:2251:c800:0:d856:9bc0:93a1, 2600:9000:2251:e400:0:d856:9bc0:93a1, 2600:9000:2251:3600:0:d856:9bc0:93a1, 2600:9000:2251:4600:0:d856:9bc0:93a1, 2600:9000:2251:5200:0:d856:9bc0:93a1, 2600:9000:2251:7a00:0:d856:9bc0:93a1, 2600:9000:2251:9a00:0:d856:9bc0:93a1, 2600:9000:2251:aa00:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-80.awsdns-10.com, ns-688.awsdns-22.net, ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk",NOERROR,True,cloudfront,,,,,
[x],155-9-73-96.production.curve.app,"13.227.219.114, 13.227.219.21, 13.227.219.9, 13.227.219.79","2600:9000:21c7:fa00:0:d856:9bc0:93a1, 2600:9000:21c7:7000:0:d856:9bc0:93a1, 2600:9000:21c7:3e00:0:d856:9bc0:93a1, 2600:9000:21c7:b200:0:d856:9bc0:93a1, 2600:9000:21c7:2400:0:d856:9bc0:93a1, 2600:9000:21c7:2600:0:d856:9bc0:93a1, 2600:9000:21c7:4800:0:d856:9bc0:93a1, 2600:9000:21c7:8200:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-80.awsdns-10.com, ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net",NOERROR,True,cloudfront,,,,,
[x],155-9-75-42.production.curve.app,"13.32.99.48, 13.32.99.67, 13.32.99.33, 13.32.99.9","2600:9000:2251:e800:0:d856:9bc0:93a1, 2600:9000:2251:2a00:0:d856:9bc0:93a1, 2600:9000:2251:1e00:0:d856:9bc0:93a1, 2600:9000:2251:9c00:0:d856:9bc0:93a1, 2600:9000:2251:8200:0:d856:9bc0:93a1, 2600:9000:2251:2c00:0:d856:9bc0:93a1, 2600:9000:2251:1800:0:d856:9bc0:93a1, 2600:9000:2251:6e00:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com",NOERROR,True,cloudfront,,,,,
[x],158-7-251-64.production.curve.app,"13.32.99.9, 13.32.99.33, 13.32.99.67, 13.32.99.48","2600:9000:21c7:6000:0:d856:9bc0:93a1, 2600:9000:21c7:800:0:d856:9bc0:93a1, 2600:9000:21c7:9a00:0:d856:9bc0:93a1, 2600:9000:21c7:2800:0:d856:9bc0:93a1, 2600:9000:21c7:5200:0:d856:9bc0:93a1, 2600:9000:21c7:5e00:0:d856:9bc0:93a1, 2600:9000:21c7:ce00:0:d856:9bc0:93a1, 2600:9000:21c7:ae00:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com",NOERROR,True,cloudfront,,,,,
[x],17-121-119-39.production.curve.app,"13.32.99.9, 13.32.99.67, 13.32.99.48, 13.32.99.33","2600:9000:2251:fe00:0:d856:9bc0:93a1, 2600:9000:2251::d856:9bc0:93a1, 2600:9000:2251:d400:0:d856:9bc0:93a1, 2600:9000:2251:9800:0:d856:9bc0:93a1, 2600:9000:2251:8400:0:d856:9bc0:93a1, 2600:9000:2251:7800:0:d856:9bc0:93a1, 2600:9000:2251:3000:0:d856:9bc0:93a1, 2600:9000:2251:200:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-80.awsdns-10.com, ns-688.awsdns-22.net, ns-1846.awsdns-38.co.uk",NOERROR,True,cloudfront,,,,,
[x],17-121-119-56.production.curve.app,"52.85.242.35, 52.85.242.24, 52.85.242.94, 52.85.242.61","2600:9000:21c3:b000:0:d856:9bc0:93a1, 2600:9000:21c3:7000:0:d856:9bc0:93a1, 2600:9000:21c3:6200:0:d856:9bc0:93a1, 2600:9000:21c3:ac00:0:d856:9bc0:93a1, 2600:9000:21c3:a800:0:d856:9bc0:93a1, 2600:9000:21c3:2800:0:d856:9bc0:93a1, 2600:9000:21c3:3e00:0:d856:9bc0:93a1, 2600:9000:21c3:9400:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-80.awsdns-10.com, ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net",NOERROR,True,cloudfront,,,,,
[x],17-121-120-19.production.curve.app,"13.32.99.67, 13.32.99.9, 13.32.99.48, 13.32.99.33","2600:9000:21c3:f200:0:d856:9bc0:93a1, 2600:9000:21c3:7e00:0:d856:9bc0:93a1, 2600:9000:21c3:9e00:0:d856:9bc0:93a1, 2600:9000:21c3:c800:0:d856:9bc0:93a1, 2600:9000:21c3:cc00:0:d856:9bc0:93a1, 2600:9000:21c3:2800:0:d856:9bc0:93a1, 2600:9000:21c3:1c00:0:d856:9bc0:93a1, 2600:9000:21c3:5200:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com, ns-1123.awsdns-12.org",NOERROR,True,cloudfront,,,,,
[x],17-121-121-28.production.curve.app,,"2600:9000:2171:c400:0:d856:9bc0:93a1, 2600:9000:2171:8600:0:d856:9bc0:93a1, 2600:9000:2171:7000:0:d856:9bc0:93a1, 2600:9000:2171:600:0:d856:9bc0:93a1, 2600:9000:2171:1e00:0:d856:9bc0:93a1, 2600:9000:2171:fc00:0:d856:9bc0:93a1, 2600:9000:2171:6800:0:d856:9bc0:93a1, 2600:9000:2171:b000:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com",NOERROR,True,cloudfront,,,,,
[x],17-121-122-88.production.curve.app,"99.84.9.129, 99.84.9.3, 99.84.9.40, 99.84.9.95","2600:9000:2171:c400:0:d856:9bc0:93a1, 2600:9000:2171:8600:0:d856:9bc0:93a1, 2600:9000:2171:7000:0:d856:9bc0:93a1, 2600:9000:2171:600:0:d856:9bc0:93a1, 2600:9000:2171:1e00:0:d856:9bc0:93a1, 2600:9000:2171:fc00:0:d856:9bc0:93a1, 2600:9000:2171:6800:0:d856:9bc0:93a1, 2600:9000:2171:b000:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com, ns-107.awsdns-13.com, ns-1086.awsdns-07.org, ns-2035.awsdns-62.co.uk, ns-887.awsdns-46.net",NOERROR,True,cloudfront,,,,,
[x],17-121-122-89.production.curve.app,"13.32.99.48, 13.32.99.33, 13.32.99.67, 13.32.99.9","2600:9000:2251:f000:0:d856:9bc0:93a1, 2600:9000:2251:2c00:0:d856:9bc0:93a1, 2600:9000:2251:800:0:d856:9bc0:93a1, 2600:9000:2251:3400:0:d856:9bc0:93a1, 2600:9000:2251:8c00:0:d856:9bc0:93a1, 2600:9000:2251:b600:0:d856:9bc0:93a1, 2600:9000:2251:3000:0:d856:9bc0:93a1, 2600:9000:2251:3800:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com",NOERROR,True,cloudfront,,,,,
[x],17-121-123-14.production.curve.app,"99.84.9.3, 99.84.9.129, 99.84.9.40, 99.84.9.95","2600:9000:215b:2200:0:d856:9bc0:93a1, 2600:9000:215b:ee00:0:d856:9bc0:93a1, 2600:9000:215b:ae00:0:d856:9bc0:93a1, 2600:9000:215b:7000:0:d856:9bc0:93a1, 2600:9000:215b:7e00:0:d856:9bc0:93a1, 2600:9000:215b:5a00:0:d856:9bc0:93a1, 2600:9000:215b:5200:0:d856:9bc0:93a1, 2600:9000:215b:2800:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com",NOERROR,True,cloudfront,,,,,
[x],17-121-123-65.production.curve.app,"99.84.9.40, 99.84.9.95, 99.84.9.3, 99.84.9.129","2600:9000:2251:5000:0:d856:9bc0:93a1, 2600:9000:2251::d856:9bc0:93a1, 2600:9000:2251:c400:0:d856:9bc0:93a1, 2600:9000:2251:1400:0:d856:9bc0:93a1, 2600:9000:2251:c00:0:d856:9bc0:93a1, 2600:9000:2251:f600:0:d856:9bc0:93a1, 2600:9000:2251:ee00:0:d856:9bc0:93a1, 2600:9000:2251:ea00:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com",NOERROR,True,cloudfront,,,,,
[x],2.hrsys.okta-wiskey-orchestrator-safe.production.curve.app,"18.173.233.51, 18.173.233.23, 18.173.233.2, 18.173.233.65","2600:9000:2440:c000:0:d856:9bc0:93a1, 2600:9000:2440:f000:0:d856:9bc0:93a1, 2600:9000:2440:d400:0:d856:9bc0:93a1, 2600:9000:2440:1000:0:d856:9bc0:93a1, 2600:9000:2440:4e00:0:d856:9bc0:93a1, 2600:9000:2440:c600:0:d856:9bc0:93a1, 2600:9000:2440:8000:0:d856:9bc0:93a1, 2600:9000:2440:7200:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com, ns-1123.awsdns-12.org",NOERROR,True,cloudfront,,,,,
[x],21.production.curve.app,"13.32.99.9, 13.32.99.48, 13.32.99.33, 13.32.99.67","2600:9000:2251:4600:0:d856:9bc0:93a1, 2600:9000:2251:b000:0:d856:9bc0:93a1, 2600:9000:2251:4e00:0:d856:9bc0:93a1, 2600:9000:2251:2a00:0:d856:9bc0:93a1, 2600:9000:2251:9000:0:d856:9bc0:93a1, 2600:9000:2251:6400:0:d856:9bc0:93a1, 2600:9000:2251:ec00:0:d856:9bc0:93a1, 2600:9000:2251:6000:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com",NOERROR,True,cloudfront,,,,,
[x],4ba16751-testnoexistdomain-bcc738dc-this-exist.c4ksfktlc89q8tdjor6g.hrsys.2020-okta-wiskey-orchestratortech-safe.production.curve.app,"13.32.99.67, 13.32.99.48, 13.32.99.9, 13.32.99.33","2600:9000:2251:9000:0:d856:9bc0:93a1, 2600:9000:2251:3e00:0:d856:9bc0:93a1, 2600:9000:2251:8a00:0:d856:9bc0:93a1, 2600:9000:2251:9a00:0:d856:9bc0:93a1, 2600:9000:2251:5800:0:d856:9bc0:93a1, 2600:9000:2251:7800:0:d856:9bc0:93a1, 2600:9000:2251:6e00:0:d856:9bc0:93a1, 2600:9000:2251:cc00:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-80.awsdns-10.com, ns-688.awsdns-22.net",NOERROR,True,cloudfront,,,,,
[x],69-171-232-65.production.curve.app,"13.32.99.33, 13.32.99.67, 13.32.99.48, 13.32.99.9","2600:9000:2251:f600:0:d856:9bc0:93a1, 2600:9000:2251:c000:0:d856:9bc0:93a1, 2600:9000:2251:4e00:0:d856:9bc0:93a1, 2600:9000:2251:1a00:0:d856:9bc0:93a1, 2600:9000:2251:2000:0:d856:9bc0:93a1, 2600:9000:2251:f000:0:d856:9bc0:93a1, 2600:9000:2251:1c00:0:d856:9bc0:93a1, 2600:9000:2251:1200:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,,
