new,host,a,aaaa,cname,soa,ns,status_code,cdn,cdn-name,mx,txt,caa,has_internal_ips,internal_ips
[x],simap.production.curve.app,"13.32.99.33, 13.32.99.48, 13.32.99.9, 13.32.99.67","2600:9000:2251:f000:0:d856:9bc0:93a1, 2600:9000:2251:e800:0:d856:9bc0:93a1, 2600:9000:2251:2a00:0:d856:9bc0:93a1, 2600:9000:2251:e400:0:d856:9bc0:93a1, 2600:9000:2251:7400:0:d856:9bc0:93a1, 2600:9000:2251:1a00:0:d856:9bc0:93a1, 2600:9000:2251:9800:0:d856:9bc0:93a1, 2600:9000:2251:8a00:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com",NOERROR,True,cloudfront,,,,,
[x],sjc01.production.curve.app,"13.32.99.48, 13.32.99.33, 13.32.99.9, 13.32.99.67","2600:9000:21c3:2a00:0:d856:9bc0:93a1, 2600:9000:21c3:9400:0:d856:9bc0:93a1, 2600:9000:21c3:e600:0:d856:9bc0:93a1, 2600:9000:21c3:d400:0:d856:9bc0:93a1, 2600:9000:21c3:7c00:0:d856:9bc0:93a1, 2600:9000:21c3:da00:0:d856:9bc0:93a1, 2600:9000:21c3:3c00:0:d856:9bc0:93a1, 2600:9000:21c3:4600:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com",NOERROR,True,cloudfront,,,,,
[x],sl.production.curve.app,"99.84.9.40, 99.84.9.95, 99.84.9.3, 99.84.9.129","2600:9000:215b:7600:0:d856:9bc0:93a1, 2600:9000:215b:d800:0:d856:9bc0:93a1, 2600:9000:215b:b200:0:d856:9bc0:93a1, 2600:9000:215b:4e00:0:d856:9bc0:93a1, 2600:9000:215b:8c00:0:d856:9bc0:93a1, 2600:9000:215b:4c00:0:d856:9bc0:93a1, 2600:9000:215b:de00:0:d856:9bc0:93a1, 2600:9000:215b:9e00:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com",NOERROR,True,cloudfront,,,,,
[x],slb13-5-pda.production.curve.app,"99.84.9.40, 99.84.9.95, 99.84.9.3, 99.84.9.129","2600:9000:2251:5000:0:d856:9bc0:93a1, 2600:9000:2251::d856:9bc0:93a1, 2600:9000:2251:c400:0:d856:9bc0:93a1, 2600:9000:2251:1400:0:d856:9bc0:93a1, 2600:9000:2251:c00:0:d856:9bc0:93a1, 2600:9000:2251:f600:0:d856:9bc0:93a1, 2600:9000:2251:ee00:0:d856:9bc0:93a1, 2600:9000:2251:ea00:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com",NOERROR,True,cloudfront,,,,,
[x],slb65-1-mud.production.curve.app,"13.32.99.48, 13.32.99.67, 13.32.99.9, 13.32.99.33",,d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com, ns-1123.awsdns-12.org",NOERROR,True,cloudfront,,,,,
[x],sml.production.curve.app,"18.173.233.51, 18.173.233.23, 18.173.233.2, 18.173.233.65","2600:9000:2440:ec00:0:d856:9bc0:93a1, 2600:9000:2440:7800:0:d856:9bc0:93a1, 2600:9000:2440:7400:0:d856:9bc0:93a1, 2600:9000:2440:f600:0:d856:9bc0:93a1, 2600:9000:2440:a00:0:d856:9bc0:93a1, 2600:9000:2440:3200:0:d856:9bc0:93a1, 2600:9000:2440:4c00:0:d856:9bc0:93a1, 2600:9000:2440:fe00:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com",NOERROR,True,cloudfront,,,,,
[x],sngtest1.production.curve.app,"13.32.99.9, 13.32.99.67, 13.32.99.33, 13.32.99.48","2600:9000:2251:f000:0:d856:9bc0:93a1, 2600:9000:2251:e800:0:d856:9bc0:93a1, 2600:9000:2251:2a00:0:d856:9bc0:93a1, 2600:9000:2251:e400:0:d856:9bc0:93a1, 2600:9000:2251:7400:0:d856:9bc0:93a1, 2600:9000:2251:1a00:0:d856:9bc0:93a1, 2600:9000:2251:9800:0:d856:9bc0:93a1, 2600:9000:2251:8a00:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com",NOERROR,True,cloudfront,,,,,
[x],snm.production.curve.app,"13.32.99.67, 13.32.99.9, 13.32.99.33, 13.32.99.48","2600:9000:2251:2400:0:d856:9bc0:93a1, 2600:9000:2251:6000:0:d856:9bc0:93a1, 2600:9000:2251:9200:0:d856:9bc0:93a1, 2600:9000:2251:9c00:0:d856:9bc0:93a1, 2600:9000:2251:b400:0:d856:9bc0:93a1, 2600:9000:2251:bc00:0:d856:9bc0:93a1, 2600:9000:2251:1200:0:d856:9bc0:93a1, 2600:9000:2251:1a00:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-80.awsdns-10.com, ns-688.awsdns-22.net, ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk",NOERROR,True,cloudfront,,,,,
[x],socks-west.production.curve.app,"13.32.99.33, 13.32.99.48, 13.32.99.67, 13.32.99.9","2600:9000:2251:8600:0:d856:9bc0:93a1, 2600:9000:2251:ba00:0:d856:9bc0:93a1, 2600:9000:2251:da00:0:d856:9bc0:93a1, 2600:9000:2251:e400:0:d856:9bc0:93a1, 2600:9000:2251:f600:0:d856:9bc0:93a1, 2600:9000:2251:a00:0:d856:9bc0:93a1, 2600:9000:2251:4e00:0:d856:9bc0:93a1, 2600:9000:2251:5a00:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-80.awsdns-10.com, ns-688.awsdns-22.net, ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk",NOERROR,True,cloudfront,,,,,
[x],sonmucid.production.curve.app,"18.66.2.75, 18.66.2.87, 18.66.2.14, 18.66.2.116","2600:9000:2251:6200:0:d856:9bc0:93a1, 2600:9000:2251:4c00:0:d856:9bc0:93a1, 2600:9000:2251:5200:0:d856:9bc0:93a1, 2600:9000:2251:1a00:0:d856:9bc0:93a1, 2600:9000:2251:2000:0:d856:9bc0:93a1, 2600:9000:2251:da00:0:d856:9bc0:93a1, 2600:9000:2251:be00:0:d856:9bc0:93a1, 2600:9000:2251:4e00:0:d856:9bc0:93a1",d3tvd9pcwkvaen.cloudfront.net,"ns-1846.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1123.awsdns-12.org, ns-1846.awsdns-38.co.uk, ns-688.awsdns-22.net, ns-80.awsdns-10.com",NOERROR,True,cloudfront,,,,,
