input,title,status_code,content_length,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,cdn_name,tech_,cdn,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,csp_domains_,final_url,tls_expired
*.newrelic.com,"New Relic | Monitor, Debug and Improve Your Entire Stack",200,424235,443,https://newrelic.com:443,https,,text/html,GET,151.101.194.217,/,-422578660,151.101.2.217,5328,False,fastly,Varnish,True,newrelic.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-12-12T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.newrelic.com, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.newrelic.com,"New Relic, Inc.",newrelic.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ed71d227155f659971e84e5b26104251,b476109ef0cb51262194aa09a02d5f6ce0c1d22b1bc3544dc542c76f855e03d4,True,ctls,newrelic.com,*.newrelic.com,,
17-121-121-34.xi.nutanix.com,Nutanix Web Console,404,1818,443,https://17-121-121-34.xi.nutanix.com:443,https,nginx,text/html,GET,95.101.111.147,/,2141962946,2a02:26f0:480:23::1726:62b1,61,False,,Nginx,,17-121-121-34.xi.nutanix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=nutanix.com, O=Nutanix\, Inc., L=San Jose, ST=California, C=US",nutanix.com,"Nutanix, Inc.",www.test-xi.nutanix.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,83be20ae1b148c63423b7d46509cb9ea,5c684730235ee192b83c4406fe8a4001df9e578e36db01beb7b22b6ea2bec8f4,True,ctls,17-121-121-34.xi.nutanix.com,,,
49.stage-xi.nutanix.com,Error,503,175,443,https://49.stage-xi.nutanix.com:443,https,AkamaiGHost,text/html,GET,2.17.100.224,/,-1440659893,2a02:26f0:ab00::214:8e70,5,False,,HSTS,,49.stage-xi.nutanix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=nutanix.com, O=Nutanix\, Inc., L=San Jose, ST=California, C=US",nutanix.com,"Nutanix, Inc.",www.test-xi.nutanix.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,83be20ae1b148c63423b7d46509cb9ea,5c684730235ee192b83c4406fe8a4001df9e578e36db01beb7b22b6ea2bec8f4,True,ctls,49.stage-xi.nutanix.com,,,
69-171-244-35.xi.nutanix.com,Nutanix Web Console,404,1818,443,https://69-171-244-35.xi.nutanix.com:443,https,nginx,text/html,GET,2.17.100.224,/,2141962946,2a02:26f0:ab00::214:8e48,61,False,,Nginx,,69-171-244-35.xi.nutanix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=nutanix.com, O=Nutanix\, Inc., L=San Jose, ST=California, C=US",nutanix.com,"Nutanix, Inc.",www.test-xi.nutanix.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,83be20ae1b148c63423b7d46509cb9ea,5c684730235ee192b83c4406fe8a4001df9e578e36db01beb7b22b6ea2bec8f4,True,ctls,69-171-244-35.xi.nutanix.com,,,
69-171-244-42.xi.nutanix.com,Nutanix Web Console,404,1818,443,https://69-171-244-42.xi.nutanix.com:443,https,nginx,text/html,GET,2.17.100.152,/,2141962946,2a02:26f0:ab00::214:8e48,61,False,,Nginx,,69-171-244-42.xi.nutanix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=nutanix.com, O=Nutanix\, Inc., L=San Jose, ST=California, C=US",nutanix.com,"Nutanix, Inc.",www.test-xi.nutanix.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,83be20ae1b148c63423b7d46509cb9ea,5c684730235ee192b83c4406fe8a4001df9e578e36db01beb7b22b6ea2bec8f4,True,ctls,69-171-244-42.xi.nutanix.com,,,
a38.xi.nutanix.com,Nutanix Web Console,404,1818,443,https://a38.xi.nutanix.com:443,https,nginx,text/html,GET,95.101.111.146,/,2141962946,2a02:26f0:e600::170f:b2d3,61,False,,Nginx,,a38.xi.nutanix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=nutanix.com, O=Nutanix\, Inc., L=San Jose, ST=California, C=US",nutanix.com,"Nutanix, Inc.",www.test-xi.nutanix.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,83be20ae1b148c63423b7d46509cb9ea,5c684730235ee192b83c4406fe8a4001df9e578e36db01beb7b22b6ea2bec8f4,True,ctls,a38.xi.nutanix.com,,,
aemstage.nutanix.com,Nutanix Enterprise Cloud - Run Any Application at Any Scale,200,127354,443,https://aemstage.nutanix.com:443,https,Apache,text/html,GET,2.17.100.152,/,1476043509,2a02:26f0:ab00::214:8e48,3104,False,,ZURB Foundation,,aemstage.nutanix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=nutanix.com, O=Nutanix\, Inc., L=San Jose, ST=California, C=US",nutanix.com,"Nutanix, Inc.",www.test-xi.nutanix.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,83be20ae1b148c63423b7d46509cb9ea,5c684730235ee192b83c4406fe8a4001df9e578e36db01beb7b22b6ea2bec8f4,True,ctls,aemstage.nutanix.com,,,
alliances.nutanix.com,Sign in - Google Accounts,200,172858,443,https://alliances.nutanix.com:443,https,ESF,text/html,GET,192.146.155.35,/,799172615,192.146.155.35,166,False,,HTTP/3,,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T12:01:17Z,2023-07-17T12:01:16Z,CN=accounts.google.com,accounts.google.com,,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ffbd570980888cb257acebdb708a2d75,3596256e83356f09d6079b9630443622df53790c7165aeabb3be3476ce9e74db,True,ctls,accounts.google.com,http:,https://accounts.google.com/v3/signin/identifier?dsh=S-1106754792%3A1683912147057573&continue=https%3A%2F%2Fsites.google.com%2Fnutanix.com%2Falliances%2Fhome&followup=https%3A%2F%2Fsites.google.com%2Fnutanix.com%2Falliances%2Fhome&ifkv=Af_xneGXbTbm9lTTzkRBHxAO7UodgiWxjWbxDCCSxKNI0vQKNeknt8K0fEFqjJLwcq5PGIZ160W1&osid=1&passive=1209600&flowName=WebLiteSignIn&flowEntry=ServiceLogin,
analytics-api-blue.nutanix.com,New Sails App,200,10893,443,https://analytics-api-blue.nutanix.com:443,https,,text/html,GET,104.102.35.93,/,-1840324437,104.102.35.93,169,False,,HSTS,,analytics-api-blue.nutanix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-01-07T00:00:00Z,2024-01-09T23:59:59Z,"CN=*.nutanix.com, O=Nutanix\, Inc., L=San Jose, ST=California, C=US",*.nutanix.com,"Nutanix, Inc.",nutanix.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,d7abee5d68cfce0cc191b0b4dbaf2264,d50b300e229a5f9ede2f0f4711112c36b21c093b459a2f5d3dfa2569b0308c83,True,ctls,analytics-api-blue.nutanix.com,,,
analytics-api-green.nutanix.com,New Sails App,200,10893,443,https://analytics-api-green.nutanix.com:443,https,,text/html,GET,104.102.35.93,/,-1840324437,104.102.35.93,169,False,,HSTS,,analytics-api-green.nutanix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-01-07T00:00:00Z,2024-01-09T23:59:59Z,"CN=*.nutanix.com, O=Nutanix\, Inc., L=San Jose, ST=California, C=US",*.nutanix.com,"Nutanix, Inc.",nutanix.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,d7abee5d68cfce0cc191b0b4dbaf2264,d50b300e229a5f9ede2f0f4711112c36b21c093b459a2f5d3dfa2569b0308c83,True,ctls,analytics-api-green.nutanix.com,,,
