new,host,a,aaaa,soa,status_code,cname,mx,ns,txt
,autodiscover.touchincentive.com,"40.99.155.232, 40.99.149.104, 40.99.157.8, 52.97.189.72, 40.99.157.40, 40.99.149.152, 40.99.149.168, 40.99.149.136","2603:1026:c0d:c2d::8, 2603:1026:c0d:82b::8, 2603:1026:c0d:c1e::8, 2603:1026:c0d:c31::8","ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com, ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,
,dev.touchincentive.com,176.62.173.26,2a00:1c98:1000:1054:0:2:ef80:164b,"ns0.transip.net, hostmaster.transip.nl",NOERROR,,,,
,develop.touchincentive.com,176.62.173.26,,"ns0.transip.net, hostmaster.transip.nl",NOERROR,,,,
,staging.touchincentive.com,176.62.173.26,,"ns0.transip.net, hostmaster.transip.nl",NOERROR,,,,
,touchincentive.com,176.62.173.26,2a00:1c98:1000:1054:0:2:ef80:8252,"ns0.transip.net, hostmaster.transip.nl",NOERROR,,touchincentive-com.mail.protection.outlook.com,"ns2.transip.eu, ns0.transip.net, ns1.transip.nl","MS=ms66297414, v=spf1 ip4:176.62.173.26/32 ip4:195.95.198.0/23 ip4:185.37.22.3 ip4:194.123.75.2 include:amazonses.com include:spf.mtaroutes.com include:spf.transsmart.com include:spf.mandrillapp.com include:authsmtp.com include:spf.protection.outlook.com include:spf.sen, dinblue.com -all, Sendinblue-code:457e932edb4fcb02e82a7e4540a763e8"
,www.touchincentive.com,176.62.173.26,2a00:1c98:1000:1054:0:2:ef80:8252,"ns0.transip.net, hostmaster.transip.nl",NOERROR,,,,
