input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,tech_,lines,failed,cdn_name,webserver,cdn,final_url,chain_status_codes_,csp_domains_,tls_mismatched,tls_wildcard_certificate,tls_self_signed
travelsecure.chase.com,Session Expired,400,27568,travelsecure.chase.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-07T15:56:24Z,2023-09-07T15:56:24Z,"CN=travelsecure.chase.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",travelsecure.chase.com,JPMorgan Chase and Co.,travelsecure.chase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",0d10cd94be37208e5ccd7251022b4241,8098b148dce18cf4f7773b89d544d1606e96e0d5bda5133444a221b919489d5b,ctls,travelsecure.chase.com,443,https://travelsecure.chase.com:443,https,text/html,GET,2.16.241.71,/,1573150002,HSTS,318,False,,,,,,,,,
uatp3-secure.chase.com,,200,,status.mychasebonus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-25T03:15:00Z,2024-01-25T03:14:56Z,"CN=status.mychasebonus.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",status.mychasebonus.com,JPMorgan Chase and Co.,status.mychasebonus.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",dbeb621ca41157f5f9ef4416c97f6350,153527ce975cc17b2918d4d7ba8aee5d09f4e272ca0a42d184f251bf00d8d2fb,ctls,status.mychasebonus.com,80,http://uatp3-secure.chase.com:80,http,text/html,GET,159.53.98.198,/,-1748244831,Microsoft ASP.NET,1,False,,,,https://status.mychasebonus.com/,200,,,,
uatp4-secure.chase.com,Request Denied,403,14195,reviews.mychasecreditcards.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-25T02:55:47Z,2024-01-25T02:55:45Z,"CN=reviews.mychasecreditcards.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",reviews.mychasecreditcards.com,JPMorgan Chase and Co.,reviews.mychasecreditcards.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",e6e86ad2003e6baead25b2cd629aa0a9,469bcd7139f947e9cd295b1f02dcc6db50fa274969db7a5c66f677a85c8940df,ctls,reviews.mychasecreditcards.com,80,http://uatp4-secure.chase.com:80,http,text/html,GET,159.53.98.208,/,-20275242,,145,False,,,,https://reviews.mychasecreditcards.com/,403,,,,
ultimaterewardsearn.chase.com,Chase Online,200,132215,secure08ea.chase.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-20T18:46:06Z,2024-04-19T18:46:06Z,"CN=secure08ea.chase.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",secure08ea.chase.com,JPMorgan Chase and Co.,secure08ea.chase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",03578b6690d783906ac577c67759759b,764eafb72679d2a3773680f730fd711ac9938d7b465020847193c7eb58ae1517,ctls,secure08ea.chase.com,80,http://ultimaterewardsearn.chase.com:80,http,text/html,GET,159.53.77.86,/,-2030939024,Zipkin,138,False,,,,https://secure08ea.chase.com/web/auth/?logoff&TYPE=33554433&REALMOID=06-000e6ca5-b42c-1bd0-b819-cce1a9625a5a&GUID=&SMAUTHREASON=0&METHOD=GET&SMAGENTNAME=-SM-Up5j%2fjhTNHTIFdqd%2f3%2f0duiC1FLmFh4Y5TkjXD0FNHOLmrNWKS3sVSrndheMoYfTPbgIvfvUC5fQkVzOygvnyA6JkwKLbrhC&TARGET=-SM-HTTPS%3a%2f%2fultimaterewardspoints%2echase%2ecom%2finitialize--session%3furl%3dhttps%3a%2f%2fultimaterewardsearn%2echase%2ecom,200,,,,
ultimaterewardspoints.chase.com,Chase Online,200,132219,secure08ea.chase.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-20T18:46:06Z,2024-04-19T18:46:06Z,"CN=secure08ea.chase.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",secure08ea.chase.com,JPMorgan Chase and Co.,secure08ea.chase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",03578b6690d783906ac577c67759759b,764eafb72679d2a3773680f730fd711ac9938d7b465020847193c7eb58ae1517,ctls,secure08ea.chase.com,443,https://ultimaterewardspoints.chase.com:443,https,text/html,GET,159.53.119.21,/,427160001,Zipkin,138,False,,,,https://secure08ea.chase.com/web/auth/?logoff&TYPE=33554433&REALMOID=06-000e6ca5-b42c-1bd0-b819-cce1a9625a5a&GUID=&SMAUTHREASON=0&METHOD=GET&SMAGENTNAME=-SM-1AKVZIKIjo7u7Qr38Z4op54jDwLG7LMPf6tPhaMg%2bWjDIozA1JAm6rLyMxjb8GLMgtV%2bHagRt%2bXhlSL09tgC0B5Nt3sVMRQr&TARGET=-SM-https%3a%2f%2fultimaterewardspoints%2echase%2ecom%2f,200,,,,
ultimaterewardspointsdcm.chase.com,Chase Online,200,132215,secure08ea.chase.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-20T18:46:06Z,2024-04-19T18:46:06Z,"CN=secure08ea.chase.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",secure08ea.chase.com,JPMorgan Chase and Co.,secure08ea.chase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",03578b6690d783906ac577c67759759b,764eafb72679d2a3773680f730fd711ac9938d7b465020847193c7eb58ae1517,ctls,secure08ea.chase.com,443,https://ultimaterewardspointsdcm.chase.com:443,https,text/html,GET,159.53.77.18,/,427160001,Zipkin,138,False,,,,https://secure08ea.chase.com/web/auth/?logoff&TYPE=33554433&REALMOID=06-000e6ca5-b42c-1bd0-b819-cce1a9625a5a&GUID=&SMAUTHREASON=0&METHOD=GET&SMAGENTNAME=-SM-1700CKMDLeQ9DUePK34Fmwv9i2wNdMqbw6an8FhelpBy9iCjtAFHfHtu1HYW4cSXBks%2bTNvyrMfvFRj%2fxAevTfBryVb7f7sy&TARGET=-SM-https%3a%2f%2fultimaterewardspointsdcm%2echase%2ecom%2f,200,,,,
ultimaterewardsrc.chase.com,Oops!,404,63813,www.chase.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-19T04:02:23Z,2024-01-19T04:02:21Z,"CN=www.chase.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",www.chase.com,JPMorgan Chase and Co.,chase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",48f6f490c168765253f897d9889ec94f,bdc66c07f7691cd3df651c26ca928f71c9eef380d48883f282eae20448dc6b42,ctls,www.chase.com,443,https://ultimaterewardsrc.chase.com:443,https,text/html,GET,159.53.96.78,/,938277190,HSTS,937,False,,,,https://www.chase.com/online/services/service-information-for-reservation.htm,404,,,,
ultimaterewardstravel.chase.com,Login,200,8630,ultimaterewardstravel.chase.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-04T13:29:46Z,2023-10-04T13:29:46Z,"CN=ultimaterewardstravel.chase.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",ultimaterewardstravel.chase.com,JPMorgan Chase and Co.,ultimaterewardsct.chase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",1984b07681d36f27728f2ec8eda29242,946eb91faea1d260da535f6bc84cd123b4418d4136003d3b466b9b67bc3cab77,ctls,ultimaterewardstravel.chase.com,443,https://ultimaterewardstravel.chase.com:443,https,text/html,GET,23.3.88.227,/,1631801191,Microsoft ASP.NET,11,False,,,,https://ultimaterewardstravel.chase.com/login?returnUrl=/,200,,,,
ultimaterewardstravelbf.chase.com,Access Denied,403,282,ultimaterewardstravelbf.chase.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-04T13:29:16Z,2023-10-04T13:29:16Z,"CN=ultimaterewardstraveldv.chase.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",ultimaterewardstraveldv.chase.com,JPMorgan Chase and Co.,ultimaterewardstraveluat.chase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",f10e3a38af802f6451c5de2183123fe1,0dbec56be1c1d1f5734ff0d007ea8ff2e220325da14e8441a07d2c19cda42f17,ctls,ultimaterewardstravelbf.chase.com,443,https://ultimaterewardstravelbf.chase.com:443,https,text/html,GET,2.16.241.76,/,1928675439,HSTS,10,False,,,,,,,,,
ultimaterewardstravelt1.chase.com,Login,200,7519,ultimaterewardstravelt1.chase.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-04T13:29:16Z,2023-10-04T13:29:16Z,"CN=ultimaterewardstraveldv.chase.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",ultimaterewardstraveldv.chase.com,JPMorgan Chase and Co.,ultimaterewardstraveluat.chase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",f10e3a38af802f6451c5de2183123fe1,0dbec56be1c1d1f5734ff0d007ea8ff2e220325da14e8441a07d2c19cda42f17,ctls,ultimaterewardstravelt1.chase.com,443,https://ultimaterewardstravelt1.chase.com:443,https,text/html,GET,104.126.37.160,/,1631801191,Microsoft ASP.NET,11,False,,,,https://ultimaterewardstravelt1.chase.com/login?returnUrl=/,200,,,,
ultimaterewardstravelt3.chase.com,Login,200,7519,ultimaterewardstravelt3.chase.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-04T13:29:16Z,2023-10-04T13:29:16Z,"CN=ultimaterewardstraveldv.chase.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",ultimaterewardstraveldv.chase.com,JPMorgan Chase and Co.,ultimaterewardstraveluat.chase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",f10e3a38af802f6451c5de2183123fe1,0dbec56be1c1d1f5734ff0d007ea8ff2e220325da14e8441a07d2c19cda42f17,ctls,ultimaterewardstravelt3.chase.com,443,https://ultimaterewardstravelt3.chase.com:443,https,text/html,GET,95.101.111.13,/,1631801191,Microsoft ASP.NET,11,False,,,,https://ultimaterewardstravelt3.chase.com/login?returnUrl=/,200,,,,
ultimaterewardstravelt5.chase.com,Login,200,7520,ultimaterewardstravelt5.chase.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-04T13:29:16Z,2023-10-04T13:29:16Z,"CN=ultimaterewardstraveldv.chase.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",ultimaterewardstraveldv.chase.com,JPMorgan Chase and Co.,ultimaterewardstraveluat.chase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",f10e3a38af802f6451c5de2183123fe1,0dbec56be1c1d1f5734ff0d007ea8ff2e220325da14e8441a07d2c19cda42f17,ctls,ultimaterewardstravelt5.chase.com,443,https://ultimaterewardstravelt5.chase.com:443,https,text/html,GET,95.101.111.154,/,1631801191,Microsoft ASP.NET,11,False,,,,https://ultimaterewardstravelt5.chase.com/login?returnUrl=/,200,,,,
