new,host,soa,txt,status_code,a,cname,ns,cdn,cdn-name,mx,caa,aaaa,has_internal_ips,internal_ips
[x],101878-a-1-uat.jpmorganchase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.84.51,101878-a-1-uat.amer-c2.gslbjpmchase.com,,,,,,,,
[x],101878-a-1.jpmorganchase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,,101878-a-1.amer-c2.gslbjpmchase.com,,,,,,,,
[x],101878-a-2-atlas-uat.jpmorganchase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.83.244,101878-a-2-atlas-uat.amer-c2.gslbjpmchase.com,,,,,,,,
[x],101878-a-2-atlas.jpmorganchase.com,,,NOERROR,,101878-a-2-atlas.amer-c2.gslbjpmchase.com,,,,,,,,
[x],101878-a-4-atlas-uat.jpmorganchase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.84.238,101878-a-4-atlas-uat.amer-c2.gslbjpmchase.com,,,,,,,,
[x],101878-a-4-atlas.jpmorganchase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,,101878-a-4-atlas.amer-c2.gslbjpmchase.com,,,,,,,,
[x],101878-s-3-atlas-uat.jpmorganchase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.119.77,101878-s-3-atlas-uat.amer-c2.gslbjpmchase.com,,,,,,,,
[x],101878-s-3-atlas.jpmorganchase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,,101878-s-3-atlas.amer-c2.gslbjpmchase.com,,,,,,,,
[x],aatcbo.chase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.119.38,aatcbo.amer-c2.gslbjpmchase.com,,,,,,,,
[x],aatcpc.chase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.98.115,aatcpc.amer-c2.gslbjpmchase.com,,,,,,,,
[x],aatcpo.chase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.83.206,aatcpo.amer-c2.gslbjpmchase.com,,,,,,,,
[x],about-aem-uat.jpmorganchase.com,"dbws1adcx203.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,170.148.240.209,cws-uat-main.intl.gslbjpmchase.com,,,,,,,,
[x],about.jpmorganchase.com,"dbws1adcx203.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,170.148.209.234,cws-main.intl.gslbjpmchase.com,,,,,,,,
[x],accesshr-elearning.3cmc.internet.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,170.148.39.140,,,,,,,,,
[x],account.chase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.76.247,account.amer-c2.gslbjpmchase.com,,,,,,,,
[x],accounts-sandbox.chase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.96.103,accounts-sandbox.amer-c2.gslbjpmchase.com,,,,,,,,
[x],accounts-uat.chase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.43.249,accounts-uat.amer-c2.gslbjpmchase.com,,,,,,,,
[x],accounts.chase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.117.202,accounts.amer-c2.gslbjpmchase.com,,,,,,,,
[x],act.jpmorganchase.com,"ns-1620.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"54.210.229.207, 54.236.141.254, 34.236.107.54, 44.209.226.224",jpmchase.routing.advocacytools.co,,,,,,,,
[x],activityconfirmation.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com","v=spf1 include:bfi0.com include:bigfootinteractive.com -all, spf2.0/pra include:bfi0.com include:bigfootinteractive.com -all",NOERROR,,,,,,arm.bigfootinteractive.com,,,,
[x],activityresponsetest.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",v=spf1 -all,NOERROR,,,,,,,,,,
[x],adrmaximizer.jpmorganchase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,170.148.1.120,,,,,,,,,
[x],advisor.jpmorganchase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.85.37,,,,,,,,,
[x],afx.chase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.117.16,afx.amer-c2.gslbjpmchase.com,,,,,,,,
[x],afxdev.chase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,,afxdev.amer-c2.gslbjpmchase.com,,,,,,,,
[x],afxmr.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.109.172,,,,,,,,,
[x],afxq1.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.109.149,,,,,,,,,
[x],afxq2.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.112.140,,,,,,,,,
[x],afxq3.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.109.145,,,,,,,,,
[x],afxq4.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.109.147,,,,,,,,,
[x],afxq5.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.118.125,,,,,,,,,
[x],afxq6.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.109.146,,,,,,,,,
[x],afxq7.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.118.131,,,,,,,,,
[x],afxq8.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.109.148,,,,,,,,,
[x],afxqa.chase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,,afxqa.amer-c2.gslbjpmchase.com,,,,,,,,
[x],aggregation-iav.chase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.62.147,aggregation-iav.amer-c2.gslbjpmchase.com,,,,,,,,
[x],aggregation.chase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.77.117,aggregation.amer-c2.gslbjpmchase.com,,,,,,,,
[x],alertsp.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",v=spf1 a:spf.jpmchase.com ip4:207.162.228.0/24 ip4:207.162.229.0/24 ip4:207.162.225.0/24 ip4:196.37.232.50 ip4:159.53.46.0/24 ip4:159.53.36.0/24 ip4:159.53.110.0/24 ip4:159.53.78.0/24 -all,NOERROR,,,"ns05.jpmorganchase.com, ns1.jpmorganchase.com, ns06.jpmorganchase.com, ns2.jpmorganchase.com",,,"cluster14.us.messagelabs.com, cluster14a.us.messagelabs.com","entrust.net, digicert.com",,,
[x],als-static.chase.com,"marty.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,"104.18.33.82, 172.64.154.174",,"marty.ns.cloudflare.com, nina.ns.cloudflare.com",True,cloudflare,,,,,
[x],alsuat-static.chase.com,"ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,"172.64.148.141, 104.18.39.115",alsuat-static.chase.com.cdn.cloudflare.net,,True,cloudflare,,,,,
[x],alt.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",v=spf1 -all,NOERROR,,,,,,,,,,
[x],altuat.cmmc.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,170.148.160.183,,,,,,,,,
[x],analytics.chase.com,"n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,"95.101.111.182, 95.101.111.147","gtm.analytics.chase.com.akadns.net, analytics.chase.com.edgekey.net, e93779.a.akamaiedge.net",,,,,,,,
[x],analyticsext-qa.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.33.250,analyticsext-qa.amer.gslbjpmchase.com,,,,,,,,
[x],analyticsext.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.117.253,analyticsext.amer.gslbjpmchase.com,,,,,,,,
[x],answerkey-uat.jpmorganchase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,,answerkey-uat.amer-c2.gslbjpmchase.com,,,,,,,,
[x],ap01.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.116.11,,,,,,,,,
[x],api-cert.chase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.52.183,api2-cert.amer-c2.gslbjpmchase.com,,,,,,,,
[x],api-markit.chase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.86.254,api-markit.amer-c2.gslbjpmchase.com,,,,,,,,
[x],api-mtls-qa01.chase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.84.94,api-mtls-qa01.amer-c2.gslbjpmchase.com,,,,,,,,
[x],api-mtls.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",v=spf1 -all,NOERROR,,,,,,,,,,
[x],api-perf1.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.42.115,api2-perf01.amer.gslbjpmchase.com,,,,,,,,
[x],api-perf2.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.42.115,api2-perf01.amer.gslbjpmchase.com,,,,,,,,
