input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_expired,tls_mismatched,tls_subject_org_,final_url
analytics.trint.com,,404,9,analytics.trint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-25T00:00:00Z,2024-02-24T23:59:59Z,CN=trint.com,trint.com,*.trint.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,b6377e5c35b3dfbf6c740a458b558aec,bdbe281ebad41243f5043e789ecd97f0b2fe337e6262bd0045c1cf97b470a493,True,ctls,analytics.trint.com,,443,https://analytics.trint.com:443,https,,text/plain,GET,3.214.179.123,/,-738705486,52.0.71.141,,1,False,,,,,,
api.eu.trint.com,,403,23,api.eu.trint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-19T00:00:00Z,2024-05-17T23:59:59Z,CN=eu.trint.com,eu.trint.com,*.internal.eu.trint.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a8dd0f5c2b6cf8ff50642aa6aceb0d7c,576a38f3e13bab2928dcd0df856c759d465306c4d7037b45058c51552729838b,True,ctls,api.eu.trint.com,cloudfront,443,https://api.eu.trint.com:443,https,,application/json,GET,13.225.78.81,/,968070783,13.225.78.80,Amazon Web Services,1,False,True,,,,,
api.fs.trint.com,,404,10,api.fs.trint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-04-22T20:14:10Z,2023-05-24T20:14:09Z,CN=*.fs.trint.com,*.fs.trint.com,*.fs.trint.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q2,GlobalSign nv-sa,a8bd03a63de56389e60be66f99b3dc5e,9d970ffbdbd2320fc4f33b261065d06e18dc16b38c683e6fc6ea42f3442211ac,True,ctls,api.fs.trint.com,fastly,443,https://api.fs.trint.com:443,https,,text/plain,GET,199.232.193.132,/,-573464491,199.232.197.132,Varnish,2,False,True,,,,,
api.trint.com,,403,23,api.trint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-25T00:00:00Z,2024-02-24T23:59:59Z,CN=trint.com,trint.com,*.trint.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,b6377e5c35b3dfbf6c740a458b558aec,bdbe281ebad41243f5043e789ecd97f0b2fe337e6262bd0045c1cf97b470a493,True,ctls,api.trint.com,cloudfront,443,https://api.trint.com:443,https,,application/json,GET,52.222.214.78,/,968070783,52.222.214.69,Amazon Web Services,1,False,True,,,,,
app.eu.trint.com,,200,49121,app.eu.trint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-19T00:00:00Z,2024-05-17T23:59:59Z,CN=eu.trint.com,eu.trint.com,*.internal.eu.trint.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a8dd0f5c2b6cf8ff50642aa6aceb0d7c,576a38f3e13bab2928dcd0df856c759d465306c4d7037b45058c51552729838b,True,ctls,app.eu.trint.com,cloudfront,443,https://app.eu.trint.com:443,https,AmazonS3,text/html,GET,18.66.15.122,/,1743762559,18.66.15.49,HSTS,1,False,True,,,,,
app.trint.com,,200,49121,app.trint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-25T00:00:00Z,2024-02-24T23:59:59Z,CN=trint.com,trint.com,*.trint.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,b6377e5c35b3dfbf6c740a458b558aec,bdbe281ebad41243f5043e789ecd97f0b2fe337e6262bd0045c1cf97b470a493,True,ctls,app.trint.com,cloudfront,443,https://app.trint.com:443,https,AmazonS3,text/html,GET,143.204.215.74,/,1743762559,2600:9000:223c:a600:5:f555:cc80:93a1,HSTS,1,False,True,,,,,
assets.fs.trint.com,,403,243,assets.fs.trint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-04-22T20:14:10Z,2023-05-24T20:14:09Z,CN=*.fs.trint.com,*.fs.trint.com,*.fs.trint.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q2,GlobalSign nv-sa,a8bd03a63de56389e60be66f99b3dc5e,9d970ffbdbd2320fc4f33b261065d06e18dc16b38c683e6fc6ea42f3442211ac,True,ctls,assets.fs.trint.com,fastly,443,https://assets.fs.trint.com:443,https,,application/xml,GET,199.232.193.132,/,-231595187,199.232.197.132,Varnish,2,False,True,,,,,
auth.trint.com,Transcribe video and audio to text | Content editor | Trint,200,85634,trint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-25T00:00:00Z,2024-02-24T23:59:59Z,CN=trint.com,trint.com,*.trint.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,b6377e5c35b3dfbf6c740a458b558aec,bdbe281ebad41243f5043e789ecd97f0b2fe337e6262bd0045c1cf97b470a493,True,ctls,trint.com,cloudfront,443,https://auth.trint.com:443,https,,text/html,GET,18.66.97.99,/,-738705486,18.66.97.22,jQuery,1020,False,True,https://webflow.com,,,,https://trint.com/
beta.eu.trint.com,,200,49121,app.eu.trint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-19T00:00:00Z,2024-05-17T23:59:59Z,CN=eu.trint.com,eu.trint.com,*.internal.eu.trint.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a8dd0f5c2b6cf8ff50642aa6aceb0d7c,576a38f3e13bab2928dcd0df856c759d465306c4d7037b45058c51552729838b,True,ctls,app.eu.trint.com,cloudfront,443,https://beta.eu.trint.com:443,https,AmazonS3,text/html,GET,13.32.99.56,/,1743762559,13.32.99.25,HSTS,1,False,True,,,,,https://app.eu.trint.com/
beta.trint.com,,200,49121,app.trint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-25T00:00:00Z,2024-02-24T23:59:59Z,CN=trint.com,trint.com,*.trint.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,b6377e5c35b3dfbf6c740a458b558aec,bdbe281ebad41243f5043e789ecd97f0b2fe337e6262bd0045c1cf97b470a493,True,ctls,app.trint.com,cloudfront,443,https://beta.trint.com:443,https,AmazonS3,text/html,GET,143.204.89.86,/,1743762559,2600:9000:2156:4e00:17:3906:ca00:93a1,HSTS,1,False,True,,,,,https://app.trint.com/
