new,host,a,aaaa,mx,soa,ns,txt,status_code,cdn,cdn-name,cname
[x],api.sorare.com,"104.18.20.98, 104.18.21.98","2606:4700::6812:1462, 2606:4700::6812:1562",,"dolly.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
[x],baseball.api.sorare.com,"18.116.83.86, 3.136.246.170, 3.136.44.45",,,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,NOERROR,,,k8s-sorare-baseball-a85a0d48a0-341984609.us-east-2.elb.amazonaws.com
[x],bot.sorare.com,"104.18.21.98, 104.18.20.98","2606:4700::6812:1462, 2606:4700::6812:1562",,"dolly.ns.cloudflare.com, dns.cloudflare.com",,"heritage=external-dns,external-dns/owner=eu-west-3-prod,external-dns/resource=ingress/sorare/rusty",NOERROR,True,cloudflare,
[x],bounce.sorare.com,,,feedback-smtp.us-west-2.amazonses.com,"ns-994.awsdns-60.net, awsdns-hostmaster.amazon.com","ns-163.awsdns-20.com, ns-2008.awsdns-59.co.uk, ns-994.awsdns-60.net, ns-1404.awsdns-47.org",v=spf1 include:amazonses.com ~all,NOERROR,,,custom-email-domain.stripe.com
[x],enterpriseregistration.sorare.com,20.190.137.40,,,"tm1.dns-tm.com, hostmaster.trafficmanager.net, internal.akadns.net, hostmaster.akamai.com",,,NOERROR,True,azure,"enterpriseregistration.windows.net, adrs.privatelink.msidentity.com, www.tm.prd.adrs.trafficmanager.net, www.tm.prd.adrs.akadns.net"
[x],help.sorare.com,,,,,,,NOERROR,True,cloudflare,sorare.zendesk.com
[x],k8s.sorare.com,"188.114.99.229, 188.114.98.229","2a06:98c1:3123:e000::5, 2a06:98c1:3122:e000::5",,"dolly.ns.cloudflare.com, dns.cloudflare.com",,"heritage=external-dns,external-dns/owner=eu-west-3-prod,external-dns/resource=ingress/kubernetes-dashboard/kubernetes-dashboard",NOERROR,True,cloudflare,
[x],k8s.us-east-2.sorare.com,"104.18.20.98, 104.18.21.98","2606:4700::6812:1462, 2606:4700::6812:1562",,"dolly.ns.cloudflare.com, dns.cloudflare.com",,"heritage=external-dns,external-dns/owner=us-east-2-prod,external-dns/resource=ingress/kubernetes-dashboard/kubernetes-dashboard",NOERROR,True,cloudflare,
[x],live.sorare.com,"104.18.21.98, 104.18.20.98","2606:4700::6812:1462, 2606:4700::6812:1562",,"dolly.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
[x],mlbguide.sorare.com,"104.18.21.98, 104.18.20.98","2606:4700::6812:1562, 2606:4700::6812:1462",,"dolly.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
[x],nbaguide.sorare.com,"104.18.20.98, 104.18.21.98","2606:4700::6812:1562, 2606:4700::6812:1462",,"dolly.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
[x],news.sorare.com,"52.208.148.134, 54.72.100.8, 34.252.175.97",,smtp.eu.sparkpostmail.com,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com","ns-1107.awsdns-10.org, ns-1800.awsdns-33.co.uk, ns-384.awsdns-48.com, ns-894.awsdns-47.net","202203052053464ssc9e0bx6sxfn166dy9hz8920yzqh29g2osq7ipzecjw7a4pj, google-site-verification=Qx_Hf7j4nPAg9U0GwAwXHrYd0VQ7zysFmqBUzgAa4CQ, v=spf1 exists:%{i}._spf.sparkpostmail.com ~all",NOERROR,,,eu.sparkpostmail.com
[x],play.sorare.com,"54.72.100.8, 34.252.175.97, 52.208.148.134",,smtp.eu.sparkpostmail.com,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com","ns-1107.awsdns-10.org, ns-1800.awsdns-33.co.uk, ns-384.awsdns-48.com, ns-894.awsdns-47.net","202203052053464ssc9e0bx6sxfn166dy9hz8920yzqh29g2osq7ipzecjw7a4pj, google-site-verification=Qx_Hf7j4nPAg9U0GwAwXHrYd0VQ7zysFmqBUzgAa4CQ, v=spf1 exists:%{i}._spf.sparkpostmail.com ~all",NOERROR,,,eu.sparkpostmail.com
