new,host,a,soa,status_code,cname,mx,ns,txt,cdn,cdn-name,aaaa,caa
[x],ag.lahitapiola.fi,213.28.69.45,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],ajanvaraus.lahitapiola.fi,20.76.227.250,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],analytics.tapiola.fi,193.209.71.48,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],ankka.tapiola.fi,193.209.71.76,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],api.lemmikkihelppi.lahitapiola.fi,40.118.96.231,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,"naantali-prod.azurewebsites.net, waws-prod-am2-199.sip.azurewebsites.windows.net, waws-prod-am2-199.westeurope.cloudapp.azure.com",,,,True,azure,,
[x],api.terveyshelppi.lahitapiola.fi,13.69.68.32,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,"ikaalinen-prod.azurewebsites.net, waws-prod-am2-017a.sip.azurewebsites.windows.net, waws-prod-am2-017a.cloudapp.net",,,,True,azure,,
[x],apim-mgmt.lahitapiola.fi,20.101.103.25,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],apis.lahitapiola.fi,20.101.103.25,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],asiointi.lahitapiola.fi,20.76.227.250,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],authcrm16test.lahitapiola.fi,131.207.109.185,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],authenticate.lahitapiola.fi,,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],authmigrate.tapiola.fi,20.76.227.250,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],autodiscover.lahitapiola.fi,131.207.109.200,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],autodiscover.lahitapiolarahoitus.fi,"52.98.240.88, 40.99.148.120, 52.98.229.184, 52.98.239.184, 40.99.148.88, 52.98.229.88, 52.98.239.104, 52.98.239.152","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,"2603:1026:c0e:868::8, 2603:1026:c0e:865::8, 2603:1026:c0e:864::8, 2603:1026:c0e:870::8, 2603:1026:c0e:20::8, 2603:1026:c0e:863::8, 2603:1026:c0e:872::8, 2603:1026:c0e:877::8",
[x],av.lahitapiola.fi,"131.207.52.139, 131.207.52.136","ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],beta.lahitapiola.fi,20.76.229.246,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,gw-ltfi-prod.westeurope.cloudapp.azure.com,,,,,,,
[x],bl.tapiola.fi,217.29.227.115,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],ccaas.service.lahitapiola.fi,213.28.69.26,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],ccaastest.service.lahitapiola.fi,213.28.69.25,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],conf.lahitapiola.fi,"131.207.52.135, 131.207.52.138","ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],crl.tapiola.fi,217.29.229.119,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],dcstunnistus.lahitapiola.fi,213.28.69.16,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],dcstunnistusdev.lahitapiola.fi,213.28.69.18,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],depcrm16.lahitapiola.fi,131.207.109.185,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],depcrm16dev.lahitapiola.fi,131.207.109.185,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],depcrm16test.lahitapiola.fi,131.207.109.185,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
