new,host,a,soa,status_code,cdn,cdn-name,cname,caa,aaaa,ns
,communication-stage.intigriti.com,"108.157.229.107, 108.157.229.68, 108.157.229.9, 108.157.229.47","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,
,communication-uat.intigriti.com,"18.155.129.102, 18.155.129.30, 18.155.129.127, 18.155.129.107","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,"ns-1134.awsdns-13.org, ns-1927.awsdns-48.co.uk, ns-323.awsdns-40.com, ns-515.awsdns-00.net"
,communication.intigriti.com,"108.138.217.6, 108.138.217.26, 108.138.217.29, 108.138.217.65","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,"ns-1134.awsdns-13.org, ns-1927.awsdns-48.co.uk, ns-323.awsdns-40.com, ns-515.awsdns-00.net"
,go.intigriti.com,52.72.49.79,"ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,,,,letsencrypt.org,,
,hello.intigriti.com,"54.146.223.132, 44.207.49.235, 34.200.75.180","ns-2.awsdns-00.com, awsdns-hostmaster.amazon.com",NOERROR,,,"f5a60d71-42fe-48e0-afab-5934d8869e40.outrch.com, app2c.outrch.com",letsencrypt.org,,"ns-1159.awsdns-16.org, ns-2.awsdns-00.com, ns-2024.awsdns-61.co.uk, ns-879.awsdns-45.net"
,jobs-demo.intigriti.com,"108.138.7.24, 108.138.7.48, 108.138.7.28, 108.138.7.34","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,
,jobs-uat.intigriti.com,"13.226.153.61, 13.226.153.93, 13.226.153.111, 13.226.153.87","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,
,jobs.intigriti.com,"13.226.153.111, 13.226.153.61, 13.226.153.93, 13.226.153.87","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,
,kb.intigriti.com,"52.222.236.11, 52.222.236.44, 52.222.236.72, 52.222.236.18","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,
,login-demo.intigriti.com,"13.224.189.19, 13.224.189.31, 13.224.189.96, 13.224.189.55","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,
