new,host,a,soa,status_code,txt,ns,cname,has_internal_ips,internal_ips,cdn,cdn-name,aaaa,caa,mx
[x],01-wdps-okta-alt12-ct-www2.slcsplunkdeploy2a.dev.incubator.superbet.ro,"52.28.85.255, 3.76.51.147, 3.124.62.85","ns-1890.awsdns-44.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"heritage=external-dns,external-dns/owner=incubator-public,external-dns/resource=service/emissary/emissary-ingress-public-emissary-lb-1",,,,,,,,,
[x],01-wdps-okta-alt12-feeds.slcsplunkdeploy2a.dev.incubator.superbet.ro,"3.76.51.147, 3.124.62.85, 52.28.85.255","ns-1890.awsdns-44.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"heritage=external-dns,external-dns/owner=incubator-public,external-dns/resource=service/emissary/emissary-ingress-public-emissary-lb-0",,,,,,,,,
[x],01-wdps-okta-alt12.appmobile.slcsplunkdeploy2a.dev.incubator.superbet.ro,"18.159.232.236, 3.67.161.232, 3.73.18.159","ns-1890.awsdns-44.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"heritage=external-dns,external-dns/owner=incubator-public,external-dns/resource=service/emissary/emissary-ingress-public-emissary-lb-1",,,,,,,,,
[x],01-wdps-okta-alt12.cdn.stage.superbet.ro,92.87.107.18,"ns-287.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],01-wdps-okta-alt12.cm.slcsplunkdeploy2a.dev.incubator.superbet.ro,"3.67.161.232, 3.73.18.159, 18.159.232.236","ns-1890.awsdns-44.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"heritage=external-dns,external-dns/owner=incubator-public,external-dns/resource=service/emissary/emissary-ingress-public-emissary-lb-0",,,,,,,,,
[x],01-wdps-okta-alt12.dev02-slcsplunkdeploy2a.dev.incubator.superbet.ro,"3.124.62.85, 52.28.85.255, 3.76.51.147","ns-1890.awsdns-44.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"heritage=external-dns,external-dns/owner=incubator-public,external-dns/resource=service/emissary/emissary-ingress-public-emissary-lb-0",,,,,,,,,
[x],01-wdps-okta-alt12.football-ui.qa.hubble-slcsplunkdeploy2a.dev.incubator.superbet.ro,"18.159.232.236, 3.73.18.159, 3.67.161.232","ns-1890.awsdns-44.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"heritage=external-dns,external-dns/owner=incubator-public,external-dns/resource=service/emissary/emissary-ingress-public-emissary-lb-1",,,,,,,,,
[x],01-wdps-okta-alt12.grafana.staging.hubbleslcsplunkdeploy2a.dev.incubator.superbet.ro,"3.76.51.147, 3.124.62.85, 52.28.85.255","ns-1890.awsdns-44.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"heritage=external-dns,external-dns/owner=incubator-public,external-dns/resource=service/emissary/emissary-ingress-public-emissary-lb-0",,,,,,,,,
[x],01-wdps-okta-alt12.nessus.sec.in.slcsplunkdeploy2a.dev.incubator.superbet.ro,"3.73.18.159, 18.159.232.236, 3.67.161.232","ns-1890.awsdns-44.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"heritage=external-dns,external-dns/owner=incubator-public,external-dns/resource=service/emissary/emissary-ingress-public-emissary-lb-1","ns-1132.awsdns-13.org, ns-1890.awsdns-44.co.uk, ns-62.awsdns-07.com, ns-741.awsdns-28.net",,,,,,,,
[x],01-wdps-okta-alt12.news.dev.incubator.superbet.ro,"3.76.51.147, 52.28.85.255, 3.124.62.85","ns-1890.awsdns-44.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"heritage=external-dns,external-dns/owner=incubator-public,external-dns/resource=service/emissary/emissary-ingress-public-emissary-lb-1",,,,,,,,,
[x],01-wdps-okta-alt12.onlineticketserver-slcsplunkdeploy2a.dev.incubator.superbet.ro,"3.73.18.159, 18.159.232.236, 3.67.161.232","ns-1890.awsdns-44.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"heritage=external-dns,external-dns/owner=incubator-public,external-dns/resource=service/emissary/emissary-ingress-public-emissary-lb-1",,,,,,,,,
[x],01-wdps-okta-alt12.pseg.slcsplunkdeploy2a.dev.incubator.superbet.ro,"3.124.62.85, 3.76.51.147, 52.28.85.255","ns-1890.awsdns-44.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"heritage=external-dns,external-dns/owner=incubator-public,external-dns/resource=service/emissary/emissary-ingress-public-emissary-lb-0",,,,,,,,,
[x],01-wdps-okta-alt12.slcsplunkdeploy2a-mylease.dev.incubator.superbet.ro,"18.159.232.236, 3.73.18.159, 3.67.161.232","ns-1890.awsdns-44.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],01-wdps-okta-alt12.slcsplunkdeploy2a.bookie.dev.incubator.superbet.ro,"3.67.161.232, 3.73.18.159, 18.159.232.236","ns-1890.awsdns-44.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"heritage=external-dns,external-dns/owner=incubator-public,external-dns/resource=service/emissary/emissary-ingress-public-emissary-lb-1",,,,,,,,,
[x],01-wdps-okta-alt12.slcsplunkdeploy2a.dev.incubator.superbet.ro,"18.159.232.236, 3.67.161.232, 3.73.18.159","ns-1890.awsdns-44.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"heritage=external-dns,external-dns/owner=incubator-public,external-dns/resource=service/emissary/emissary-ingress-public-emissary-lb-1",,,,,,,,,
[x],01-wdps-okta-alt12.slcsplunkdeploy2a.prometheus-green.hubble.dev.incubator.superbet.ro,"52.28.85.255, 3.124.62.85, 3.76.51.147","ns-1890.awsdns-44.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"heritage=external-dns,external-dns/owner=incubator-public,external-dns/resource=service/emissary/emissary-ingress-public-emissary-lb-0",,,,,,,,,
[x],01-wdps-okta-alt12.slcsplunkdeploy2a.sell.dev.incubator.superbet.ro,"3.76.51.147, 52.28.85.255, 3.124.62.85","ns-1890.awsdns-44.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"heritage=external-dns,external-dns/owner=incubator-public,external-dns/resource=service/emissary/emissary-ingress-public-emissary-lb-1",,,,,,,,,
[x],01-wdps-okta-alt12franta.slcsplunkdeploy2a.dev.incubator.superbet.ro,"3.73.18.159, 3.67.161.232, 18.159.232.236","ns-1890.awsdns-44.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"heritage=external-dns,external-dns/owner=incubator-public,external-dns/resource=service/emissary/emissary-ingress-public-emissary-lb-1",,,,,,,,,
[x],033579d9offer-civista-offer4.slcsplunkdeploy2a.dev.incubator.superbet.ro,"3.73.18.159, 18.159.232.236, 3.67.161.232","ns-1890.awsdns-44.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"heritage=external-dns,external-dns/owner=incubator-public,external-dns/resource=service/emissary/emissary-ingress-public-emissary-lb-1",,,,,,,,,
[x],109-46.stage.superbet.ro,92.87.107.18,"ns-287.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1102.awsdns-09.org, ns-1832.awsdns-37.co.uk, ns-287.awsdns-35.com, ns-996.awsdns-60.net",,,,,,,,
[x],155-9-187-12.stage.superbet.ro,92.87.107.18,"ns-287.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],155-9-203-44.stage.superbet.ro,92.87.107.18,"ns-287.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],155-9-204-18.stage.superbet.ro,92.87.107.18,"ns-287.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],155-9-208-48.stage.superbet.ro,92.87.107.18,"ns-287.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],155-9-211-8.stage.superbet.ro,92.87.107.18,"ns-287.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],155-9-52-58-afdpnt5.stage.superbet.ro,92.87.107.18,"ns-287.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],155-9-61-86.stage.superbet.ro,92.87.107.18,"ns-287.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],155-9-76-54.stage.superbet.ro,92.87.107.18,"ns-287.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
