input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,cdn_name,webserver,tech_,cdn,final_url,csp_domains_
account.mackeeper.com,MacKeeper Account,200,14457,account.mackeeper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-19T00:00:00Z,2024-05-17T23:59:59Z,CN=mackeeper.com,mackeeper.com,*.mackeeper.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,961fdd0c83fa84ded68eec1454d20460,c3b5611342689f5f737e6dcf2131e2129e99e186d4815700156f1e600f488c47,True,ctls,account.mackeeper.com,80,http://account.mackeeper.com:80,http,text/html,GET,18.66.97.46,/,1494302000,18.66.97.48,249,False,cloudfront,nginx,Nginx,True,https://account.mackeeper.com/signin,https://events.sz.kromtech.net
account.sz.mackeeper.com,MacKeeper Account,200,14475,account.sz.mackeeper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-22T00:00:00Z,2024-01-28T23:59:59Z,CN=*.sz.mackeeper.com,*.sz.mackeeper.com,*.mackeeper.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,14939bf486ed254511922a42e238743d,6a2f48300420a56e1ca84096cd044311d4a4a518c32af13cb93ae6db4bfbbfbb,True,ctls,account.sz.mackeeper.com,443,https://account.sz.mackeeper.com:443,https,text/html,GET,13.225.78.62,/,566218143,13.225.78.66,249,False,cloudfront,nginx,Nginx,True,https://account.sz.mackeeper.com/signin,https://sentry.cloudmccloud.com
account.tz.clario.co,Clario Account Web,200,998,account.tz.clario.co,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-22T00:00:00Z,2023-11-29T23:59:59Z,CN=account.tz.clario.co,account.tz.clario.co,*.account.tz.clario.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ee26bdd932fd9ff2d310eaa971b53e2b,279a7cbfd2261f0d378a51ac347bcede581a7355a08d04cc94eb9c843288513e,True,ctls,account.tz.clario.co,443,https://account.tz.clario.co:443,https,text/html,GET,108.138.17.49,/,1864391264,108.138.17.24,20,False,cloudfront,AmazonS3,Amazon Web Services,True,,
account.tz.mackeeper.com,Access Forbidden,403,1589,account.tz.mackeeper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-22T00:00:00Z,2024-01-14T23:59:59Z,CN=account.tz.mackeeper.com,account.tz.mackeeper.com,*.account.tz.mackeeper.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e2b0613878f3b431258ca7ad6a903341,51b228a7b56cb735fc3b33d136b9d2bd7f5869eefbe0fb409e7eeec7252f9c97,True,ctls,account.tz.mackeeper.com,443,https://account.tz.mackeeper.com:443,https,text/html,GET,13.32.27.98,/,-534073640,13.32.27.117,25,False,cloudfront,CloudFront,Amazon Web Services,True,,
adblocking.mackeeper.com,,403,243,adblocking.mackeeper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-22T00:00:00Z,2023-10-17T23:59:59Z,CN=*.mackeeper.com,*.mackeeper.com,*.clario.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8651789415971b0e15ecc0ad680672a9,3115cd374cf18208b1bb44213cdc131911d5ccf57de6f46c5d6090e9e92ef4de,True,ctls,adblocking.mackeeper.com,80,http://adblocking.mackeeper.com:80,http,application/xml,GET,108.138.7.90,/,-1863583291,108.138.7.32,2,False,cloudfront,AmazonS3,Amazon Web Services,True,https://adblocking.mackeeper.com/,
antiphishing.clario.co,ERROR: The request could not be satisfied,502,507,antiphishing.clario.co,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-23T00:00:00Z,2023-10-05T23:59:59Z,CN=clario.co,clario.co,*.clario.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,7f381dcb4592cf8e501f6a10202c9a27,1b6e46870a3395c401d9027b2c9551d9afa7a2f766d842fcef8c8525183cf91f,True,ctls,antiphishing.clario.co,443,https://antiphishing.clario.co:443,https,text/html,GET,52.222.236.78,/,502582134,52.222.236.45,16,False,cloudfront,CloudFront,Amazon Web Services,True,,
api-account.tz.clario.co,,404,12,api-account.tz.clario.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2023-11-10T23:59:59Z,CN=account.tz.clario.co,account.tz.clario.co,*.account.tz.clario.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,794508c67d0bdd6c89c58ed917eb90c7,d75eb362030d5e03a2baa07836c1581d597ceaf1634b32bfcc5546ca68913303,True,ctls,api-account.tz.clario.co,443,https://api-account.tz.clario.co:443,https,text/plain,GET,18.158.34.188,/,-330977266,54.93.217.19,1,False,,,,,,
api-ne.clario.co,Notification Engine,200,392,api-ne.clario.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-06-06T00:00:00Z,2023-06-06T23:59:59Z,CN=*.clario.co,*.clario.co,clario.co,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ad0550421609654162214a51dbbc70a8,d55fdf6851d8b38b022677223786035484335cd432e75c32719405cc19be5e79,True,ctls,api-ne.clario.co,80,http://api-ne.clario.co:80,http,text/html,GET,3.226.246.218,/,272711656,52.45.110.156,1,False,,,,,https://api-ne.clario.co:443/static/#/login,
api-ne.mackeeper.com,Notification Engine,200,392,api-ne.mackeeper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-25T00:00:00Z,2024-03-25T23:59:59Z,CN=*.mackeeper.com,*.mackeeper.com,*.mackeeper.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,2bd0c36e33bf1a97367ea9e1f3505a35,be68dbca1711a4b9c8e0373d32c2363797b6213cee7b2b000e9723aaf447c571,True,ctls,api-ne.mackeeper.com,80,http://api-ne.mackeeper.com:80,http,text/html,GET,3.226.246.218,/,272711656,34.232.92.239,1,False,,,,,https://api-ne.mackeeper.com:443/static/#/login,
api-ne.sz.clario.co,Access Forbidden,403,1589,api-ne.sz.clario.co,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-22T00:00:00Z,2023-08-15T23:59:59Z,CN=*.sz.mackeeper.com,*.sz.mackeeper.com,*.sz.clario.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,682f3e5f818295b72de3f3666e4b8271,50d9b46a9abdcd9a294fee1d4679bea0c7c78584f8cddcac651903663767dd33,True,ctls,api-ne.sz.clario.co,443,https://api-ne.sz.clario.co:443,https,text/html,GET,13.32.121.117,/,-534073640,13.32.121.110,25,False,cloudfront,CloudFront,Amazon Web Services,True,,
api-ne.sz.mackeeper.com,Access Forbidden,403,1589,api-ne.sz.mackeeper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-22T00:00:00Z,2023-08-15T23:59:59Z,CN=*.sz.mackeeper.com,*.sz.mackeeper.com,*.sz.clario.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,682f3e5f818295b72de3f3666e4b8271,50d9b46a9abdcd9a294fee1d4679bea0c7c78584f8cddcac651903663767dd33,True,ctls,api-ne.sz.mackeeper.com,443,https://api-ne.sz.mackeeper.com:443,https,text/html,GET,18.155.145.19,/,-534073640,18.155.145.14,25,False,cloudfront,CloudFront,Amazon Web Services,True,,
api.account.mackeeper.com,,404,24,api.account.mackeeper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-21T00:00:00Z,2024-01-02T23:59:59Z,CN=account.mackeeper.com,account.mackeeper.com,*.account.mackeeper.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,137d155583be74ddb33ddd04cbc81e49,5fdd75b155d4c52f47ae2e9b127121708ef1ffed5e5c81cfa693b8817e70ce5a,True,ctls,api.account.mackeeper.com,443,https://api.account.mackeeper.com:443,https,application/json,GET,143.204.215.46,/,646856708,143.204.215.71,1,False,cloudfront,,Amazon Web Services,True,,
api.account.sz.clario.co,,404,12,api.account.sz.clario.co,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-22T00:00:00Z,2023-11-29T23:59:59Z,CN=account.sz.clario.co,account.sz.clario.co,*.account.sz.clario.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,cf74d9a1153bb073bd5089cf58daddd5,a8d1415962c3dfb70d6d653da9bedd6ec2736bda2dc28f1ad8370e93bb9338b3,True,ctls,api.account.sz.clario.co,80,http://api.account.sz.clario.co:80,http,text/plain,GET,13.32.27.87,/,-330977266,13.32.27.22,1,False,cloudfront,,Amazon Web Services,True,https://api.account.sz.clario.co/,
api.mackeeper.com,403 Forbidden,403,146,api.mackeeper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-25T00:00:00Z,2024-03-25T23:59:59Z,CN=*.mackeeper.com,*.mackeeper.com,*.mackeeper.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,2bd0c36e33bf1a97367ea9e1f3505a35,be68dbca1711a4b9c8e0373d32c2363797b6213cee7b2b000e9723aaf447c571,True,ctls,api.mackeeper.com,443,https://api.mackeeper.com:443,https,text/html,GET,52.7.222.118,/,1494302000,3.89.230.152,8,False,,nginx,Nginx,,,
assets.mackeeper.com,,404,13,assets.mackeeper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-04-19T00:00:00Z,2024-05-17T23:59:59Z,CN=mackeeper.com,mackeeper.com,*.mackeeper.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,961fdd0c83fa84ded68eec1454d20460,c3b5611342689f5f737e6dcf2131e2129e99e186d4815700156f1e600f488c47,True,ctls,assets.mackeeper.com,443,https://assets.mackeeper.com:443,https,application/json,GET,54.211.127.50,/,-1840324437,54.159.225.9,1,False,,,,,,
assets.sz.mackeeper.com,,404,14,assets.sz.mackeeper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-01T00:00:00Z,2023-08-13T23:59:59Z,CN=*.sz.mackeeper.com,*.sz.mackeeper.com,*.sz.mackeeper.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0366aa05c71fa100d2ae993d913456a7,3533d0f7cf4e756331eadee86c99fcee390b11ccf4d34b7679f0084b7a07e4f0,True,ctls,assets.sz.mackeeper.com,443,https://assets.sz.mackeeper.com:443,https,text/plain,GET,3.217.123.113,/,-1717508860,3.230.181.145,1,False,,awselb/2.0,,,,
astra-admin-static.clario.co,,200,,astra-admin-static.clario.co,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-28T00:00:00Z,2023-08-08T23:59:59Z,CN=*.clario.co,*.clario.co,*.zoomsupport.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,884c148ac106718f00bce7eee86098bf,bbc44db50a089c66efd038afc0f1d2d30fb151b122a75318b0c39393b316e9f0,True,ctls,astra-admin-static.clario.co,443,https://astra-admin-static.clario.co:443,https,application/x-directory,GET,18.66.218.63,/,1079756514,18.66.218.42,1,False,cloudfront,AmazonS3,Amazon Web Services,True,,
av-db-signed.clario.co,403 Forbidden,403,153,,,,,,,,,,,,,,,,,,,,80,http://av-db-signed.clario.co:80,http,text/html,GET,108.138.7.90,/,1483217389,108.138.7.73,8,False,cloudfront,nginx,Nginx,True,,
bg.tz.clario.co,Clario,200,403,bg.tz.clario.co,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-01-29T00:00:00Z,2024-02-27T23:59:59Z,CN=tz.clario.co,tz.clario.co,*.tz.clario.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6b235051857fd02c71ef6bf1c32e2d7b,ed334adebe779dfaf0f3897a74a443455a65acee38a8da94f7376dd3784fce97,True,ctls,bg.tz.clario.co,443,https://bg.tz.clario.co:443,https,text/html,GET,143.204.215.84,/,-329949529,143.204.215.25,1,False,cloudfront,AmazonS3,HSTS,True,,
bglink.clario.co,Invalid Dynamic Link,400,9233,bglink.clario.co,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-07T06:43:13Z,2023-08-05T07:41:47Z,CN=criandocomahelo.com,criandocomahelo.com,www.yername.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,5452baa98d672803eb43c7673bed1d98,e294f43f3c5305b9f118fdc0be83b1efc4703a99d07922a53132dbbfa6e67c65,,ctls,bglink.clario.co,443,https://bglink.clario.co:443,https,text/html,GET,199.36.158.100,/,1905170354,199.36.158.100,1,False,,,HTTP/3,,,http:
cdn.mackeeper.com,,403,243,cdn.mackeeper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-21T00:00:00Z,2023-08-16T23:59:59Z,CN=cdn.mackeeper.com,cdn.mackeeper.com,cdn.kromtech.net,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,13c7768401a49591565424e2e258e821,9c8c338beed24708db7ff82280765734e7384f45273eacdff36e583c128b6e92,,ctls,cdn.mackeeper.com,443,https://cdn.mackeeper.com:443,https,application/xml,GET,18.66.147.14,/,-1872949313,18.66.147.97,2,False,cloudfront,AmazonS3,Amazon Web Services,True,,
cf.mackeeper.com,,403,243,cf.mackeeper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-19T00:00:00Z,2024-05-17T23:59:59Z,CN=mackeeper.com,mackeeper.com,*.mackeeper.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,961fdd0c83fa84ded68eec1454d20460,c3b5611342689f5f737e6dcf2131e2129e99e186d4815700156f1e600f488c47,True,ctls,cf.mackeeper.com,443,https://cf.mackeeper.com:443,https,application/xml,GET,52.222.236.110,/,-702257691,52.222.236.119,2,False,cloudfront,AmazonS3,Amazon Web Services,True,,
chat-crm.clario.co,,200,2,chat-crm.clario.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-06-06T00:00:00Z,2023-06-06T23:59:59Z,CN=*.clario.co,*.clario.co,clario.co,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ad0550421609654162214a51dbbc70a8,d55fdf6851d8b38b022677223786035484335cd432e75c32719405cc19be5e79,True,ctls,chat-crm.clario.co,443,https://chat-crm.clario.co:443,https,text/plain,GET,54.204.183.247,/,-138391155,3.225.201.64,1,False,,nginx,Nginx,,,
