new,host,cname,soa,status_code,a,cdn,cdn-name,ns,txt,aaaa,caa,mx,has_internal_ips,internal_ips,ptr
[x],account.clario.co,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,"13.32.99.102, 13.32.99.103, 13.32.99.119, 13.32.99.57",True,cloudfront,,,,,,,,
[x],account.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"18.244.102.97, 18.244.102.67, 18.244.102.118, 18.244.102.101",True,cloudfront,,"google-site-verification=TVwbHiIyL94arDIy7Xqzi8vJCFzOES1gpmzaicdJlEc, google-site-verification=bD5nBkYTplGJEwKRcSY8G8j33qbpsVeiRi5SKWECjv8",,,,,,
[x],account.sz.mackeeper.com,,"ns-1875.awsdns-42.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"99.86.91.77, 99.86.91.88, 99.86.91.111, 99.86.91.117",True,cloudfront,,google-site-verification=84wCUASKeQjVs4K-YQ2vgR7yaSHhecGF1cofE3l3rDU,,,,,,
[x],account.tz.clario.co,,"ns-1221.awsdns-24.org, awsdns-hostmaster.amazon.com",NOERROR,"13.32.151.77, 13.32.151.97, 13.32.151.116, 13.32.151.120",True,cloudfront,,,,,,,,
[x],account.tz.mackeeper.com,,"ns-1038.awsdns-01.org, awsdns-hostmaster.amazon.com",NOERROR,"13.32.27.25, 13.32.27.94, 13.32.27.98, 13.32.27.117",True,cloudfront,,,,,,,,
[x],adblocking.clario.co,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,"52.222.139.96, 52.222.139.37, 52.222.139.67, 52.222.139.63",True,cloudfront,,,,,,,,
[x],adblocking.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"52.222.139.96, 52.222.139.67, 52.222.139.37, 52.222.139.63",True,cloudfront,,,,,,,,
[x],antiphishing.clario.co,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,"18.244.114.15, 18.244.114.52, 18.244.114.3, 18.244.114.88",True,cloudfront,,,,,,,,
[x],antiphishing.tz.clario.co,,"ns-1221.awsdns-24.org, awsdns-hostmaster.amazon.com",NOERROR,18.233.227.214,,,,,,,,,,
[x],api-account.tz.clario.co,,"ns-1221.awsdns-24.org, awsdns-hostmaster.amazon.com",NOERROR,"3.66.238.180, 18.158.34.188, 54.93.217.19",,,"ns-1221.awsdns-24.org, ns-1749.awsdns-26.co.uk, ns-387.awsdns-48.com, ns-696.awsdns-23.net",,,,,,,
