new,host,a,aaaa,soa,status_code,cdn,cdn-name,ns,cname,txt
[x],af.bingx.com,"99.80.227.4, 34.246.127.31, 52.209.121.193",,"ns-1566.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,"bingx.customlinks.appsflyer.com, cdproxy-336a18f93cd83100.elb.eu-west-1.amazonaws.com",
[x],agent.bingx.com,"104.18.0.241, 104.18.1.241","2606:4700::6812:1f1, 2606:4700::6812:f1","clay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],agent.bingx.pro,"18.66.97.64, 18.66.97.13, 18.66.97.40, 18.66.97.41",,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],api.bingx.com,"104.18.1.241, 104.18.0.241","2606:4700::6812:1f1, 2606:4700::6812:f1","clay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],bbs.bingx.com,"104.18.0.241, 104.18.1.241","2606:4700::6812:1f1, 2606:4700::6812:f1","clay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],blog.bingx.com,"192.0.78.186, 192.0.78.192, 198.181.116.9, 198.181.117.9, 192.0.74.9","2a04:fa87:ffff::c6b5:7409, 2a04:fa87:ffff::c6b5:7509, 2620:115:c00f::c000:4a09","ns1.wordpress.com, hostmaster.wordpress.com",NOERROR,,,"ns1.wordpress.com, ns3.wordpress.com, ns2.wordpress.com",,
[x],builds.blog.bingx.com,"192.0.78.192, 192.0.78.186",,"ns1.wordpress.com, hostmaster.wordpress.com",NOERROR,,,"ns1.wordpress.com, ns2.wordpress.com, ns3.wordpress.com",blog.bingx.com,
[x],callback.bingx.com,"15.197.252.81, 3.33.231.21",,"ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,,,,a1fd03618f89a9b65.awsglobalaccelerator.com,
[x],contract.bingx.com,"104.18.1.241, 104.18.0.241","2606:4700::6812:1f1, 2606:4700::6812:f1","clay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],download.bingx.com,"104.18.1.241, 104.18.0.241","2606:4700::6812:1f1, 2606:4700::6812:f1","clay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],fp.bingx.com,"35.71.160.20, 52.223.25.9",,"clay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],general.bingx.com,"104.18.1.241, 104.18.0.241","2606:4700::6812:f1, 2606:4700::6812:1f1","clay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],hi.bingx.pro,"52.85.242.114, 52.85.242.95, 52.85.242.68, 52.85.242.50",,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],invite.bingx.com,"188.114.98.229, 188.114.99.229","2a06:98c1:3123:e000::5, 2a06:98c1:3122:e000::5","clay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],login.bingx.com,"104.18.0.241, 104.18.1.241","2606:4700::6812:1f1, 2606:4700::6812:f1","clay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],m.bingx.com,"104.18.0.241, 104.18.1.241","2606:4700::6812:1f1, 2606:4700::6812:f1","clay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],marketing1-intl.blog.bingx.com,"192.0.78.186, 192.0.78.192",,"ns1.wordpress.com, hostmaster.wordpress.com",NOERROR,,,"ns1.wordpress.com, ns2.wordpress.com, ns3.wordpress.com",blog.bingx.com,
[x],open-api.bingx.com,,"2606:4700::6812:f1, 2606:4700::6812:1f1","clay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],partner.bingx.com,"104.18.1.241, 104.18.0.241","2606:4700::6812:1f1, 2606:4700::6812:f1","clay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],pre.bingx.com,"104.18.0.241, 104.18.1.241","2606:4700::6812:f1, 2606:4700::6812:1f1","clay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
