new,host,a,cname,soa,status_code,cdn,cdn-name,ns,aaaa,mx,txt,has_internal_ips,internal_ips,caa
[x],account.tiktok.com,209.127.230.14,,"ns-440.awsdns-55.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,"mxa.mailgun.org, mxb.mailgun.org","v=spf1 include:mailgun.org include:spf1.dm.aliyun.com include:spf.onlarksuite.com include:_netblocks.m.feishu.cn ~all, google-site-verification=PFrjfDfGmixXJiFGXTCgthz45UMx6ExAHJdj8u0vISI",,,
[x],accounts.scm-us.tiktok.com,"2.16.186.41, 2.16.186.40","accounts.scm-us.tiktok.com.edgesuite.net, a816.t.akamai.net","n0t.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],activity-va.tiktok.com,"80.239.137.139, 62.115.252.50, 80.239.137.144, 80.239.137.171, 62.115.252.75, 80.239.137.152, 62.115.252.33, 62.115.252.16, 62.115.252.56","activity-va.tiktok.com.edgekey.net, e35058.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],activity-va.tiktokv.com,"2.16.241.95, 2.16.241.94, 2.16.241.86, 2.16.241.70, 2.16.241.69, 2.16.241.84, 2.16.241.98, 2.16.241.97, 2.16.241.74","activity-va.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],activity.tiktok.com,"104.126.37.138, 104.126.37.147, 104.126.37.129, 104.126.37.145, 104.126.37.178","activity.tiktok.com.edgekey.net, e35058.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],activity.us.tiktok.com,"184.29.143.177, 184.29.143.138, 184.29.143.136, 184.29.143.179, 184.29.143.185, 184.29.143.184, 184.29.143.178, 184.29.143.137, 184.29.143.186","activity.us.tiktok.com.edgesuite.net, a2047.w181.akamai.net","n0w181.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],ad-format-sg.tiktokv.com,"2.16.241.73, 2.16.241.78, 2.16.241.91, 2.16.241.71, 2.16.241.77, 2.16.241.88, 2.16.241.92, 2.16.241.85, 2.16.241.81","ad-format-sg.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],ad-instantpage-i18n.tiktokv.com,"2.16.241.212, 2.16.241.220, 2.16.241.219, 2.16.241.214, 2.16.241.202, 2.16.241.225, 2.16.241.210, 2.16.241.211, 2.16.241.216","ad-instantpage-i18n.tiktokv.com.edgekey.net, e28622.api2.akamaiedge.net","n0api2.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],ad-instantpage-sg.tiktokv.com,"96.16.54.176, 96.16.54.128, 96.16.54.147, 96.16.54.153, 96.16.54.154, 96.16.54.169, 96.16.54.112, 96.16.54.178, 96.16.54.120","ad-instantpage-sg.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],ads-api.tiktok.com,"96.16.54.88, 96.16.54.83, 96.16.54.73","ads-api.tiktok.com.edgekey.net, e35058.api5.akamaiedge.net","n0api5.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],ads-crm.tiktok.com,"2.20.142.89, 92.122.215.25, 92.122.215.10, 2.20.142.121, 92.122.215.8, 92.122.215.43, 92.122.215.41, 2.20.142.113, 92.122.215.27","ads-crm.tiktok.com.edgekey.net, e35058.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],ads-developer-useast2a.tiktok.com,"147.160.190.45, 147.160.190.32",ad-lb-gcp.byteoversea.net,"a9-66.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],ads-imapi.tiktok.com,"104.126.37.147, 104.126.37.178, 104.126.37.129, 104.126.37.138, 104.126.37.145","ads-imapi.tiktok.com.edgekey.net, e35058.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],ads-service.tiktok.com,209.127.230.4,,"ns-440.awsdns-55.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,mx01.dm.aliyun.com,v=spf1 include:spf1.dm.aliyun.com include:spf.onlarksuite.com include:_netblocks.m.feishu.cn -all,,,
[x],ads-sg.tiktok.com,"23.213.161.212, 23.213.161.219","ads-sg.tiktok.com.edgekey.net, e35058.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],ads.us.tiktok.com,"23.222.12.19, 23.222.12.9, 23.222.12.8, 23.222.12.18, 23.222.12.16, 23.222.12.24, 23.222.12.17, 23.222.12.11, 23.222.12.56","ads.us.tiktok.com.edgesuite.net, a2047.w185.akamai.net","n0w185.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],adsinsightslab.tiktok.com,"13.249.9.83, 13.249.9.22, 13.249.9.70, 13.249.9.89",d3jg36q59f2ufp.cloudfront.net,"ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1059.awsdns-04.org, ns-1831.awsdns-36.co.uk, ns-23.awsdns-02.com, ns-794.awsdns-35.net","2600:9000:2171:dc00:4:bc82:6540:93a1, 2600:9000:2171:f400:4:bc82:6540:93a1, 2600:9000:2171:6a00:4:bc82:6540:93a1, 2600:9000:2171:3400:4:bc82:6540:93a1, 2600:9000:2171:a800:4:bc82:6540:93a1, 2600:9000:2171:bc00:4:bc82:6540:93a1, 2600:9000:2171:c800:4:bc82:6540:93a1, 2600:9000:2171:9800:4:bc82:6540:93a1",,,,,
[x],adsintegrity.us.tiktok.com,"104.126.118.227, 104.126.118.235, 104.126.118.242, 104.126.118.241, 104.126.118.232, 104.126.118.226, 104.126.118.240, 104.126.118.233, 104.126.118.234","adsintegrity.us.tiktok.com.edgesuite.net, a2047.w183.akamai.net","n0w183.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],affiliate-id.tiktok.com,,"affiliate-id.tiktok.com.edgekey.net, e35058.api1.akamaiedge.net","n0api1.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],analytics-attribution-va.tiktok.com,"23.213.161.219, 23.213.161.212","analytics-attribution-va.tiktok.com.edgekey.net, e35058.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],analytics-attribution.tiktok.com,92.122.178.40,"analytics-attribution.tiktok.com.srip.net, a1156.srip1.akasrip.net.45dc8867.1.cn.akasripcn.net","n0cn.akasripcn.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],analytics-sg.tiktok.com,"2.16.241.74, 2.16.241.93","analytics-sg.tiktok.com.edgekey.net, e35058.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],analytics-test.tiktok.com,"2.16.241.74, 2.16.241.93","analytics-test.tiktok.com.edgekey.net, e35058.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],analytics.tiktok.com,"2.19.194.58, 2.19.194.16, 2.19.194.89, 2.19.194.81, 2.19.194.112, 2.19.194.17, 2.19.194.19, 2.19.194.43, 2.19.194.73","analytics.tiktok.com.bytewlb.akadns.net, e35058.api12.akamaiedge.net","n0api12.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],analytics.us.tiktok.com,"104.126.118.242, 104.126.118.243, 104.126.118.248, 104.126.118.232, 104.126.118.233, 104.126.118.234, 104.126.118.235, 104.126.118.240, 104.126.118.241","analytics.us.tiktok.com.edgesuite.net, a2047.w183.akamai.net","n0w183.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api-core-phx.tiktokv.com,"23.53.43.40, 23.53.43.65, 23.53.43.50, 23.53.43.19, 23.53.43.35, 23.53.43.88, 23.53.43.18, 23.53.42.249, 23.53.43.25","api-core-phx.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api-core-va.tiktokv.com,"2.21.22.106, 2.21.22.121","api-core-va.tiktokv.com.edgesuite.net, a1793.r.akamai.net","n0r.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api-core.tiktokv.com,"2.16.187.90, 2.16.187.19, 2.16.187.137, 2.16.187.115, 2.16.187.98, 2.16.187.146, 2.16.187.64, 2.16.187.138, 2.16.187.49","api-core.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api-core.us.tiktokv.com,"104.126.118.201, 104.126.118.208","api-core.us.tiktokv.com.edgesuite.net, a823.w182.akamai.net","n0w182.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api-h2-eagle.tiktokv.com,"62.115.252.8, 80.239.137.169, 62.115.252.25, 62.115.252.41, 62.115.252.34, 80.239.137.170, 80.239.137.154, 62.115.252.10, 80.239.137.137","api-h2-eagle.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api-h2.tiktokv.com,"2.16.241.151, 2.16.241.155, 2.16.241.146, 2.16.241.154, 2.16.241.153, 2.16.241.140, 2.16.241.135, 2.16.241.144, 2.16.241.157","api-h2.tiktokv.com.edgekey.net, e28622.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api-m-useast2a.tiktok.com,"147.160.190.53, 147.160.190.40",tiktok-lb-gcp.byteoversea.net,"a9-66.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api-m.tiktok.com,"23.53.43.25, 23.53.43.59","api-m.tiktok.com.edgekey.net, e35058.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api-pns-sg.tiktok.com,,"api-pns-sg.tiktok.com.edgekey.net, e35058.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api-pns-va.tiktok.com,"23.213.161.212, 23.213.161.219","api-pns-va.tiktok.com.edgekey.net, e35058.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
