input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_expired,tls_mismatched,final_url,tls_subject_org_
url7465.shop.tiktok.com,404 Not Found,404,564,url7465.shop.tiktok.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,True,ctls,url7465.shop.tiktok.com,,443,https://url7465.shop.tiktok.com:443,https,nginx,text/html,GET,167.89.123.124,/,1506877856,167.89.123.54,Nginx,14,False,,,,True,,
url7709.account.tiktok.com,404 Not Found,404,162,url7709.account.tiktok.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,True,ctls,url7709.account.tiktok.com,,443,https://url7709.account.tiktok.com:443,https,nginx,text/html,GET,167.89.118.83,/,190856733,167.89.118.52,Nginx,8,False,,,,True,,
us.tiktok.com,TikTok - Make Your Day,200,355466,us.tiktok.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-26T00:00:00Z,2023-06-26T23:59:59Z,CN=*.us.tiktok.com,*.us.tiktok.com,us.tiktok.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",fa092ce9d687214d2a8c351a2f3e02d6,a2f029026a824c0babb88200abd9abd3efe6a5597f23b9a30f04fe62a8664afd,True,ctls,us.tiktok.com,,443,https://us.tiktok.com:443,https,nginx,text/html,GET,23.36.163.22,/,1436288319,23.36.163.26,Nginx,7,False,,access.line.me,,,,
usds.tiktok.com,TikTok USDS,200,420109,usds.tiktok.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-13T00:00:00Z,2024-04-12T23:59:59Z,CN=*.tiktok.com,*.tiktok.com,tiktok.com,"CN=RapidSSL TLS ECC CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS ECC CA G1,DigiCert Inc,8ea8036b1e49b355d4e4ee8152d9d01d,ce6598b7b8e76273f77cd79f4f3b325d9b0b2400d1a52fbaff93799e1aa77b79,True,ctls,usds.tiktok.com,,443,https://usds.tiktok.com:443,https,nginx,text/html,GET,23.3.88.146,/,-2083446857,23.3.88.185,webpack,63,False,,,,,,
v-va.tiktokv.com,,200,27,v-va.tiktokv.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-01T00:00:00Z,2023-08-01T23:59:59Z,CN=*.tiktokv.com,*.tiktokv.com,tiktokv.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",cd1ce20292d66695308186ddec2bc164,7ac29b3f63ba267801c8ce656eccff587659e3bb536e631fc5cd72da49587b76,True,ctls,v-va.tiktokv.com,,443,https://v-va.tiktokv.com:443,https,nginx,application/json,GET,130.44.212.136,/,-1206076886,130.44.212.134,Nginx,1,False,,,,,,
v16-up.tiktokv.com,Error,503,176,v16-up.tiktokv.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-15T00:00:00Z,2024-01-15T23:59:59Z,CN=*.tiktokv.com,*.tiktokv.com,tiktokv.com,"CN=RapidSSL ECC CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL ECC CA 2018,DigiCert Inc,fa46cbd21eb87eeff13f39d42248e3c8,3172f6da82179b1751f393192d0cbf953c1cad7af8dfcf33f61bc937934df83a,True,ctls,v16-up.tiktokv.com,,443,https://v16-up.tiktokv.com:443,https,AkamaiGHost,text/html,GET,95.101.54.129,/,-1779979899,2.16.202.113,,5,False,,,,,,
v16-web.tiktok.com,Access Denied,403,271,v16-web.tiktok.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-15T00:00:00Z,2024-01-15T23:59:59Z,CN=*.tiktok.com,*.tiktok.com,tiktok.com,"CN=RapidSSL ECC CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL ECC CA 2018,DigiCert Inc,733f55ea52159099d48dc3591a9cafcb,7bb5bb00b5395b40c07a3ab3b328764f043d625711570abac24b0688610bc60f,True,ctls,v16-web.tiktok.com,,443,https://v16-web.tiktok.com:443,https,AkamaiGHost,text/html,GET,2.16.186.42,/,-136367839,2.16.186.40,,10,False,,,,,,
v16-webapp-prime.tiktok.com,Access Denied,403,284,v16-webapp-prime.tiktok.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-15T00:00:00Z,2024-01-15T23:59:59Z,CN=*.tiktok.com,*.tiktok.com,tiktok.com,"CN=RapidSSL ECC CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL ECC CA 2018,DigiCert Inc,733f55ea52159099d48dc3591a9cafcb,7bb5bb00b5395b40c07a3ab3b328764f043d625711570abac24b0688610bc60f,True,ctls,v16-webapp-prime.tiktok.com,,443,https://v16-webapp-prime.tiktok.com:443,https,AkamaiGHost,text/html,GET,2.16.238.156,/,584475418,2.16.238.147,,10,False,,,,,,
v16-webapp-prime.us.tiktok.com,Access Denied,403,291,v16-webapp-prime.us.tiktok.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-26T00:00:00Z,2023-06-26T23:59:59Z,CN=*.us.tiktok.com,*.us.tiktok.com,us.tiktok.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",fa092ce9d687214d2a8c351a2f3e02d6,a2f029026a824c0babb88200abd9abd3efe6a5597f23b9a30f04fe62a8664afd,True,ctls,v16-webapp-prime.us.tiktok.com,,443,https://v16-webapp-prime.us.tiktok.com:443,https,AkamaiGHost,text/html,GET,2.19.126.87,/,-1627245853,2.19.126.96,,10,False,,,,,,
v16-webapp.tiktok.com,Access Denied,403,274,v16-webapp.tiktok.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-15T00:00:00Z,2024-01-15T23:59:59Z,CN=*.tiktok.com,*.tiktok.com,tiktok.com,"CN=RapidSSL ECC CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL ECC CA 2018,DigiCert Inc,733f55ea52159099d48dc3591a9cafcb,7bb5bb00b5395b40c07a3ab3b328764f043d625711570abac24b0688610bc60f,True,ctls,v16-webapp.tiktok.com,,443,https://v16-webapp.tiktok.com:443,https,AkamaiGHost,text/html,GET,23.32.238.202,/,-165766660,23.32.238.240,,10,False,,,,,,
v16.tiktokv.com,Error,503,176,v16.tiktokv.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-15T00:00:00Z,2024-01-15T23:59:59Z,CN=*.tiktokv.com,*.tiktokv.com,tiktokv.com,"CN=RapidSSL ECC CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL ECC CA 2018,DigiCert Inc,fa46cbd21eb87eeff13f39d42248e3c8,3172f6da82179b1751f393192d0cbf953c1cad7af8dfcf33f61bc937934df83a,True,ctls,v16.tiktokv.com,,443,https://v16.tiktokv.com:443,https,AkamaiGHost,text/html,GET,23.32.238.218,/,642581588,23.32.238.171,,5,False,,,,,,
v19-webapp-prime.tiktok.com,403 Forbidden,403,425,v19-webapp-prime.tiktok.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-21T00:00:00Z,2023-12-22T23:59:59Z,CN=*.tiktok.com,*.tiktok.com,tiktok.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",64b4c5bd86b3a0f0f2e134c6faaad88b,1ce9fd4000951c2f1d457d2b498f5e181f009be34a8f3459d37030c3a1c47d2c,True,ctls,v19-webapp-prime.tiktok.com,fastly,443,https://v19-webapp-prime.tiktok.com:443,https,Varnish,text/html,GET,146.75.118.73,/,1275807543,146.75.118.73,Varnish,18,False,True,,,,,
v19-webapp-prime.us.tiktok.com,403 Forbidden,403,425,v19-webapp-prime.us.tiktok.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-21T00:00:00Z,2023-10-22T23:59:59Z,CN=*.us.tiktok.com,*.us.tiktok.com,us.tiktok.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",01932ee7e7c7e8584ef2637d602b960a,b6fe06c727be43997713697769b76da2cb4227856bf71ef6cfeeb1e038c2d12f,True,ctls,v19-webapp-prime.us.tiktok.com,fastly,443,https://v19-webapp-prime.us.tiktok.com:443,https,Varnish,text/html,GET,146.75.122.73,/,-1662054420,146.75.122.73,Varnish,18,False,True,,,,,
vas-alisg16.tiktokv.com,404 Not Found,404,548,vas-alisg16.tiktokv.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-12T00:00:00Z,2023-09-12T23:59:59Z,CN=*.tiktokv.com,*.tiktokv.com,tiktokv.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",c285c4454729ec56967f1a33375712c9,aaf29afdbd44828b52ad261d728ebde3351bc74f4b188d63f79bf85f038cd419,True,ctls,vas-alisg16.tiktokv.com,,443,https://vas-alisg16.tiktokv.com:443,https,nginx,text/html,GET,2.16.187.35,/,566218143,2.16.187.43,Nginx,14,False,,,,,,
