new,host,a,soa,status_code,aaaa,cname,cdn,cdn-name,mx,txt,ns
[x],aws.okx.com,"18.167.238.6, 18.167.242.97, 18.167.255.83, 18.162.180.139, 18.167.153.232, 18.167.127.40, 18.163.175.72, 43.198.66.99","ns-827.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,"okxaws.okpool.top, colo-wwwokxcom-public-1737780191.ap-east-1.elb.amazonaws.com",,,,,
[x],chainrpc.okx.com,"104.18.3.151, 104.18.2.151","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:397, 2606:4700::6812:297",chainrpc.okx.com.cdn.cloudflare.net,True,cloudflare,,,
[x],go.okx.com,"199.60.103.2, 199.60.103.254","jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:2c40::c73c:6702, 2606:2c40::c73c:67fe","5507270.group20.sites.hubspot.net, group20.sites.hscoscdn20.net",,,,,
[x],okbrpc.okx.com,"104.18.2.151, 104.18.3.151","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:297, 2606:4700::6812:397",okbrpc.okx.com.cdn.cloudflare.net,True,cloudflare,,,
[x],okbtestrpc.okx.com,"104.18.2.151, 104.18.3.151",,NOERROR,"2606:4700::6812:297, 2606:4700::6812:397",okbtestrpc.okx.com.cdn.cloudflare.net,True,cloudflare,,,
[x],okbtesttmrpc.okx.com,"104.18.2.151, 104.18.3.151",,NOERROR,"2606:4700::6812:297, 2606:4700::6812:397",okbtesttmrpc.okx.com.cdn.cloudflare.net,True,cloudflare,,,
[x],okbtestws.okx.com,"104.18.2.151, 104.18.3.151","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:297, 2606:4700::6812:397",okbtestws.okx.com.cdn.cloudflare.net,True,cloudflare,,,
[x],okbws.okx.com,"104.18.3.151, 104.18.2.151","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:297, 2606:4700::6812:397",okbws.okx.com.cdn.cloudflare.net,True,cloudflare,,,
[x],okx.com,"18.163.159.134, 18.167.238.6, 18.167.255.83, 18.166.252.15, 18.162.180.139, 43.198.66.99, 18.167.101.157, 18.167.242.97","ns-1509.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],static.okx.com,"52.222.236.47, 52.222.236.35, 52.222.236.51, 52.222.236.10","ns-479.awsdns-59.com, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:20dc:4e00:1e:9215:9ac0:93a1, 2600:9000:20dc:e600:1e:9215:9ac0:93a1, 2600:9000:20dc:800:1e:9215:9ac0:93a1, 2600:9000:20dc:7a00:1e:9215:9ac0:93a1, 2600:9000:20dc:e200:1e:9215:9ac0:93a1, 2600:9000:20dc:2400:1e:9215:9ac0:93a1, 2600:9000:20dc:4c00:1e:9215:9ac0:93a1, 2600:9000:20dc:5600:1e:9215:9ac0:93a1",dfccd2aelcoyz.cloudfront.net,True,cloudfront,,,"ns-1074.awsdns-06.org, ns-1828.awsdns-36.co.uk, ns-479.awsdns-59.com, ns-828.awsdns-39.net"
