new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,mx,ns,txt
[x],autodiscover.volkis.com.au,"52.98.239.104, 40.99.148.120, 52.98.240.72, 52.98.240.40, 52.97.190.8, 52.97.190.40, 52.98.229.136, 52.97.229.216","2603:1026:c0e:866::8, 2603:1026:c0e:877::8, 2603:1026:c0e:2a::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,,,
[x],file.volkis.com.au,,"2606:4700:3108::ac42:2853, 2606:4700:3108::ac42:2bad",,"kurt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],k8s.volkis.com.au,13.236.19.214,,,"kurt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],pipe.volkis.com.au,"172.66.43.173, 172.66.40.83","2606:4700:3108::ac42:2bad, 2606:4700:3108::ac42:2853",,"kurt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],proposals.volkis.com.au,"172.66.40.83, 172.66.43.173","2606:4700:3108::ac42:2853, 2606:4700:3108::ac42:2bad",,"kurt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],volk.is,"172.67.223.238, 104.21.32.187","2606:4700:3032::ac43:dfee, 2606:4700:3035::6815:20bb",,"kurt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,"pat.ns.cloudflare.com, kurt.ns.cloudflare.com",v=spf1 -all
[x],volkis.com.au,"172.66.40.83, 172.66.43.173","2606:4700:3108::ac42:2bad, 2606:4700:3108::ac42:2853",,"kurt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,volkis-com-au.mail.protection.outlook.com,"pat.ns.cloudflare.com, kurt.ns.cloudflare.com","MS=ms66340232, v=spf1 include:spf.protection.outlook.com -all, google-site-verification=BWPcI2SneoBt_ja55Ba1ZYqLsjUsYNPEeB1XMZ6-D_4, atlassian-domain-verification=ttgQvUmNaC4ILHILmRGIYChg7rU9pKfl1T82MMK66LqM66j7ZFyq/muKfnyUjCrB"
