new,host,a,cname,soa,status_code,cdn,cdn-name,caa,mx,txt,aaaa,ns
[x],gokhulp.napoleongames.be,"104.18.15.219, 104.18.14.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],hecate.napoleongames.be,"104.18.14.219, 104.18.15.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],kambiplayerstore.napoleongames.be,,,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],koc.napoleongames.be,"104.18.14.219, 104.18.15.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],lb-1.int.napoleongames.be,,,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],lb-2.int.napoleongames.be,,,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],lb-ocp.int.napoleongames.be,"104.18.15.219, 104.18.14.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],livecasino.napoleongames.be,,"napoleongames-be.evonetworks.net, d24b7fgyl2ndfi.cloudfront.net","ns-1583.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,"ns-254.awsdns-31.com, ns-1424.awsdns-50.org, ns-1000.awsdns-61.net, ns-1583.awsdns-05.co.uk"
[x],lp.napoleongames.be,,,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],mailing.napoleongames.be,"188.114.99.229, 188.114.98.229",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],media-ssl.casino.napoleongames.be,"188.114.99.229, 188.114.98.229",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],media-ssl.napoleongames.be,"104.18.15.219, 104.18.14.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],media.napoleongames.be,"188.114.99.229, 188.114.98.229",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],medialand.selligent.napoleongames.be,,,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
