new,host,a,soa,status_code,has_internal_ips,internal_ips,aaaa,cname,ns,caa,cdn,cdn-name,mx,txt
,parkandrail.info.sbb.ch,93.191.164.121,"ns1.domains.inxserver.com, hostmaster.inxserver.com",NOERROR,,,,,"ns3.domains.inxserver.com, ns1.domains.inxserver.com, ns4.domains.inxserver.com, ns2.domains.inxserver.com","letsencrypt.org, ;",,,"mx-in-005.inxserver.de, mx-in-001.inxserver.de, mx-in-002.inxserver.de",v=spf1 include:inxserver.com -all
,partnerplatform.sbb.ch,217.13.58.89,"ns-1596.awsdns-07.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,sbb.yoomap.fr,,,,,,
,peercoaching.event.sbb.ch,34.65.78.110,"ns1.eurodns.com, hostmaster.eurodns.com",NOERROR,,,,evenito.site,"ns4.eurodns.com, ns1.eurodns.com, ns2.eurodns.com, ns3.eurodns.com","pki.goog, sectigo.com",True,google,,
,personenortung-int.sbb.ch,193.203.120.114,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,personenortung-test.sbb.ch,"193.203.120.51, 91.230.140.140","ns.sbb.ch, admin.sbb.ch",NOERROR,,,2a00:4bc0:130:333::1000,,"ns-1254.awsdns-28.org, ns-1739.awsdns-25.co.uk, ns-73.awsdns-09.com, ns-967.awsdns-56.net, ns.sbb.ch",,,,,
,personenortung-ws.sbb.ch,,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,personenortung.sbb.ch,193.203.120.184,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,plan.sbb.ch,78.46.210.78,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,"plans.trafimage.geops.ch, plans.prod.trafimage.geops.ch, iabp-prod.srv.geops.de",,,,,,
,platform.app.sbb.ch,"18.158.102.127, 3.65.155.240, 3.124.89.17","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,polarion-t.sbb.ch,"52.29.242.177, 18.193.178.136, 3.122.47.102","ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"2a00:4bc0:2104:2:bd28:6320:a59c:f6d6, 2a00:4bc0:2104:1:c8fc:858e:2172:f1d3, 2a00:4bc0:2104:0:a11d:9efa:923d:b2fe","polarion-t.sbb-wzu.net, polarion-t-97856543.eu-central-1.elb.amazonaws.com",,,,,,
,politicasemfiltro.event.sbb.ch,34.65.78.110,"ns1.eurodns.com, hostmaster.eurodns.com",NOERROR,,,,evenito.site,"ns2.eurodns.com, ns3.eurodns.com, ns4.eurodns.com, ns1.eurodns.com","pki.goog, sectigo.com",True,google,,
,portal.app.sbb.ch,,"ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,pos.sbb.ch,194.150.245.140,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,pr-auth-mirror-my-oceania.app.sbb.ch,"3.65.155.240, 3.124.89.17, 18.158.102.127","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,prail-alias.app.sbb.ch,"3.123.94.26, 18.194.68.34, 52.57.26.73","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,prail-int.sbb.ch,"52.57.26.73, 18.194.68.34, 3.123.94.26","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,prail-int-alias.app.sbb.ch,"ns-1304.awsdns-35.org, ns-1632.awsdns-12.co.uk, ns-233.awsdns-29.com, ns-650.awsdns-17.net",,,,,
,prail.sbb.ch,"3.123.94.26, 18.194.68.34, 52.57.26.73","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,prail-alias.app.sbb.ch,,,,,,
,previewserver.sbb.ch,18.185.208.91,"ns-1096.awsdns-09.org, awsdns-hostmaster.amazon.com",NOERROR,,,,previewserver.sbb-wzu.net,,,,,,
,print.sbb.ch,,"bop-corens.seiler-vision.com, infrastructure-support.b-op.com",NOERROR,,,,"realmstage.coloc-sbb.b-op.com, realmstage.coloc-03.b-op.com",,,,,,v=spf1 a mx ~all
,privateemilecizain.event.sbb.ch,34.65.78.110,"ns1.eurodns.com, hostmaster.eurodns.com",NOERROR,,,,evenito.site,"ns1.eurodns.com, ns2.eurodns.com, ns3.eurodns.com, ns4.eurodns.com","sectigo.com, pki.goog",True,google,,
,prod.app.sbb.ch,"3.124.89.17, 18.158.102.127, 3.65.155.240","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,prod01.kafka.sbb.ch,10.106.112.213,"ns-652.awsdns-17.net, awsdns-hostmaster.amazon.com",NOERROR,True,10.106.112.213,,,,,,,,
,prolaborate.sbb.ch,10.241.17.25,"ns-1096.awsdns-09.org, awsdns-hostmaster.amazon.com",NOERROR,True,10.241.17.25,,prolaborate.sbb-wzu.net,,,,,,
,prosec-planung-dev.sbb.ch,193.203.120.6,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,prosec-planung-int.sbb.ch,193.203.120.72,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,prosec-planung-test.sbb.ch,193.203.120.6,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,prosec-planung.sbb.ch,,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,public-azure01d.devapp.sbb.ch,20.4.109.183,"ns-1512.awsdns-61.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,public-b2p-timo03p.app.sbb.ch,"18.197.250.57, 18.158.2.3, 3.122.222.55","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,public-b2p-timo03t.app.sbb.ch,"54.93.159.166, 18.184.94.134, 18.197.240.193","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,public-vnext-timo03p.app.sbb.ch,"18.185.180.81, 3.77.187.146, 3.125.151.12","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,public-vnext-timo03t.app.sbb.ch,"18.193.143.12, 3.68.132.160, 35.156.0.158","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,pulse.sbb.ch,91.230.141.177,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,pulseint.sbb.ch,91.230.141.161,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,pulsetest.sbb.ch,91.230.141.145,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,pv.mailing.sbb.ch,93.191.162.150,"ns1.domains.inxserver.com, hostmaster.inxserver.com",NOERROR,,,,,"ns1.domains.inxserver.com, ns2.domains.inxserver.com, ns3.domains.inxserver.com, ns4.domains.inxserver.com","letsencrypt.org, ;",,,"mx-in-001.inxserver.de, mx-in-002.inxserver.de, mx-in-005.inxserver.de",v=spf1 include:inxserver.com -all
,qa.sbb.ch,40.68.126.219,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,log.sbb.ch,,,True,azure,,
,quiz.sbb.ch,195.15.246.17,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,rail4-test.sbb.ch,193.203.121.53,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,rail4.sbb.ch,193.203.121.173,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,railbuyer.sbb.ch,,"bop-corens.seiler-vision.com, infrastructure-support.b-op.com",NOERROR,,,,"realmstage.coloc-sbb.b-op.com, realmstage.coloc-03.b-op.com",,,,,,
,railbuyertest.sbb.ch,194.150.245.113,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
